InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536366,2010-12-01 08:28:00,17850.0,SC1236,Kitchenware,19,35.11,Nigeria,667.09,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC1232,Kitchenware,75,95.72,Egypt,7179.0,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC7422,Kitchenware,91,94.45,Zimbabwe,8594.95,2010-12,2010-12,1
536374,2010-12-01 09:09:00,15100.0,SC8591,Kitchenware,11,43.88,Libya,482.68,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC7497,Kitchenware,3,94.28,Rwanda,282.84000000000003,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC4357,Kitchenware,47,99.1,Sierra Leone,4657.7,2010-12,2010-12,1
536376,2010-12-01 09:32:00,15291.0,SC7824,Kitchenware,5,63.03,Benin,315.15,2010-12,2010-12,1
536377,2010-12-01 09:34:00,17850.0,SC3182,Kitchenware,6,70.44,Kenya,422.64,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC6682,Kitchenware,42,92.07,Zimbabwe,3866.94,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC9532,Kitchenware,29,50.07,South Africa,1452.03,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5433,Kitchenware,56,3.11,Burkina Faso,174.16,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1714,Kitchenware,83,88.12,Libya,7313.96,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4715,Kitchenware,74,90.67,Uganda,6709.58,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC6725,Kitchenware,53,83.93,Kenya,4448.29,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC8815,Kitchenware,59,56.73,Tunisia,3347.07,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1772,Kitchenware,82,51.69,Ghana,4238.58,2010-12,2010-12,1
536386,2010-12-01 09:57:00,16029.0,SC3267,Kitchenware,84,52.64,Ethiopia,4421.76,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC3476,Kitchenware,5,38.73,Rwanda,193.65,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC8547,Kitchenware,32,22.62,Mozambique,723.84,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2621,Kitchenware,11,59.45,Senegal,653.95,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC1718,Kitchenware,79,12.79,Cote d'Ivoire,1010.41,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC6421,Kitchenware,50,34.88,Sudan,1744.0000000000002,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4817,Kitchenware,77,90.85,Uganda,6995.45,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC5532,Kitchenware,40,98.38,Senegal,3935.2,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC7301,Kitchenware,81,42.15,Ethiopia,3414.15,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC1330,Kitchenware,77,34.3,Zimbabwe,2641.1,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC9578,Kitchenware,42,2.71,Zambia,113.82,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC8979,Kitchenware,84,41.63,Tanzania,3496.92,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC7651,Kitchenware,94,92.87,Nigeria,8729.78,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6672,Kitchenware,94,86.85,Tanzania,8163.9,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC1203,Kitchenware,90,99.6,Uganda,8964.0,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6650,Kitchenware,94,27.24,South Africa,2560.56,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6968,Kitchenware,80,53.64,Mali,4291.2,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5127,Kitchenware,1,84.47,Uganda,84.47,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7291,Kitchenware,45,89.47,Cameroon,4026.15,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3483,Kitchenware,75,17.76,Sierra Leone,1332.0000000000002,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8776,Kitchenware,78,26.6,Somalia,2074.8,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1810,Kitchenware,6,54.01,Zambia,324.06,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4302,Kitchenware,69,56.61,Burkina Faso,3906.09,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC6918,Kitchenware,27,23.08,Benin,623.16,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3976,Kitchenware,26,38.35,Somalia,997.1,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3904,Kitchenware,44,43.33,Egypt,1906.52,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC2480,Kitchenware,64,49.13,Zimbabwe,3144.32,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7257,Kitchenware,26,23.38,Uganda,607.88,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3692,Kitchenware,50,48.21,Tunisia,2410.5,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6560,Kitchenware,20,11.26,South Africa,225.2,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2432,Kitchenware,47,59.86,Zimbabwe,2813.42,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8779,Kitchenware,83,46.05,Niger,3822.15,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC9481,Kitchenware,56,17.01,Uganda,952.56,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3504,Kitchenware,24,35.32,Sierra Leone,847.6800000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6267,Kitchenware,36,60.51,Nigeria,2178.36,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3273,Kitchenware,72,44.24,Nigeria,3185.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1195,Kitchenware,23,15.3,Ethiopia,351.90000000000003,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2654,Kitchenware,79,8.88,Madagascar,701.5200000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4654,Kitchenware,50,43.83,Kenya,2191.5,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6549,Kitchenware,56,29.73,Sudan,1664.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5594,Kitchenware,26,65.32,Morocco,1698.3199999999997,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2364,Kitchenware,77,22.49,Senegal,1731.7299999999998,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5445,Kitchenware,97,78.14,Algeria,7579.58,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7896,Kitchenware,62,91.24,Tunisia,5656.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8247,Kitchenware,60,26.21,Senegal,1572.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3079,Kitchenware,33,72.64,Sudan,2397.12,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2865,Kitchenware,37,50.07,Somalia,1852.59,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6085,Kitchenware,56,99.74,Nigeria,5585.44,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9991,Kitchenware,57,30.35,Kenya,1729.95,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9077,Kitchenware,8,81.77,Algeria,654.16,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2343,Kitchenware,87,3.12,Cameroon,271.44,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9602,Kitchenware,72,19.43,Egypt,1398.96,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC6712,Kitchenware,77,23.05,South Africa,1774.85,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2852,Kitchenware,97,52.52,Cameroon,5094.4400000000005,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC1941,Kitchenware,30,67.65,Niger,2029.5,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5480,Kitchenware,70,8.99,Mali,629.3000000000001,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5566,Kitchenware,29,77.08,Zambia,2235.32,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC5963,Kitchenware,44,55.05,Libya,2422.2,2010-12,2010-12,1
536463,2010-12-01 12:22:00,14849.0,SC4474,Kitchenware,8,47.33,Nigeria,378.64,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2697,Kitchenware,97,59.36,Senegal,5757.92,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5253,Kitchenware,54,53.02,Madagascar,2863.0800000000004,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2047,Kitchenware,62,76.9,Algeria,4767.8,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3912,Kitchenware,91,76.28,Rwanda,6941.4800000000005,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9948,Kitchenware,95,15.38,Rwanda,1461.1,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1827,Kitchenware,15,28.41,Tanzania,426.15,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4490,Kitchenware,90,12.95,Somalia,1165.5,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC4089,Kitchenware,67,28.99,South Africa,1942.33,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC1527,Kitchenware,65,19.44,Kenya,1263.6,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC9862,Kitchenware,57,55.38,Benin,3156.6600000000003,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7291,Kitchenware,83,91.68,Ghana,7609.44,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3110,Kitchenware,54,65.89,Mozambique,3558.06,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1661,Kitchenware,40,23.17,Uganda,926.8,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7328,Kitchenware,35,32.29,Ghana,1130.15,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6379,Kitchenware,65,79.83,Egypt,5188.95,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9618,Kitchenware,5,82.58,Egypt,412.9,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4040,Kitchenware,32,27.59,Somalia,882.88,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8815,Kitchenware,25,16.08,Sierra Leone,402.0,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1057,Kitchenware,65,87.28,Ghana,5673.2,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9017,Kitchenware,34,97.02,Zimbabwe,3298.68,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3252,Kitchenware,94,45.22,Sierra Leone,4250.68,2010-12,2010-12,1
