InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536387,2010-12-01 09:58:00,16029.0,SC2247,Books,94,7.58,Egypt,712.52,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC2880,Books,90,45.53,Egypt,4097.7,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC5539,Books,77,36.28,Egypt,2793.56,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4629,Books,82,69.74,Egypt,5718.679999999999,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC9324,Books,59,84.04,Egypt,4958.360000000001,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC3079,Books,71,30.32,Egypt,2152.72,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC5945,Books,89,26.02,Egypt,2315.78,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1930,Books,98,86.84,Egypt,8510.32,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC7704,Books,6,96.64,Egypt,579.84,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC6459,Books,85,77.57,Egypt,6593.45,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC2161,Books,84,75.4,Egypt,6333.6,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC7224,Books,7,66.36,Egypt,464.52,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC7281,Books,4,6.44,Egypt,25.76,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC1444,Books,54,22.92,Egypt,1237.68,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC3798,Books,2,70.95,Egypt,141.9,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6305,Books,5,77.94,Egypt,389.7,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC1320,Books,22,92.55,Egypt,2036.1,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4534,Books,18,30.42,Egypt,547.5600000000001,2010-12,2010-12,1
536890,2010-12-03 11:48:00,14156.0,SC9500,Books,26,10.22,Egypt,265.72,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3462,Books,5,77.71,Egypt,388.55,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC9849,Books,71,60.76,Egypt,4313.96,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC3402,Books,53,57.14,Egypt,3028.42,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8143,Books,39,62.02,Egypt,2418.78,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6562,Books,28,58.98,Egypt,1651.4399999999998,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3480,Books,95,74.37,Egypt,7065.150000000001,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC2949,Books,2,19.49,Egypt,38.98,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC8950,Books,69,40.17,Egypt,2771.73,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC3237,Books,4,75.19,Egypt,300.76,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC7881,Books,64,55.85,Egypt,3574.4,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC4718,Books,73,58.16,Egypt,4245.679999999999,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC1716,Books,32,67.85,Egypt,2171.2,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC5140,Books,92,72.93,Egypt,6709.56,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC1889,Books,78,4.24,Egypt,330.72,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC1518,Books,72,32.87,Egypt,2366.64,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC7165,Books,6,28.07,Egypt,168.42000000000002,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC1179,Books,97,40.49,Egypt,3927.53,2010-12,2010-12,1
537649,2010-12-07 15:48:00,13807.0,SC1088,Books,35,39.89,Egypt,1396.15,2010-12,2010-12,1
537743,2010-12-08 11:02:00,17706.0,SC9599,Books,57,79.45,Egypt,4528.650000000001,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC1839,Books,52,71.32,Egypt,3708.64,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC6681,Books,7,36.44,Egypt,255.08,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC6665,Books,6,48.53,Egypt,291.18,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC1155,Books,68,75.48,Egypt,5132.64,2010-12,2010-12,1
537861,2010-12-08 16:18:00,16596.0,SC4351,Books,37,2.36,Egypt,87.32,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC9534,Books,84,16.56,Egypt,1391.04,2010-12,2010-12,1
538000,2010-12-09 11:44:00,12748.0,SC5356,Books,100,83.46,Egypt,8346.0,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC5587,Books,72,85.31,Egypt,6142.32,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC3307,Books,2,89.55,Egypt,179.1,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC6127,Books,50,40.3,Egypt,2015.0,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC1194,Books,7,17.12,Egypt,119.84,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC4978,Books,46,95.88,Egypt,4410.48,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC6148,Books,48,26.72,Egypt,1282.56,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC4158,Books,33,53.26,Egypt,1757.58,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC9392,Books,52,20.67,Egypt,1074.84,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC1080,Books,58,96.69,Egypt,5608.02,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC3254,Books,54,99.56,Egypt,5376.24,2010-12,2010-12,1
538565,2010-12-13 11:11:00,13069.0,SC4194,Books,51,51.28,Egypt,2615.28,2010-12,2010-12,1
538591,2010-12-13 11:44:00,14741.0,SC2817,Books,21,41.06,Egypt,862.26,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC9239,Books,64,53.43,Egypt,3419.52,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC4713,Books,63,91.03,Egypt,5734.89,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC6672,Books,24,26.32,Egypt,631.6800000000001,2010-12,2010-12,1
538641,2010-12-13 14:36:00,15640.0,SC2044,Books,10,97.31,Egypt,973.1,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7393,Books,20,49.6,Egypt,992.0,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC3582,Books,72,79.94,Egypt,5755.68,2010-12,2010-12,1
538807,2010-12-14 12:06:00,17194.0,SC6093,Books,34,75.13,Egypt,2554.42,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC4341,Books,72,61.84,Egypt,4452.4800000000005,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC2015,Books,3,58.51,Egypt,175.53,2010-12,2010-12,1
538845,2010-12-14 13:19:00,16531.0,SC7040,Books,64,99.48,Egypt,6366.72,2010-12,2010-12,1
