InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC1321,Cloths,82,38.42,Egypt,3150.44,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7703,Cloths,7,40.96,Egypt,286.72,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5941,Cloths,9,63.72,Egypt,573.48,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1789,Cloths,73,99.71,Egypt,7278.83,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC5476,Cloths,55,43.58,Egypt,2396.9,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3176,Cloths,65,99.16,Egypt,6445.4,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC4195,Cloths,24,13.52,Egypt,324.48,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9510,Cloths,45,47.05,Egypt,2117.25,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1967,Cloths,78,9.41,Egypt,733.98,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8161,Cloths,45,66.88,Egypt,3009.6,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC9972,Cloths,90,54.41,Egypt,4896.9,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC7774,Cloths,17,44.82,Egypt,761.94,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC3287,Cloths,92,49.4,Egypt,4544.8,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC6265,Cloths,42,53.45,Egypt,2244.9,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7991,Cloths,2,50.22,Egypt,100.44,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4467,Cloths,49,76.42,Egypt,3744.58,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8783,Cloths,60,61.95,Egypt,3717.0,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC5224,Cloths,13,95.29,Egypt,1238.77,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC8991,Cloths,93,87.88,Egypt,8172.839999999999,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC5548,Cloths,97,3.08,Egypt,298.76,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC7259,Cloths,71,29.68,Egypt,2107.28,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9677,Cloths,81,81.37,Egypt,6590.97,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC8846,Cloths,33,81.15,Egypt,2677.9500000000003,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC8520,Cloths,18,66.39,Egypt,1195.02,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC9069,Cloths,4,83.86,Egypt,335.44,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC5153,Cloths,49,23.15,Egypt,1134.35,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC9107,Cloths,71,77.77,Egypt,5521.67,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9631,Cloths,86,31.39,Egypt,2699.54,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC5400,Cloths,50,92.61,Egypt,4630.5,2010-12,2010-12,1
