InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC3669,Cosmetics,58,28.85,Egypt,1673.3000000000002,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC5252,Cosmetics,86,9.09,Egypt,781.74,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC1463,Cosmetics,5,64.37,Egypt,321.85,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9596,Cosmetics,35,29.4,Egypt,1029.0,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9259,Cosmetics,69,21.91,Egypt,1511.79,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7395,Cosmetics,18,76.48,Egypt,1376.64,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3668,Cosmetics,7,66.84,Egypt,467.88,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC3095,Cosmetics,49,98.14,Egypt,4808.86,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1022,Cosmetics,7,64.48,Egypt,451.36,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC6690,Cosmetics,25,32.51,Egypt,812.75,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC5536,Cosmetics,32,5.52,Egypt,176.64,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC1178,Cosmetics,11,37.45,Egypt,411.9500000000001,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8265,Cosmetics,88,17.85,Egypt,1570.8000000000002,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC4955,Cosmetics,23,29.81,Egypt,685.63,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1606,Cosmetics,31,95.04,Egypt,2946.24,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8251,Cosmetics,25,87.92,Egypt,2198.0,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC8563,Cosmetics,11,74.38,Egypt,818.18,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC3073,Cosmetics,71,17.14,Egypt,1216.94,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC8498,Cosmetics,67,7.69,Egypt,515.23,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4528,Cosmetics,10,66.01,Egypt,660.1,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5127,Cosmetics,37,71.09,Egypt,2630.33,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2630,Cosmetics,83,20.9,Egypt,1734.6999999999998,2010-12,2010-12,1
537235,2010-12-06 09:45:00,17381.0,SC8458,Cosmetics,84,43.48,Egypt,3652.32,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC2442,Cosmetics,74,30.32,Egypt,2243.68,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC4564,Cosmetics,14,55.14,Egypt,771.96,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC2996,Cosmetics,50,93.1,Egypt,4655.0,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2342,Cosmetics,94,19.39,Egypt,1822.66,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC3656,Cosmetics,13,74.9,Egypt,973.7,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC1695,Cosmetics,59,34.82,Egypt,2054.38,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC7151,Cosmetics,13,24.83,Egypt,322.79,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC7943,Cosmetics,75,70.09,Egypt,5256.75,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC4536,Cosmetics,94,76.65,Egypt,7205.1,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2563,Cosmetics,5,43.08,Egypt,215.4,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC5873,Cosmetics,86,10.95,Egypt,941.7,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC1749,Cosmetics,6,95.64,Egypt,573.84,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC5185,Cosmetics,90,65.76,Egypt,5918.400000000001,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC4877,Cosmetics,12,55.71,Egypt,668.52,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC3692,Cosmetics,46,77.89,Egypt,3582.94,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC9312,Cosmetics,38,38.02,Egypt,1444.7600000000002,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC8138,Cosmetics,36,53.02,Egypt,1908.72,2010-12,2010-12,1
537668,2010-12-08 08:43:00,14821.0,SC8754,Cosmetics,85,14.31,Egypt,1216.35,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC2734,Cosmetics,40,2.63,Egypt,105.2,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC7164,Cosmetics,12,58.58,Egypt,702.96,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC4156,Cosmetics,40,30.97,Egypt,1238.8,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC2448,Cosmetics,57,7.9,Egypt,450.3,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC2900,Cosmetics,29,57.2,Egypt,1658.8000000000002,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC8706,Cosmetics,79,21.94,Egypt,1733.26,2010-12,2010-12,1
537830,2010-12-08 14:46:00,13649.0,SC2578,Cosmetics,21,97.02,Egypt,2037.42,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC9976,Cosmetics,24,68.92,Egypt,1654.08,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC6261,Cosmetics,36,58.56,Egypt,2108.16,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC1043,Cosmetics,64,49.19,Egypt,3148.16,2010-12,2010-12,1
538166,2010-12-09 18:09:00,17965.0,SC4260,Cosmetics,100,54.14,Egypt,5414.0,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC7764,Cosmetics,76,44.69,Egypt,3396.44,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC9908,Cosmetics,44,68.51,Egypt,3014.44,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC9475,Cosmetics,27,92.74,Egypt,2503.98,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC9303,Cosmetics,17,68.93,Egypt,1171.8100000000002,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC2842,Cosmetics,89,95.93,Egypt,8537.77,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC7648,Cosmetics,72,96.53,Egypt,6950.16,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC1182,Cosmetics,68,90.97,Egypt,6185.96,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC5426,Cosmetics,56,68.9,Egypt,3858.400000000001,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC4811,Cosmetics,12,90.71,Egypt,1088.52,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC9929,Cosmetics,65,58.64,Egypt,3811.6,2010-12,2010-12,1
538532,2010-12-13 10:31:00,13209.0,SC9382,Cosmetics,96,97.19,Egypt,9330.24,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC9836,Cosmetics,22,74.94,Egypt,1648.6799999999998,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC8151,Cosmetics,21,51.95,Egypt,1090.95,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC7410,Cosmetics,66,86.58,Egypt,5714.28,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC3923,Cosmetics,64,88.76,Egypt,5680.64,2010-12,2010-12,1
538807,2010-12-14 12:06:00,17194.0,SC8002,Cosmetics,78,35.55,Egypt,2772.9,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC7915,Cosmetics,50,36.67,Egypt,1833.5,2010-12,2010-12,1
538857,2010-12-14 13:58:00,15311.0,SC4583,Cosmetics,54,52.89,Egypt,2856.06,2010-12,2010-12,1
538860,2010-12-14 14:02:00,17757.0,SC5257,Cosmetics,76,75.24,Egypt,5718.24,2010-12,2010-12,1
538886,2010-12-14 16:07:00,13846.0,SC7588,Cosmetics,10,72.14,Egypt,721.4,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC4314,Cosmetics,91,31.1,Egypt,2830.1,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC3987,Cosmetics,83,71.22,Egypt,5911.26,2010-12,2010-12,1
539030,2010-12-15 14:25:00,13089.0,SC9097,Cosmetics,12,77.11,Egypt,925.32,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC2370,Cosmetics,14,82.04,Egypt,1148.5600000000002,2010-12,2010-12,1
539085,2010-12-16 09:35:00,12748.0,SC8359,Cosmetics,74,81.18,Egypt,6007.320000000001,2010-12,2010-12,1
539088,2010-12-16 09:45:00,13093.0,SC8440,Cosmetics,80,40.16,Egypt,3212.8,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC3167,Cosmetics,53,13.78,Egypt,730.3399999999999,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC9732,Cosmetics,97,3.79,Egypt,367.63,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC5909,Cosmetics,26,48.24,Egypt,1254.24,2010-12,2010-12,1
539248,2010-12-16 13:33:00,17288.0,SC7829,Cosmetics,92,58.21,Egypt,5355.32,2010-12,2010-12,1
539255,2010-12-16 14:26:00,16316.0,SC3830,Cosmetics,31,8.19,Egypt,253.89,2010-12,2010-12,1
539263,2010-12-16 14:36:00,16560.0,SC4642,Cosmetics,45,83.25,Egypt,3746.25,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC2795,Cosmetics,31,79.6,Egypt,2467.6,2010-12,2010-12,1
539299,2010-12-16 17:30:00,14180.0,SC1564,Cosmetics,53,17.56,Egypt,930.68,2010-12,2010-12,1
539351,2010-12-17 11:23:00,12551.0,SC2234,Cosmetics,75,64.25,Egypt,4818.75,2010-12,2010-12,1
539374,2010-12-17 11:40:00,14769.0,SC9123,Cosmetics,41,27.32,Egypt,1120.12,2010-12,2010-12,1
539421,2010-12-17 14:21:00,14016.0,SC2011,Cosmetics,24,73.63,Egypt,1767.12,2010-12,2010-12,1
539444,2010-12-17 15:52:00,14146.0,SC2030,Cosmetics,31,61.73,Egypt,1913.63,2010-12,2010-12,1
539446,2010-12-17 15:58:00,12705.0,SC3030,Cosmetics,67,78.58,Egypt,5264.86,2010-12,2010-12,1
539468,2010-12-19 13:31:00,15044.0,SC2272,Cosmetics,99,57.81,Egypt,5723.1900000000005,2010-12,2010-12,1
539474,2010-12-19 14:27:00,15581.0,SC3134,Cosmetics,59,85.66,Egypt,5053.94,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC4003,Cosmetics,43,90.41,Egypt,3887.63,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC4500,Cosmetics,98,39.85,Egypt,3905.3,2010-12,2010-12,1
539988,2010-12-23 16:06:00,18116.0,SC8322,Cosmetics,20,94.71,Egypt,1894.2,2010-12,2010-12,1
540017,2011-01-04 11:48:00,13963.0,SC4873,Cosmetics,77,48.39,Egypt,3726.03,2011-01,2011-01,1
540027,2011-01-04 13:30:00,14210.0,SC3323,Cosmetics,95,94.77,Egypt,9003.15,2011-01,2011-01,1
540059,2011-01-04 14:33:00,17457.0,SC8303,Cosmetics,26,55.69,Egypt,1447.94,2011-01,2011-01,1
540163,2011-01-05 11:52:00,13089.0,SC9418,Cosmetics,55,45.59,Egypt,2507.4500000000003,2011-01,2010-12,2
540180,2011-01-05 13:05:00,15984.0,SC8462,Cosmetics,34,89.5,Egypt,3043.0,2011-01,2011-01,1
540185,2011-01-05 13:40:00,14653.0,SC1362,Cosmetics,73,35.03,Egypt,2557.19,2011-01,2011-01,1
540249,2011-01-05 16:00:00,15298.0,SC6934,Cosmetics,100,68.8,Egypt,6880.0,2011-01,2011-01,1
540260,2011-01-06 09:40:00,13097.0,SC1988,Cosmetics,97,88.3,Egypt,8565.1,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC3076,Cosmetics,85,13.3,Egypt,1130.5,2011-01,2011-01,1
540416,2011-01-07 10:55:00,16473.0,SC2959,Cosmetics,74,5.45,Egypt,403.3,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC8583,Cosmetics,37,53.15,Egypt,1966.55,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC1216,Cosmetics,94,11.52,Egypt,1082.88,2011-01,2011-01,1
540464,2011-01-07 13:17:00,14298.0,SC4977,Cosmetics,95,44.5,Egypt,4227.5,2011-01,2011-01,1
540464,2011-01-07 13:17:00,14298.0,SC5502,Cosmetics,48,18.71,Egypt,898.08,2011-01,2011-01,1
540477,2011-01-07 14:49:00,13233.0,SC1960,Cosmetics,75,1.98,Egypt,148.5,2011-01,2011-01,1
540480,2011-01-07 15:27:00,12480.0,SC6374,Cosmetics,47,23.37,Egypt,1098.39,2011-01,2011-01,1
540489,2011-01-07 16:32:00,13593.0,SC7934,Cosmetics,31,17.53,Egypt,543.4300000000001,2011-01,2011-01,1
540511,2011-01-09 11:34:00,14472.0,SC6557,Cosmetics,27,52.0,Egypt,1404.0,2011-01,2011-01,1
540516,2011-01-09 12:01:00,16326.0,SC6094,Cosmetics,28,71.18,Egypt,1993.04,2011-01,2011-01,1
540524,2011-01-09 12:53:00,16735.0,SC6949,Cosmetics,91,90.45,Egypt,8230.95,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC3466,Cosmetics,24,28.71,Egypt,689.04,2011-01,2011-01,1
540641,2011-01-10 13:20:00,16497.0,SC9189,Cosmetics,36,83.85,Egypt,3018.6,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC1040,Cosmetics,29,29.06,Egypt,842.74,2011-01,2011-01,1
540680,2011-01-10 16:24:00,15311.0,SC3770,Cosmetics,76,82.85,Egypt,6296.599999999999,2011-01,2010-12,2
540702,2011-01-11 09:58:00,13491.0,SC7994,Cosmetics,100,33.0,Egypt,3300.0,2011-01,2011-01,1
540794,2011-01-11 11:54:00,16034.0,SC2712,Cosmetics,3,37.15,Egypt,111.45,2011-01,2011-01,1
540803,2011-01-11 12:30:00,14669.0,SC5377,Cosmetics,67,34.69,Egypt,2324.23,2011-01,2011-01,1
540915,2011-01-12 12:00:00,13267.0,SC9604,Cosmetics,51,74.32,Egypt,3790.32,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC5270,Cosmetics,19,24.81,Egypt,471.39,2011-01,2011-01,1
540979,2011-01-12 15:06:00,15727.0,SC5618,Cosmetics,26,67.58,Egypt,1757.08,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC1013,Cosmetics,25,15.08,Egypt,377.0,2011-01,2011-01,1
541107,2011-01-13 14:55:00,17744.0,SC8795,Cosmetics,4,7.04,Egypt,28.16,2011-01,2011-01,1
541135,2011-01-14 10:31:00,16233.0,SC5421,Cosmetics,39,34.52,Egypt,1346.2800000000002,2011-01,2011-01,1
541172,2011-01-14 11:47:00,13854.0,SC7553,Cosmetics,95,39.73,Egypt,3774.35,2011-01,2011-01,1
541205,2011-01-14 12:23:00,18106.0,SC8471,Cosmetics,71,63.41,Egypt,4502.11,2011-01,2011-01,1
541215,2011-01-14 13:42:00,14329.0,SC6221,Cosmetics,55,97.79,Egypt,5378.450000000001,2011-01,2011-01,1
541220,2011-01-14 14:11:00,14156.0,SC9625,Cosmetics,74,49.67,Egypt,3675.58,2011-01,2011-01,1
541223,2011-01-14 14:39:00,17954.0,SC1875,Cosmetics,3,33.89,Egypt,101.67,2011-01,2011-01,1
541258,2011-01-16 15:30:00,13634.0,SC2226,Cosmetics,44,35.87,Egypt,1578.28,2011-01,2011-01,1
541262,2011-01-16 15:50:00,18069.0,SC3505,Cosmetics,27,93.06,Egypt,2512.62,2011-01,2011-01,1
541264,2011-01-16 16:10:00,17064.0,SC4846,Cosmetics,29,94.94,Egypt,2753.26,2011-01,2011-01,1
541279,2011-01-17 11:55:00,18223.0,SC4179,Cosmetics,16,78.55,Egypt,1256.8,2011-01,2011-01,1
541285,2011-01-17 12:45:00,13001.0,SC3678,Cosmetics,15,24.51,Egypt,367.65,2011-01,2011-01,1
541439,2011-01-18 10:58:00,16948.0,SC3843,Cosmetics,23,50.2,Egypt,1154.6,2011-01,2011-01,1
541485,2011-01-18 13:05:00,18118.0,SC7295,Cosmetics,81,59.75,Egypt,4839.75,2011-01,2010-12,2
541518,2011-01-19 09:05:00,12451.0,SC9587,Cosmetics,16,35.42,Egypt,566.72,2011-01,2011-01,1
541518,2011-01-19 09:05:00,12451.0,SC4914,Cosmetics,46,15.22,Egypt,700.12,2011-01,2011-01,1
541524,2011-01-19 10:49:00,17091.0,SC8086,Cosmetics,18,59.83,Egypt,1076.94,2011-01,2011-01,1
541566,2011-01-19 11:50:00,17722.0,SC9445,Cosmetics,73,12.67,Egypt,924.91,2011-01,2010-12,2
541574,2011-01-19 12:52:00,12826.0,SC4832,Cosmetics,75,25.83,Egypt,1937.25,2011-01,2011-01,1
541591,2011-01-19 14:52:00,15831.0,SC4389,Cosmetics,85,11.52,Egypt,979.2,2011-01,2011-01,1
541596,2011-01-19 16:18:00,17602.0,SC9560,Cosmetics,34,93.01,Egypt,3162.34,2011-01,2011-01,1
541658,2011-01-20 12:16:00,15529.0,SC3393,Cosmetics,92,51.73,Egypt,4759.16,2011-01,2011-01,1
541678,2011-01-20 14:13:00,17771.0,SC7076,Cosmetics,28,52.71,Egypt,1475.88,2011-01,2011-01,1
541684,2011-01-20 15:22:00,15498.0,SC1530,Cosmetics,59,7.87,Egypt,464.33,2011-01,2011-01,1
541684,2011-01-20 15:22:00,15498.0,SC3317,Cosmetics,37,56.33,Egypt,2084.21,2011-01,2011-01,1
541709,2011-01-21 11:09:00,17504.0,SC9969,Cosmetics,6,12.82,Egypt,76.92,2011-01,2011-01,1
541789,2011-01-21 13:07:00,14088.0,SC2805,Cosmetics,93,92.84,Egypt,8634.12,2011-01,2011-01,1
541816,2011-01-21 15:56:00,17799.0,SC4905,Cosmetics,12,8.35,Egypt,100.2,2011-01,2011-01,1
541848,2011-01-23 13:31:00,17611.0,SC3161,Cosmetics,43,78.95,Egypt,3394.85,2011-01,2011-01,1
541873,2011-01-24 09:52:00,14368.0,SC5356,Cosmetics,2,49.97,Egypt,99.94,2011-01,2011-01,1
542096,2011-01-25 12:52:00,17236.0,SC8091,Cosmetics,37,44.7,Egypt,1653.9,2011-01,2011-01,1
542102,2011-01-25 13:26:00,12744.0,SC1720,Cosmetics,42,97.66,Egypt,4101.72,2011-01,2011-01,1
542102,2011-01-25 13:26:00,12744.0,SC1010,Cosmetics,80,43.22,Egypt,3457.6,2011-01,2011-01,1
542121,2011-01-25 14:33:00,17515.0,SC3463,Cosmetics,45,59.17,Egypt,2662.65,2011-01,2011-01,1
542148,2011-01-26 10:10:00,14060.0,SC4399,Cosmetics,67,16.13,Egypt,1080.71,2011-01,2011-01,1
542151,2011-01-26 10:30:00,13491.0,SC1477,Cosmetics,77,42.63,Egypt,3282.51,2011-01,2011-01,1
542228,2011-01-26 13:37:00,13113.0,SC4566,Cosmetics,76,32.71,Egypt,2485.96,2011-01,2011-01,1
542229,2011-01-26 13:38:00,12474.0,SC6064,Cosmetics,8,28.89,Egypt,231.12,2011-01,2011-01,1
542231,2011-01-26 13:40:00,16714.0,SC8808,Cosmetics,87,57.35,Egypt,4989.45,2011-01,2011-01,1
542235,2011-01-26 13:56:00,15661.0,SC3478,Cosmetics,9,72.79,Egypt,655.11,2011-01,2011-01,1
542236,2011-01-26 14:19:00,17027.0,SC5729,Cosmetics,41,20.35,Egypt,834.35,2011-01,2011-01,1
542238,2011-01-26 14:35:00,12591.0,SC4511,Cosmetics,25,93.15,Egypt,2328.75,2011-01,2011-01,1
542268,2011-01-27 08:30:00,15358.0,SC6798,Cosmetics,21,12.16,Egypt,255.36,2011-01,2011-01,1
542274,2011-01-27 10:02:00,16782.0,SC4093,Cosmetics,68,7.16,Egypt,486.88,2011-01,2011-01,1
542303,2011-01-27 11:05:00,12539.0,SC7578,Cosmetics,90,71.43,Egypt,6428.700000000001,2011-01,2011-01,1
542372,2011-01-27 13:37:00,13078.0,SC5096,Cosmetics,46,55.69,Egypt,2561.74,2011-01,2011-01,1
542373,2011-01-27 13:38:00,16767.0,SC1830,Cosmetics,8,47.89,Egypt,383.12,2011-01,2011-01,1
542393,2011-01-27 15:02:00,18125.0,SC4538,Cosmetics,39,96.9,Egypt,3779.1,2011-01,2011-01,1
