InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC1734,Electronics,65,10.23,Egypt,664.95,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8067,Electronics,3,90.02,Egypt,270.06,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5710,Electronics,36,29.33,Egypt,1055.88,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8274,Electronics,55,69.5,Egypt,3822.5,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC6084,Electronics,42,17.12,Egypt,719.0400000000001,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC8890,Electronics,4,79.62,Egypt,318.48,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC2995,Electronics,25,39.48,Egypt,987.0,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC2663,Electronics,52,47.8,Egypt,2485.6,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC6849,Electronics,57,95.46,Egypt,5441.219999999999,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6477,Electronics,85,83.4,Egypt,7089.000000000001,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC8735,Electronics,42,80.01,Egypt,3360.42,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC7958,Electronics,66,70.39,Egypt,4645.74,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC5233,Electronics,93,96.2,Egypt,8946.6,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC6832,Electronics,54,87.21,Egypt,4709.339999999999,2010-12,2010-12,1
537052,2010-12-05 11:15:00,16839.0,SC1584,Electronics,63,67.06,Egypt,4224.78,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7332,Electronics,30,42.04,Egypt,1261.2,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC9290,Electronics,48,56.05,Egypt,2690.4,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC2656,Electronics,77,26.3,Egypt,2025.1,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC7406,Electronics,47,6.29,Egypt,295.63,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7021,Electronics,36,22.9,Egypt,824.4,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC6651,Electronics,40,42.32,Egypt,1692.8,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2048,Electronics,54,37.79,Egypt,2040.66,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC7488,Electronics,42,72.26,Egypt,3034.92,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC7753,Electronics,16,49.7,Egypt,795.2,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC8091,Electronics,56,69.98,Egypt,3918.88,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC2532,Electronics,19,76.11,Egypt,1446.09,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC6715,Electronics,21,23.28,Egypt,488.88,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC6736,Electronics,68,44.76,Egypt,3043.68,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC1929,Electronics,19,81.67,Egypt,1551.73,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC2429,Electronics,61,59.52,Egypt,3630.72,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC9392,Electronics,61,44.48,Egypt,2713.28,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC3629,Electronics,79,30.76,Egypt,2430.04,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC4463,Electronics,98,84.42,Egypt,8273.16,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC6839,Electronics,38,59.03,Egypt,2243.14,2010-12,2010-12,1
537593,2010-12-07 12:21:00,14282.0,SC5735,Electronics,16,99.86,Egypt,1597.76,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC2806,Electronics,97,41.36,Egypt,4011.92,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC4093,Electronics,90,3.12,Egypt,280.8,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1120,Electronics,68,67.27,Egypt,4574.36,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6888,Electronics,64,96.82,Egypt,6196.48,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC6804,Electronics,92,31.81,Egypt,2926.52,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC4960,Electronics,94,63.66,Egypt,5984.04,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC3806,Electronics,30,39.03,Egypt,1170.9,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC3003,Electronics,83,6.55,Egypt,543.65,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC1367,Electronics,33,4.79,Egypt,158.07,2010-12,2010-12,1
538068,2010-12-09 14:05:00,17978.0,SC9961,Electronics,32,88.74,Egypt,2839.68,2010-12,2010-12,1
538076,2010-12-09 14:15:00,15311.0,SC5833,Electronics,5,68.32,Egypt,341.6,2010-12,2010-12,1
538094,2010-12-09 14:50:00,13117.0,SC5181,Electronics,53,9.52,Egypt,504.56,2010-12,2010-12,1
538168,2010-12-09 19:23:00,14702.0,SC1901,Electronics,1,50.42,Egypt,50.42,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC1855,Electronics,10,87.92,Egypt,879.2,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC2453,Electronics,87,60.96,Egypt,5303.52,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC2005,Electronics,38,86.04,Egypt,3269.5200000000004,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC4942,Electronics,62,10.54,Egypt,653.4799999999999,2010-12,2010-12,1
