InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536392,2010-12-01 10:29:00,13705.0,SC3694,Furniture,49,90.68,Egypt,4443.320000000001,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8775,Furniture,25,45.71,Egypt,1142.75,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9209,Furniture,7,32.75,Egypt,229.25,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC8292,Furniture,62,29.21,Egypt,1811.02,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC4655,Furniture,88,82.2,Egypt,7233.6,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC7223,Furniture,36,23.07,Egypt,830.52,2010-12,2010-12,1
536564,2010-12-01 15:08:00,13468.0,SC1744,Furniture,67,38.0,Egypt,2546.0,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC2775,Furniture,19,46.6,Egypt,885.4,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC1770,Furniture,51,52.05,Egypt,2654.55,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC7743,Furniture,95,21.36,Egypt,2029.2,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC6881,Furniture,17,72.16,Egypt,1226.72,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC9358,Furniture,94,77.36,Egypt,7271.84,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC4825,Furniture,14,66.1,Egypt,925.4,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC6773,Furniture,59,19.14,Egypt,1129.26,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC9688,Furniture,63,34.3,Egypt,2160.9,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC7270,Furniture,18,82.63,Egypt,1487.34,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC6021,Furniture,40,43.53,Egypt,1741.2,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC4272,Furniture,35,30.98,Egypt,1084.3,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4394,Furniture,94,40.88,Egypt,3842.72,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6973,Furniture,54,24.52,Egypt,1324.08,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC1206,Furniture,59,46.4,Egypt,2737.6,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7091,Furniture,35,97.45,Egypt,3410.75,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC9172,Furniture,11,72.08,Egypt,792.88,2010-12,2010-12,1
537031,2010-12-03 16:45:00,16455.0,SC6263,Furniture,29,75.93,Egypt,2201.9700000000003,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9812,Furniture,71,3.64,Egypt,258.44,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC9261,Furniture,79,59.63,Egypt,4710.77,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9253,Furniture,77,45.41,Egypt,3496.57,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC8515,Furniture,76,76.07,Egypt,5781.32,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC8058,Furniture,41,13.95,Egypt,571.9499999999999,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC4801,Furniture,16,60.55,Egypt,968.8,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC8174,Furniture,40,52.85,Egypt,2114.0,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7940,Furniture,97,62.33,Egypt,6046.01,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC4211,Furniture,28,13.35,Egypt,373.8,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1045,Furniture,25,28.1,Egypt,702.5,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1740,Furniture,19,61.07,Egypt,1160.33,2010-12,2010-12,1
537246,2010-12-06 10:27:00,12808.0,SC6335,Furniture,20,87.65,Egypt,1753.0,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC5183,Furniture,57,95.49,Egypt,5442.929999999999,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3894,Furniture,40,35.24,Egypt,1409.6,2010-12,2010-12,1
537423,2010-12-06 15:34:00,14215.0,SC7959,Furniture,22,51.37,Egypt,1130.14,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC2731,Furniture,20,56.57,Egypt,1131.4,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC1875,Furniture,54,47.03,Egypt,2539.62,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC9546,Furniture,34,92.39,Egypt,3141.26,2010-12,2010-12,1
537649,2010-12-07 15:48:00,13807.0,SC7539,Furniture,33,59.83,Egypt,1974.39,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1051,Furniture,86,18.67,Egypt,1605.62,2010-12,2010-12,1
537796,2010-12-08 13:03:00,18061.0,SC2390,Furniture,99,92.31,Egypt,9138.69,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC4927,Furniture,58,49.71,Egypt,2883.18,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC7326,Furniture,9,27.48,Egypt,247.32,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC5254,Furniture,4,94.6,Egypt,378.4,2010-12,2010-12,1
537886,2010-12-09 09:49:00,15660.0,SC5579,Furniture,34,35.8,Egypt,1217.1999999999998,2010-12,2010-12,1
537886,2010-12-09 09:49:00,15660.0,SC8843,Furniture,97,69.44,Egypt,6735.679999999999,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC8349,Furniture,91,35.33,Egypt,3215.03,2010-12,2010-12,1
537981,2010-12-09 11:35:00,17857.0,SC4405,Furniture,21,47.69,Egypt,1001.49,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC2513,Furniture,71,66.09,Egypt,4692.39,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC9132,Furniture,69,78.94,Egypt,5446.86,2010-12,2010-12,1
538182,2010-12-10 10:18:00,17827.0,SC8741,Furniture,92,75.97,Egypt,6989.24,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC8742,Furniture,80,83.54,Egypt,6683.200000000001,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC2269,Furniture,61,35.98,Egypt,2194.78,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC7709,Furniture,64,63.66,Egypt,4074.24,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC2907,Furniture,73,98.84,Egypt,7215.320000000001,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC1537,Furniture,87,47.05,Egypt,4093.35,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC9009,Furniture,57,77.05,Egypt,4391.849999999999,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC8314,Furniture,95,26.15,Egypt,2484.25,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC7373,Furniture,29,69.82,Egypt,2024.78,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC3211,Furniture,28,74.56,Egypt,2087.6800000000003,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9961,Furniture,13,49.55,Egypt,644.15,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC4838,Furniture,49,50.53,Egypt,2475.9700000000003,2010-12,2010-12,1
