InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC1232,Kitchenware,75,95.72,Egypt,7179.0,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3904,Kitchenware,44,43.33,Egypt,1906.52,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9602,Kitchenware,72,19.43,Egypt,1398.96,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6379,Kitchenware,65,79.83,Egypt,5188.95,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9618,Kitchenware,5,82.58,Egypt,412.9,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC7693,Kitchenware,5,98.23,Egypt,491.15,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC4315,Kitchenware,74,81.94,Egypt,6063.56,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC1218,Kitchenware,55,95.41,Egypt,5247.55,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5151,Kitchenware,10,28.28,Egypt,282.8,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2135,Kitchenware,80,60.98,Egypt,4878.4,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC9016,Kitchenware,71,23.55,Egypt,1672.05,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7595,Kitchenware,75,13.56,Egypt,1017.0,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9906,Kitchenware,28,88.21,Egypt,2469.88,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6713,Kitchenware,71,65.2,Egypt,4629.2,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC3057,Kitchenware,12,43.97,Egypt,527.64,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC5003,Kitchenware,57,20.2,Egypt,1151.4,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC2883,Kitchenware,29,31.98,Egypt,927.42,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC4947,Kitchenware,69,28.49,Egypt,1965.81,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1962,Kitchenware,64,14.11,Egypt,903.04,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC9082,Kitchenware,25,38.31,Egypt,957.75,2010-12,2010-12,1
