InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC4801,Shoes,90,7.46,Egypt,671.4,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8157,Shoes,56,74.14,Egypt,4151.84,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC1293,Shoes,71,25.31,Egypt,1797.01,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4254,Shoes,29,76.49,Egypt,2218.21,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1131,Shoes,60,76.96,Egypt,4617.599999999999,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC3140,Shoes,12,88.9,Egypt,1066.8000000000002,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC1105,Shoes,27,42.46,Egypt,1146.42,2010-12,2010-12,1
536785,2010-12-02 15:22:00,15061.0,SC8143,Shoes,70,52.56,Egypt,3679.2,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6519,Shoes,61,29.89,Egypt,1823.29,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC2340,Shoes,94,46.73,Egypt,4392.62,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC7427,Shoes,60,18.09,Egypt,1085.4,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC6202,Shoes,87,99.48,Egypt,8654.76,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9655,Shoes,58,98.96,Egypt,5739.679999999999,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC6987,Shoes,72,12.03,Egypt,866.16,2010-12,2010-12,1
537053,2010-12-05 11:38:00,16168.0,SC2774,Shoes,17,86.68,Egypt,1473.5600000000002,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC7239,Shoes,27,55.71,Egypt,1504.17,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7707,Shoes,10,57.43,Egypt,574.3,2010-12,2010-12,1
