InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC3349,Sports Equipment,55,81.39,Egypt,4476.45,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2510,Sports Equipment,1,35.89,Egypt,35.89,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4701,Sports Equipment,9,47.25,Egypt,425.25,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC8750,Sports Equipment,57,27.17,Egypt,1548.69,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC1855,Sports Equipment,13,93.3,Egypt,1212.9,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2801,Sports Equipment,76,64.96,Egypt,4936.959999999999,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC5021,Sports Equipment,53,86.27,Egypt,4572.31,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC7513,Sports Equipment,30,36.3,Egypt,1089.0,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC7792,Sports Equipment,76,69.38,Egypt,5272.879999999999,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC6064,Sports Equipment,53,59.64,Egypt,3160.92,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC3511,Sports Equipment,84,65.27,Egypt,5482.679999999999,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9305,Sports Equipment,11,59.17,Egypt,650.87,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC9442,Sports Equipment,35,3.61,Egypt,126.35,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC2933,Sports Equipment,38,3.93,Egypt,149.34,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC8746,Sports Equipment,8,98.28,Egypt,786.24,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC7843,Sports Equipment,80,22.56,Egypt,1804.8,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC9308,Sports Equipment,39,55.87,Egypt,2178.93,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5175,Sports Equipment,57,82.38,Egypt,4695.66,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC2070,Sports Equipment,16,68.19,Egypt,1091.04,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC4031,Sports Equipment,77,38.4,Egypt,2956.8,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC1232,Sports Equipment,70,85.44,Egypt,5980.8,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2538,Sports Equipment,54,21.44,Egypt,1157.76,2010-12,2010-12,1
537213,2010-12-05 15:26:00,12748.0,SC1929,Sports Equipment,35,1.53,Egypt,53.55,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC7908,Sports Equipment,84,16.13,Egypt,1354.9199999999998,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC8907,Sports Equipment,33,16.3,Egypt,537.9,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC7607,Sports Equipment,10,19.47,Egypt,194.7,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC9927,Sports Equipment,81,46.85,Egypt,3794.85,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC9627,Sports Equipment,42,72.5,Egypt,3045.0,2010-12,2010-12,1
537313,2010-12-06 11:42:00,15304.0,SC8770,Sports Equipment,49,49.12,Egypt,2406.88,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC8046,Sports Equipment,97,27.31,Egypt,2649.07,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC6984,Sports Equipment,47,99.91,Egypt,4695.77,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC6258,Sports Equipment,61,80.47,Egypt,4908.67,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC7916,Sports Equipment,76,20.72,Egypt,1574.7199999999998,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7082,Sports Equipment,68,31.73,Egypt,2157.64,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC6584,Sports Equipment,96,90.53,Egypt,8690.880000000001,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC5134,Sports Equipment,44,36.41,Egypt,1602.04,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC3523,Sports Equipment,97,26.59,Egypt,2579.23,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC2207,Sports Equipment,74,26.19,Egypt,1938.06,2010-12,2010-12,1
537629,2010-12-07 15:03:00,17419.0,SC3305,Sports Equipment,49,37.38,Egypt,1831.62,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC3045,Sports Equipment,35,88.1,Egypt,3083.5,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9340,Sports Equipment,36,83.29,Egypt,2998.44,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC3383,Sports Equipment,52,55.59,Egypt,2890.6800000000003,2010-12,2010-12,1
537831,2010-12-08 14:50:00,17894.0,SC1450,Sports Equipment,39,51.88,Egypt,2023.32,2010-12,2010-12,1
537837,2010-12-08 14:59:00,13077.0,SC8343,Sports Equipment,90,46.87,Egypt,4218.3,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC1787,Sports Equipment,53,38.59,Egypt,2045.27,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC7685,Sports Equipment,61,55.96,Egypt,3413.56,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC2547,Sports Equipment,7,16.13,Egypt,112.91,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC1773,Sports Equipment,61,15.49,Egypt,944.89,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC7623,Sports Equipment,62,29.46,Egypt,1826.52,2010-12,2010-12,1
538151,2010-12-09 16:28:00,16163.0,SC8288,Sports Equipment,81,57.94,Egypt,4693.139999999999,2010-12,2010-12,1
538172,2010-12-10 09:33:00,15805.0,SC2204,Sports Equipment,28,9.53,Egypt,266.84,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC5616,Sports Equipment,73,48.55,Egypt,3544.15,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC1377,Sports Equipment,29,34.18,Egypt,991.22,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC2860,Sports Equipment,74,1.4,Egypt,103.6,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC6054,Sports Equipment,79,99.93,Egypt,7894.47,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC3172,Sports Equipment,35,47.16,Egypt,1650.6,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC1569,Sports Equipment,51,70.09,Egypt,3574.59,2010-12,2010-12,1
538280,2010-12-10 12:50:00,12748.0,SC8172,Sports Equipment,88,15.66,Egypt,1378.08,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC3771,Sports Equipment,49,49.54,Egypt,2427.46,2010-12,2010-12,1
538361,2010-12-10 16:36:00,17757.0,SC9265,Sports Equipment,92,36.98,Egypt,3402.16,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC4706,Sports Equipment,84,33.61,Egypt,2823.24,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC8005,Sports Equipment,95,30.14,Egypt,2863.3,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC7248,Sports Equipment,77,89.87,Egypt,6919.990000000001,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC3877,Sports Equipment,53,60.98,Egypt,3231.94,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC8006,Sports Equipment,48,62.23,Egypt,2987.04,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4586,Sports Equipment,20,82.13,Egypt,1642.6,2010-12,2010-12,1
538657,2010-12-13 15:26:00,15867.0,SC4899,Sports Equipment,43,39.04,Egypt,1678.72,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC5965,Sports Equipment,52,83.4,Egypt,4336.8,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC1353,Sports Equipment,9,47.17,Egypt,424.53,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC2912,Sports Equipment,35,4.54,Egypt,158.9,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC8906,Sports Equipment,98,29.58,Egypt,2898.84,2010-12,2010-12,1
538817,2010-12-14 12:38:00,16191.0,SC8661,Sports Equipment,19,29.76,Egypt,565.44,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC3444,Sports Equipment,44,40.62,Egypt,1787.28,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC7143,Sports Equipment,13,85.87,Egypt,1116.31,2010-12,2010-12,1
538903,2010-12-15 10:17:00,13496.0,SC6600,Sports Equipment,76,88.01,Egypt,6688.76,2010-12,2010-12,1
538994,2010-12-15 12:05:00,17525.0,SC4190,Sports Equipment,32,76.76,Egypt,2456.32,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC4523,Sports Equipment,15,18.74,Egypt,281.1,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC3338,Sports Equipment,12,96.01,Egypt,1152.12,2010-12,2010-12,1
539106,2010-12-16 10:51:00,16705.0,SC2002,Sports Equipment,10,48.07,Egypt,480.7,2010-12,2010-12,1
539181,2010-12-16 11:51:00,12748.0,SC9629,Sports Equipment,21,41.57,Egypt,872.97,2010-12,2010-12,1
539214,2010-12-16 12:31:00,17062.0,SC5001,Sports Equipment,1,91.13,Egypt,91.13,2010-12,2010-12,1
539216,2010-12-16 12:42:00,12748.0,SC6544,Sports Equipment,45,80.54,Egypt,3624.3,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC9124,Sports Equipment,94,8.65,Egypt,813.1,2010-12,2010-12,1
539314,2010-12-16 18:20:00,13874.0,SC1110,Sports Equipment,2,24.78,Egypt,49.56,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC3011,Sports Equipment,72,2.28,Egypt,164.16,2010-12,2010-12,1
539442,2010-12-17 15:39:00,16558.0,SC3074,Sports Equipment,96,87.88,Egypt,8436.48,2010-12,2010-12,1
539444,2010-12-17 15:52:00,14146.0,SC3736,Sports Equipment,73,69.78,Egypt,5093.9400000000005,2010-12,2010-12,1
539465,2010-12-19 11:38:00,16684.0,SC2661,Sports Equipment,66,5.84,Egypt,385.44,2010-12,2010-12,1
539497,2010-12-20 10:41:00,12944.0,SC5094,Sports Equipment,11,19.95,Egypt,219.45,2010-12,2010-12,1
539501,2010-12-20 11:08:00,17085.0,SC1027,Sports Equipment,53,46.74,Egypt,2477.2200000000003,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC1470,Sports Equipment,73,18.22,Egypt,1330.06,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC6377,Sports Equipment,79,5.48,Egypt,432.92,2010-12,2010-12,1
539666,2010-12-21 10:41:00,16029.0,SC3516,Sports Equipment,22,17.01,Egypt,374.22,2010-12,2010-12,1
539933,2010-12-23 11:24:00,15235.0,SC9521,Sports Equipment,40,45.82,Egypt,1832.8,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC8652,Sports Equipment,10,21.86,Egypt,218.6,2010-12,2010-12,1
540149,2011-01-05 11:00:00,12921.0,SC5822,Sports Equipment,70,2.28,Egypt,159.6,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC3105,Sports Equipment,10,12.1,Egypt,121.0,2011-01,2011-01,1
540239,2011-01-05 14:48:00,12682.0,SC4486,Sports Equipment,77,90.98,Egypt,7005.46,2011-01,2011-01,1
540353,2011-01-06 14:53:00,13764.0,SC4558,Sports Equipment,95,40.53,Egypt,3850.35,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC3247,Sports Equipment,93,42.66,Egypt,3967.38,2011-01,2011-01,1
540462,2011-01-07 12:45:00,16779.0,SC2705,Sports Equipment,75,32.03,Egypt,2402.25,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC7544,Sports Equipment,97,47.03,Egypt,4561.91,2011-01,2011-01,1
540481,2011-01-07 15:42:00,16955.0,SC2102,Sports Equipment,52,24.49,Egypt,1273.48,2011-01,2011-01,1
540501,2011-01-09 10:43:00,13162.0,SC1369,Sports Equipment,19,71.85,Egypt,1365.15,2011-01,2011-01,1
540512,2011-01-09 11:39:00,17114.0,SC6576,Sports Equipment,84,94.44,Egypt,7932.96,2011-01,2011-01,1
540516,2011-01-09 12:01:00,16326.0,SC4078,Sports Equipment,76,19.05,Egypt,1447.8,2011-01,2011-01,1
540539,2011-01-09 14:42:00,18260.0,SC6192,Sports Equipment,2,53.39,Egypt,106.78,2011-01,2011-01,1
540546,2011-01-09 15:56:00,12766.0,SC1801,Sports Equipment,81,52.69,Egypt,4267.889999999999,2011-01,2011-01,1
540554,2011-01-10 09:55:00,18171.0,SC1981,Sports Equipment,76,12.76,Egypt,969.76,2011-01,2011-01,1
540680,2011-01-10 16:24:00,15311.0,SC9061,Sports Equipment,34,69.88,Egypt,2375.92,2011-01,2011-01,1
540687,2011-01-10 17:18:00,15867.0,SC2286,Sports Equipment,83,80.58,Egypt,6688.139999999999,2011-01,2010-12,2
540785,2011-01-11 11:39:00,12557.0,SC7546,Sports Equipment,26,16.33,Egypt,424.5799999999999,2011-01,2011-01,1
540827,2011-01-11 14:15:00,17569.0,SC9133,Sports Equipment,84,32.22,Egypt,2706.48,2011-01,2011-01,1
540856,2011-01-12 10:16:00,16655.0,SC6758,Sports Equipment,40,82.47,Egypt,3298.8,2011-01,2011-01,1
540859,2011-01-12 10:58:00,17965.0,SC5589,Sports Equipment,25,58.87,Egypt,1471.75,2011-01,2011-01,1
540968,2011-01-12 13:40:00,17338.0,SC1524,Sports Equipment,60,13.58,Egypt,814.8,2011-01,2011-01,1
540976,2011-01-12 15:00:00,12652.0,SC9314,Sports Equipment,55,72.14,Egypt,3967.7,2011-01,2011-01,1
540986,2011-01-12 16:14:00,15291.0,SC5151,Sports Equipment,93,50.87,Egypt,4730.91,2011-01,2011-01,1
540992,2011-01-12 16:57:00,17364.0,SC8059,Sports Equipment,13,60.77,Egypt,790.01,2011-01,2011-01,1
540994,2011-01-13 09:29:00,13089.0,SC6948,Sports Equipment,29,44.63,Egypt,1294.27,2011-01,2011-01,1
541011,2011-01-13 11:26:00,15447.0,SC1546,Sports Equipment,5,80.69,Egypt,403.45,2011-01,2011-01,1
541094,2011-01-13 13:36:00,13246.0,SC3052,Sports Equipment,12,91.8,Egypt,1101.6,2011-01,2011-01,1
541138,2011-01-14 10:42:00,12553.0,SC2734,Sports Equipment,14,59.61,Egypt,834.54,2011-01,2011-01,1
541172,2011-01-14 11:47:00,13854.0,SC5477,Sports Equipment,55,41.43,Egypt,2278.65,2011-01,2011-01,1
541202,2011-01-14 12:09:00,17581.0,SC8986,Sports Equipment,91,46.61,Egypt,4241.51,2011-01,2011-01,1
541208,2011-01-14 12:29:00,15159.0,SC7690,Sports Equipment,97,21.4,Egypt,2075.8,2011-01,2010-12,2
541292,2011-01-17 13:30:00,15596.0,SC6075,Sports Equipment,73,86.88,Egypt,6342.24,2011-01,2011-01,1
541405,2011-01-17 15:17:00,12683.0,SC3017,Sports Equipment,97,88.66,Egypt,8600.02,2011-01,2011-01,1
541413,2011-01-17 16:14:00,13859.0,SC3282,Sports Equipment,95,20.37,Egypt,1935.15,2011-01,2011-01,1
541417,2011-01-17 16:23:00,16033.0,SC2029,Sports Equipment,48,2.48,Egypt,119.04,2011-01,2011-01,1
541518,2011-01-19 09:05:00,12451.0,SC3924,Sports Equipment,36,9.76,Egypt,351.36,2011-01,2011-01,1
541590,2011-01-19 14:50:00,13310.0,SC3192,Sports Equipment,40,17.61,Egypt,704.4,2011-01,2011-01,1
541593,2011-01-19 15:20:00,17611.0,SC9981,Sports Equipment,73,82.07,Egypt,5991.11,2011-01,2011-01,1
541593,2011-01-19 15:20:00,17611.0,SC9199,Sports Equipment,90,31.67,Egypt,2850.3,2011-01,2011-01,1
541703,2011-01-21 09:52:00,12594.0,SC8711,Sports Equipment,13,23.37,Egypt,303.81,2011-01,2011-01,1
541785,2011-01-21 12:40:00,14779.0,SC1987,Sports Equipment,19,31.96,Egypt,607.24,2011-01,2011-01,1
541844,2011-01-23 12:19:00,16931.0,SC3401,Sports Equipment,10,43.42,Egypt,434.2000000000001,2011-01,2011-01,1
