InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC6602,Toys,69,65.16,Egypt,4496.04,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3921,Toys,73,16.67,Egypt,1216.91,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC9959,Toys,26,49.85,Egypt,1296.1,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6337,Toys,82,39.57,Egypt,3244.74,2010-12,2010-12,1
536579,2010-12-01 16:16:00,13777.0,SC5498,Toys,82,10.1,Egypt,828.1999999999999,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC4399,Toys,96,95.27,Egypt,9145.92,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1625,Toys,24,10.54,Egypt,252.96,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC9825,Toys,47,90.76,Egypt,4265.72,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6899,Toys,52,42.96,Egypt,2233.92,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC4397,Toys,11,14.19,Egypt,156.09,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC8692,Toys,11,21.36,Egypt,234.96,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8009,Toys,64,35.07,Egypt,2244.48,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC1414,Toys,6,83.5,Egypt,501.0,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC7081,Toys,74,44.46,Egypt,3290.04,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC3260,Toys,44,94.36,Egypt,4151.84,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC3536,Toys,52,68.12,Egypt,3542.24,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8130,Toys,34,99.01,Egypt,3366.34,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC6258,Toys,90,55.28,Egypt,4975.2,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC2421,Toys,79,77.07,Egypt,6088.53,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC2617,Toys,1,16.77,Egypt,16.77,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC9597,Toys,1,83.1,Egypt,83.1,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC7324,Toys,39,17.85,Egypt,696.1500000000001,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC9238,Toys,72,38.19,Egypt,2749.68,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7121,Toys,3,22.93,Egypt,68.78999999999999,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6710,Toys,84,63.97,Egypt,5373.48,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC4391,Toys,47,32.38,Egypt,1521.86,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6065,Toys,20,89.9,Egypt,1798.0,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC2125,Toys,95,43.02,Egypt,4086.9,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC8282,Toys,76,27.7,Egypt,2105.2,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC7462,Toys,34,7.86,Egypt,267.24,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC4502,Toys,67,39.17,Egypt,2624.3900000000003,2010-12,2010-12,1
537371,2010-12-06 12:47:00,15028.0,SC9867,Toys,25,87.42,Egypt,2185.5,2010-12,2010-12,1
537390,2010-12-06 13:47:00,16658.0,SC2618,Toys,55,66.52,Egypt,3658.6,2010-12,2010-12,1
