InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC8577,Books,94,23.79,Ethiopia,2236.26,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC5462,Books,28,88.74,Ethiopia,2484.72,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3651,Books,1,96.45,Ethiopia,96.45,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6589,Books,60,20.81,Ethiopia,1248.6,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC3003,Books,17,83.05,Ethiopia,1411.85,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3836,Books,66,13.27,Ethiopia,875.8199999999999,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC6977,Books,49,12.51,Ethiopia,612.99,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3233,Books,68,90.57,Ethiopia,6158.759999999999,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC6953,Books,51,39.29,Ethiopia,2003.79,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC6582,Books,66,70.29,Ethiopia,4639.14,2010-12,2010-12,1
536777,2010-12-02 15:00:00,15732.0,SC5479,Books,86,45.5,Ethiopia,3913.0,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3055,Books,91,22.64,Ethiopia,2060.24,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1876,Books,43,72.04,Ethiopia,3097.7200000000003,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2921,Books,89,17.42,Ethiopia,1550.38,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC5723,Books,41,39.44,Ethiopia,1617.04,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC3318,Books,3,44.77,Ethiopia,134.31,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1414,Books,41,17.42,Ethiopia,714.22,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8554,Books,83,14.89,Ethiopia,1235.87,2010-12,2010-12,1
536944,2010-12-03 12:20:00,12557.0,SC7971,Books,10,30.34,Ethiopia,303.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5181,Books,22,1.42,Ethiopia,31.24,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC3195,Books,64,31.67,Ethiopia,2026.88,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7113,Books,28,67.2,Ethiopia,1881.6,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC7915,Books,8,42.88,Ethiopia,343.04,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC2615,Books,12,97.06,Ethiopia,1164.72,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC2964,Books,92,14.95,Ethiopia,1375.4,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5261,Books,33,2.02,Ethiopia,66.66,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC6817,Books,47,82.17,Ethiopia,3861.99,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5975,Books,11,13.56,Ethiopia,149.16,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC9617,Books,28,43.54,Ethiopia,1219.12,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC1699,Books,23,1.2,Ethiopia,27.6,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6855,Books,39,92.88,Ethiopia,3622.32,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC4416,Books,78,46.22,Ethiopia,3605.16,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC1320,Books,25,83.79,Ethiopia,2094.75,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC8021,Books,11,14.71,Ethiopia,161.81,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC1324,Books,69,14.46,Ethiopia,997.74,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7871,Books,57,42.91,Ethiopia,2445.87,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC8493,Books,66,40.91,Ethiopia,2700.06,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC7871,Books,47,20.91,Ethiopia,982.77,2010-12,2010-12,1
537601,2010-12-07 12:43:00,17287.0,SC6943,Books,55,1.44,Ethiopia,79.2,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC9457,Books,82,89.62,Ethiopia,7348.84,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC8843,Books,20,30.61,Ethiopia,612.2,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5498,Books,72,8.62,Ethiopia,620.64,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1861,Books,64,70.26,Ethiopia,4496.64,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC6481,Books,70,58.58,Ethiopia,4100.599999999999,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC9326,Books,41,53.23,Ethiopia,2182.43,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC5420,Books,38,64.17,Ethiopia,2438.46,2010-12,2010-12,1
537690,2010-12-08 10:38:00,13983.0,SC1245,Books,59,20.51,Ethiopia,1210.09,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC5641,Books,88,67.77,Ethiopia,5963.759999999999,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC5349,Books,95,18.85,Ethiopia,1790.7500000000002,2010-12,2010-12,1
537886,2010-12-09 09:49:00,15660.0,SC3419,Books,72,70.23,Ethiopia,5056.56,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC3430,Books,89,73.79,Ethiopia,6567.31,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC6541,Books,38,28.69,Ethiopia,1090.22,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC3104,Books,9,94.84,Ethiopia,853.5600000000001,2010-12,2010-12,1
538190,2010-12-10 10:47:00,17790.0,SC1905,Books,48,95.84,Ethiopia,4600.32,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC3401,Books,97,53.49,Ethiopia,5188.53,2010-12,2010-12,1
