InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC2407,Cloths,68,50.81,Ethiopia,3455.08,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6978,Cloths,45,46.36,Ethiopia,2086.2,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8543,Cloths,72,7.03,Ethiopia,506.16,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3092,Cloths,74,87.79,Ethiopia,6496.46,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7260,Cloths,71,5.59,Ethiopia,396.89,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC5465,Cloths,71,48.4,Ethiopia,3436.4,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC8221,Cloths,59,46.72,Ethiopia,2756.48,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4914,Cloths,45,62.86,Ethiopia,2828.7,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC1865,Cloths,85,99.15,Ethiopia,8427.75,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC4738,Cloths,41,7.17,Ethiopia,293.97,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5680,Cloths,20,52.45,Ethiopia,1049.0,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC6275,Cloths,4,13.54,Ethiopia,54.16,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9355,Cloths,2,46.28,Ethiopia,92.56,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC7100,Cloths,36,75.24,Ethiopia,2708.64,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2905,Cloths,12,34.54,Ethiopia,414.48,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC9422,Cloths,24,81.37,Ethiopia,1952.88,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC4748,Cloths,9,46.43,Ethiopia,417.87,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1760,Cloths,85,12.9,Ethiopia,1096.5,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9344,Cloths,87,72.46,Ethiopia,6304.02,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3202,Cloths,6,9.76,Ethiopia,58.56,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3707,Cloths,61,85.8,Ethiopia,5233.8,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC2900,Cloths,18,67.29,Ethiopia,1211.22,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3728,Cloths,99,37.48,Ethiopia,3710.52,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC5075,Cloths,64,79.72,Ethiopia,5102.08,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC9708,Cloths,76,58.81,Ethiopia,4469.56,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC8916,Cloths,24,89.3,Ethiopia,2143.2,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC7070,Cloths,3,6.79,Ethiopia,20.37,2010-12,2010-12,1
537415,2010-12-06 15:09:00,16654.0,SC9498,Cloths,45,28.5,Ethiopia,1282.5,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC2896,Cloths,59,62.14,Ethiopia,3666.26,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC3215,Cloths,57,64.25,Ethiopia,3662.25,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC1198,Cloths,91,60.88,Ethiopia,5540.08,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC6435,Cloths,82,60.65,Ethiopia,4973.3,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC7775,Cloths,36,21.73,Ethiopia,782.28,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC8366,Cloths,4,11.27,Ethiopia,45.08,2010-12,2010-12,1
537843,2010-12-08 15:16:00,15713.0,SC8537,Cloths,100,37.33,Ethiopia,3733.0,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC4703,Cloths,43,87.48,Ethiopia,3761.64,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC3991,Cloths,23,13.88,Ethiopia,319.24,2010-12,2010-12,1
537864,2010-12-08 16:34:00,16700.0,SC6021,Cloths,100,91.95,Ethiopia,9195.0,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC2612,Cloths,45,88.06,Ethiopia,3962.7,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC4881,Cloths,28,63.38,Ethiopia,1774.64,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC2664,Cloths,65,62.83,Ethiopia,4083.95,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC7575,Cloths,64,12.06,Ethiopia,771.84,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC4024,Cloths,92,79.17,Ethiopia,7283.64,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC9608,Cloths,51,61.81,Ethiopia,3152.31,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC2351,Cloths,90,11.09,Ethiopia,998.1,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC5560,Cloths,83,75.25,Ethiopia,6245.75,2010-12,2010-12,1
538279,2010-12-10 12:48:00,14952.0,SC3951,Cloths,41,47.9,Ethiopia,1963.9,2010-12,2010-12,1
538366,2010-12-12 10:47:00,18109.0,SC1599,Cloths,41,38.92,Ethiopia,1595.72,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC9663,Cloths,72,96.57,Ethiopia,6953.039999999999,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC6308,Cloths,38,82.92,Ethiopia,3150.96,2010-12,2010-12,1
