InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536520,2010-12-01 12:43:00,14729.0,SC5133,Cosmetics,68,57.87,Ethiopia,3935.16,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1522,Cosmetics,3,55.9,Ethiopia,167.7,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4418,Cosmetics,4,81.09,Ethiopia,324.36,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC2739,Cosmetics,42,98.06,Ethiopia,4118.52,2010-12,2010-12,1
536608,2010-12-02 09:37:00,12855.0,SC4412,Cosmetics,47,72.33,Ethiopia,3399.51,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7479,Cosmetics,1,50.94,Ethiopia,50.94,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6856,Cosmetics,30,27.57,Ethiopia,827.1,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC4672,Cosmetics,56,74.17,Ethiopia,4153.52,2010-12,2010-12,1
536693,2010-12-02 12:26:00,17850.0,SC5897,Cosmetics,84,24.66,Ethiopia,2071.44,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC6590,Cosmetics,11,9.16,Ethiopia,100.76,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2243,Cosmetics,34,98.2,Ethiopia,3338.8,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC5630,Cosmetics,27,75.31,Ethiopia,2033.37,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7735,Cosmetics,8,8.77,Ethiopia,70.16,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9140,Cosmetics,18,65.69,Ethiopia,1182.42,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC4270,Cosmetics,63,14.0,Ethiopia,882.0,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC2890,Cosmetics,2,55.92,Ethiopia,111.84,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC4705,Cosmetics,67,37.01,Ethiopia,2479.67,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6036,Cosmetics,84,75.33,Ethiopia,6327.72,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC1254,Cosmetics,56,93.31,Ethiopia,5225.360000000001,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC6852,Cosmetics,56,95.13,Ethiopia,5327.28,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC2933,Cosmetics,42,49.67,Ethiopia,2086.14,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9118,Cosmetics,15,39.99,Ethiopia,599.85,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC8822,Cosmetics,29,55.44,Ethiopia,1607.76,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC5950,Cosmetics,26,41.65,Ethiopia,1082.9,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3522,Cosmetics,34,29.65,Ethiopia,1008.1,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8707,Cosmetics,33,25.82,Ethiopia,852.0600000000001,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC9073,Cosmetics,12,77.41,Ethiopia,928.92,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC2761,Cosmetics,30,61.77,Ethiopia,1853.1,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5889,Cosmetics,64,11.65,Ethiopia,745.6,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC3569,Cosmetics,29,19.71,Ethiopia,571.59,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC5270,Cosmetics,37,49.4,Ethiopia,1827.8,2010-12,2010-12,1
537221,2010-12-05 15:54:00,17965.0,SC5509,Cosmetics,83,35.32,Ethiopia,2931.56,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4272,Cosmetics,76,51.92,Ethiopia,3945.92,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5123,Cosmetics,28,69.83,Ethiopia,1955.24,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC8120,Cosmetics,17,23.86,Ethiopia,405.62,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2792,Cosmetics,53,66.06,Ethiopia,3501.1800000000003,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC8083,Cosmetics,7,56.16,Ethiopia,393.12,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC1444,Cosmetics,40,98.5,Ethiopia,3940.0,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC8326,Cosmetics,67,26.45,Ethiopia,1772.15,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC2173,Cosmetics,72,23.3,Ethiopia,1677.6,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC2007,Cosmetics,8,61.97,Ethiopia,495.76,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC1857,Cosmetics,76,34.09,Ethiopia,2590.84,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC6426,Cosmetics,89,23.41,Ethiopia,2083.49,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC5752,Cosmetics,65,28.89,Ethiopia,1877.85,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC6307,Cosmetics,34,43.5,Ethiopia,1479.0,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC5352,Cosmetics,24,43.3,Ethiopia,1039.1999999999998,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC2959,Cosmetics,84,52.77,Ethiopia,4432.68,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC3791,Cosmetics,17,64.62,Ethiopia,1098.54,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC4656,Cosmetics,47,77.9,Ethiopia,3661.3,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC9240,Cosmetics,4,32.59,Ethiopia,130.36,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC4630,Cosmetics,10,43.63,Ethiopia,436.3,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC8935,Cosmetics,87,90.97,Ethiopia,7914.39,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC9080,Cosmetics,87,90.69,Ethiopia,7890.03,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC9452,Cosmetics,77,11.62,Ethiopia,894.7399999999999,2010-12,2010-12,1
538087,2010-12-09 14:44:00,17339.0,SC9135,Cosmetics,66,89.34,Ethiopia,5896.4400000000005,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC3752,Cosmetics,20,54.08,Ethiopia,1081.6,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC5676,Cosmetics,26,95.13,Ethiopia,2473.38,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC2398,Cosmetics,98,66.12,Ethiopia,6479.76,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC6481,Cosmetics,92,98.1,Ethiopia,9025.2,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC9993,Cosmetics,68,90.38,Ethiopia,6145.84,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC4956,Cosmetics,8,93.69,Ethiopia,749.52,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC2496,Cosmetics,10,64.35,Ethiopia,643.5,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC3355,Cosmetics,34,4.74,Ethiopia,161.16,2010-12,2010-12,1
538260,2010-12-10 12:42:00,18178.0,SC8678,Cosmetics,32,57.45,Ethiopia,1838.4,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC4248,Cosmetics,9,65.48,Ethiopia,589.32,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC1444,Cosmetics,26,50.1,Ethiopia,1302.6,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC4433,Cosmetics,77,51.89,Ethiopia,3995.53,2010-12,2010-12,1
538473,2010-12-12 12:35:00,13668.0,SC7409,Cosmetics,86,7.31,Ethiopia,628.66,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC3602,Cosmetics,15,40.02,Ethiopia,600.3000000000001,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC3918,Cosmetics,12,51.85,Ethiopia,622.2,2010-12,2010-12,1
538512,2010-12-12 14:03:00,16665.0,SC9067,Cosmetics,55,7.16,Ethiopia,393.8,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC5111,Cosmetics,84,60.37,Ethiopia,5071.08,2010-12,2010-12,1
