InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC6180,Electronics,22,75.92,Ethiopia,1670.24,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1694,Electronics,94,15.25,Ethiopia,1433.5,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2063,Electronics,76,94.06,Ethiopia,7148.56,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8436,Electronics,4,89.72,Ethiopia,358.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7096,Electronics,17,57.12,Ethiopia,971.04,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9361,Electronics,18,39.15,Ethiopia,704.6999999999999,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4530,Electronics,99,92.58,Ethiopia,9165.42,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3179,Electronics,41,98.06,Ethiopia,4020.46,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3565,Electronics,34,96.62,Ethiopia,3285.08,2010-12,2010-12,1
536574,2010-12-01 15:46:00,17025.0,SC9260,Electronics,62,35.77,Ethiopia,2217.74,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC4638,Electronics,6,87.74,Ethiopia,526.4399999999999,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC3674,Electronics,61,99.53,Ethiopia,6071.33,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC7957,Electronics,41,60.73,Ethiopia,2489.93,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC7434,Electronics,58,77.06,Ethiopia,4469.4800000000005,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC8116,Electronics,65,58.95,Ethiopia,3831.75,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC5916,Electronics,60,48.31,Ethiopia,2898.6000000000004,2010-12,2010-12,1
536671,2010-12-02 12:10:00,13305.0,SC3277,Electronics,65,77.64,Ethiopia,5046.6,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC9753,Electronics,64,18.66,Ethiopia,1194.24,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2745,Electronics,65,54.72,Ethiopia,3556.8,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4366,Electronics,37,48.52,Ethiopia,1795.24,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC9156,Electronics,71,70.36,Ethiopia,4995.56,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC7669,Electronics,71,17.53,Ethiopia,1244.63,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC9308,Electronics,72,38.55,Ethiopia,2775.6,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC1456,Electronics,12,46.78,Ethiopia,561.36,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC9261,Electronics,88,39.26,Ethiopia,3454.88,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC1910,Electronics,39,46.19,Ethiopia,1801.41,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2744,Electronics,13,97.46,Ethiopia,1266.98,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8673,Electronics,20,81.77,Ethiopia,1635.4,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5571,Electronics,12,90.73,Ethiopia,1088.76,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC9779,Electronics,76,21.23,Ethiopia,1613.48,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7296,Electronics,35,95.84,Ethiopia,3354.4,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC4233,Electronics,77,49.09,Ethiopia,3779.93,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1901,Electronics,24,2.93,Ethiopia,70.32000000000001,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC1031,Electronics,88,7.08,Ethiopia,623.04,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC4996,Electronics,88,63.58,Ethiopia,5595.04,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC5578,Electronics,55,57.71,Ethiopia,3174.05,2010-12,2010-12,1
537246,2010-12-06 10:27:00,12808.0,SC3706,Electronics,79,62.99,Ethiopia,4976.21,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC2107,Electronics,17,12.51,Ethiopia,212.67,2010-12,2010-12,1
537258,2010-12-06 11:16:00,17227.0,SC4503,Electronics,72,88.62,Ethiopia,6380.64,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8875,Electronics,48,83.65,Ethiopia,4015.2,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC9403,Electronics,62,42.42,Ethiopia,2630.04,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC2654,Electronics,84,72.86,Ethiopia,6120.24,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC9471,Electronics,58,21.84,Ethiopia,1266.72,2010-12,2010-12,1
537419,2010-12-06 15:14:00,13495.0,SC1267,Electronics,59,1.75,Ethiopia,103.25,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC5166,Electronics,66,51.58,Ethiopia,3404.28,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC5844,Electronics,45,54.14,Ethiopia,2436.3,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC2770,Electronics,36,18.61,Ethiopia,669.96,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC2634,Electronics,57,25.05,Ethiopia,1427.85,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC6589,Electronics,28,40.94,Ethiopia,1146.32,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC2728,Electronics,87,42.03,Ethiopia,3656.61,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2561,Electronics,31,70.06,Ethiopia,2171.86,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC2096,Electronics,94,65.32,Ethiopia,6140.079999999999,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC3977,Electronics,100,70.25,Ethiopia,7025.0,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC1843,Electronics,27,54.65,Ethiopia,1475.55,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC5223,Electronics,88,5.11,Ethiopia,449.68,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC9869,Electronics,39,12.9,Ethiopia,503.1,2010-12,2010-12,1
538366,2010-12-12 10:47:00,18109.0,SC8098,Electronics,85,5.52,Ethiopia,469.2,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC3915,Electronics,27,79.02,Ethiopia,2133.54,2010-12,2010-12,1
