InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536415,2010-12-01 11:57:00,12838.0,SC7580,Furniture,53,39.76,Ethiopia,2107.28,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC1552,Furniture,57,71.79,Ethiopia,4092.03,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5411,Furniture,98,12.99,Ethiopia,1273.02,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC3588,Furniture,14,57.28,Ethiopia,801.9200000000001,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7242,Furniture,93,77.06,Ethiopia,7166.58,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC3543,Furniture,98,40.03,Ethiopia,3922.94,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC6132,Furniture,7,24.46,Ethiopia,171.22,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4434,Furniture,88,50.42,Ethiopia,4436.96,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1597,Furniture,89,28.35,Ethiopia,2523.15,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC8007,Furniture,23,39.99,Ethiopia,919.77,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC1636,Furniture,35,38.2,Ethiopia,1337.0,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC4705,Furniture,1,96.77,Ethiopia,96.77,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC8576,Furniture,21,24.2,Ethiopia,508.2,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC5787,Furniture,100,50.77,Ethiopia,5077.0,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC7581,Furniture,63,58.29,Ethiopia,3672.27,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC5749,Furniture,77,48.21,Ethiopia,3712.17,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC1203,Furniture,42,68.66,Ethiopia,2883.72,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6982,Furniture,13,64.9,Ethiopia,843.7,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7955,Furniture,80,58.42,Ethiopia,4673.6,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC9763,Furniture,4,49.85,Ethiopia,199.4,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC2989,Furniture,7,45.39,Ethiopia,317.73,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC2462,Furniture,45,31.21,Ethiopia,1404.45,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1070,Furniture,30,60.12,Ethiopia,1803.6,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7462,Furniture,56,45.46,Ethiopia,2545.76,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC1575,Furniture,29,96.8,Ethiopia,2807.2,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC6139,Furniture,47,98.45,Ethiopia,4627.150000000001,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC7234,Furniture,75,25.66,Ethiopia,1924.5,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC2858,Furniture,20,8.21,Ethiopia,164.20000000000002,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC1536,Furniture,34,30.36,Ethiopia,1032.24,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2508,Furniture,4,23.75,Ethiopia,95.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC2257,Furniture,82,6.99,Ethiopia,573.1800000000001,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9572,Furniture,90,29.01,Ethiopia,2610.9,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC4492,Furniture,35,46.47,Ethiopia,1626.45,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1906,Furniture,1,16.81,Ethiopia,16.81,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2464,Furniture,44,39.32,Ethiopia,1730.08,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8266,Furniture,98,61.61,Ethiopia,6037.78,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC9539,Furniture,44,31.36,Ethiopia,1379.84,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC5691,Furniture,31,69.34,Ethiopia,2149.54,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC7661,Furniture,34,1.47,Ethiopia,49.98,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC4286,Furniture,83,44.19,Ethiopia,3667.77,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC8407,Furniture,71,62.61,Ethiopia,4445.31,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC9728,Furniture,14,91.24,Ethiopia,1277.36,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC3813,Furniture,79,54.06,Ethiopia,4270.74,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC9036,Furniture,41,75.46,Ethiopia,3093.86,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC6175,Furniture,88,20.46,Ethiopia,1800.48,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC7159,Furniture,54,43.91,Ethiopia,2371.14,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2420,Furniture,49,63.7,Ethiopia,3121.3,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6958,Furniture,86,92.69,Ethiopia,7971.34,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC5984,Furniture,93,8.29,Ethiopia,770.9699999999999,2010-12,2010-12,1
