InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC7082,Jewelry,71,93.33,Ethiopia,6626.43,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1035,Jewelry,71,72.9,Ethiopia,5175.900000000001,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5333,Jewelry,75,24.21,Ethiopia,1815.75,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC1965,Jewelry,68,44.93,Ethiopia,3055.24,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC7228,Jewelry,73,26.44,Ethiopia,1930.12,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7525,Jewelry,8,28.81,Ethiopia,230.48,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC6196,Jewelry,43,90.77,Ethiopia,3903.11,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC3995,Jewelry,73,28.84,Ethiopia,2105.32,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5198,Jewelry,16,35.85,Ethiopia,573.6,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9937,Jewelry,10,67.28,Ethiopia,672.8,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC3322,Jewelry,1,35.61,Ethiopia,35.61,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC4299,Jewelry,93,22.3,Ethiopia,2073.9,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC3495,Jewelry,46,9.55,Ethiopia,439.3,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC6396,Jewelry,66,73.97,Ethiopia,4882.02,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC8520,Jewelry,25,41.87,Ethiopia,1046.75,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5858,Jewelry,58,21.53,Ethiopia,1248.74,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC1005,Jewelry,39,43.96,Ethiopia,1714.44,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC3450,Jewelry,100,54.96,Ethiopia,5496.0,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2856,Jewelry,94,22.44,Ethiopia,2109.36,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1643,Jewelry,24,64.53,Ethiopia,1548.72,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7670,Jewelry,69,60.9,Ethiopia,4202.099999999999,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC8161,Jewelry,87,87.25,Ethiopia,7590.75,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC1987,Jewelry,78,16.12,Ethiopia,1257.36,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC1585,Jewelry,80,60.92,Ethiopia,4873.6,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC8649,Jewelry,29,60.91,Ethiopia,1766.39,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC3641,Jewelry,93,90.57,Ethiopia,8423.01,2010-12,2010-12,1
537605,2010-12-07 13:13:00,16221.0,SC9893,Jewelry,12,62.95,Ethiopia,755.4000000000001,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC4566,Jewelry,31,79.33,Ethiopia,2459.23,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC7429,Jewelry,88,57.12,Ethiopia,5026.56,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC4168,Jewelry,41,45.63,Ethiopia,1870.83,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC5606,Jewelry,22,43.18,Ethiopia,949.96,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC2074,Jewelry,35,1.47,Ethiopia,51.45,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC5137,Jewelry,58,10.8,Ethiopia,626.4000000000001,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2680,Jewelry,64,66.51,Ethiopia,4256.64,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC1925,Jewelry,28,98.91,Ethiopia,2769.48,2010-12,2010-12,1
537795,2010-12-08 13:03:00,17213.0,SC8355,Jewelry,53,33.14,Ethiopia,1756.42,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC1352,Jewelry,96,41.2,Ethiopia,3955.2,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC1330,Jewelry,55,72.99,Ethiopia,4014.45,2010-12,2010-12,1
537837,2010-12-08 14:59:00,13077.0,SC1412,Jewelry,84,51.53,Ethiopia,4328.52,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC1138,Jewelry,66,19.78,Ethiopia,1305.48,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC3079,Jewelry,47,74.37,Ethiopia,3495.3900000000003,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC1067,Jewelry,87,85.58,Ethiopia,7445.46,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC9836,Jewelry,85,44.21,Ethiopia,3757.85,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2097,Jewelry,89,83.61,Ethiopia,7441.29,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC5026,Jewelry,56,66.84,Ethiopia,3743.04,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC5638,Jewelry,100,96.27,Ethiopia,9627.0,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC4923,Jewelry,72,8.0,Ethiopia,576.0,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC2311,Jewelry,27,69.87,Ethiopia,1886.49,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC5083,Jewelry,49,18.87,Ethiopia,924.63,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC1756,Jewelry,47,8.24,Ethiopia,387.28,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC5166,Jewelry,71,1.74,Ethiopia,123.54,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC7736,Jewelry,83,98.19,Ethiopia,8149.769999999999,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC4649,Jewelry,1,73.24,Ethiopia,73.24,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2799,Jewelry,1,71.43,Ethiopia,71.43,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC1625,Jewelry,59,25.56,Ethiopia,1508.04,2010-12,2010-12,1
538667,2010-12-13 16:01:00,12748.0,SC4335,Jewelry,24,49.02,Ethiopia,1176.48,2010-12,2010-12,1
538753,2010-12-14 11:29:00,14901.0,SC7896,Jewelry,29,58.28,Ethiopia,1690.12,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC7676,Jewelry,43,71.98,Ethiopia,3095.1400000000003,2010-12,2010-12,1
538812,2010-12-14 12:25:00,18044.0,SC4063,Jewelry,64,83.18,Ethiopia,5323.52,2010-12,2010-12,1
538815,2010-12-14 12:30:00,18219.0,SC3040,Jewelry,11,56.94,Ethiopia,626.3399999999999,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC1426,Jewelry,4,39.32,Ethiopia,157.28,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC3873,Jewelry,84,60.18,Ethiopia,5055.12,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC4937,Jewelry,57,25.23,Ethiopia,1438.11,2010-12,2010-12,1
538900,2010-12-15 09:51:00,13078.0,SC3214,Jewelry,2,33.32,Ethiopia,66.64,2010-12,2010-12,1
538903,2010-12-15 10:17:00,13496.0,SC1040,Jewelry,2,4.79,Ethiopia,9.58,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC1678,Jewelry,31,19.92,Ethiopia,617.5200000000001,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC3121,Jewelry,78,61.45,Ethiopia,4793.1,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC4305,Jewelry,87,60.61,Ethiopia,5273.07,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC3776,Jewelry,46,77.88,Ethiopia,3582.48,2010-12,2010-12,1
