InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536386,2010-12-01 09:57:00,16029.0,SC3267,Kitchenware,84,52.64,Ethiopia,4421.76,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC7301,Kitchenware,81,42.15,Ethiopia,3414.15,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1195,Kitchenware,23,15.3,Ethiopia,351.90000000000003,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC9673,Kitchenware,35,25.44,Ethiopia,890.4000000000001,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC6638,Kitchenware,15,52.32,Ethiopia,784.8,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC7136,Kitchenware,81,24.02,Ethiopia,1945.62,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC8639,Kitchenware,57,29.88,Ethiopia,1703.16,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC7793,Kitchenware,87,67.25,Ethiopia,5850.75,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC7758,Kitchenware,28,41.95,Ethiopia,1174.6,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5575,Kitchenware,29,46.0,Ethiopia,1334.0,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC4853,Kitchenware,100,70.85,Ethiopia,7084.999999999999,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC9430,Kitchenware,39,24.67,Ethiopia,962.13,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC1948,Kitchenware,31,95.47,Ethiopia,2959.57,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1449,Kitchenware,16,92.0,Ethiopia,1472.0,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC7474,Kitchenware,72,88.81,Ethiopia,6394.32,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC2974,Kitchenware,69,86.11,Ethiopia,5941.59,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC3228,Kitchenware,13,8.27,Ethiopia,107.51,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC6803,Kitchenware,86,42.8,Ethiopia,3680.8,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC6606,Kitchenware,39,54.97,Ethiopia,2143.83,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC3286,Kitchenware,12,93.11,Ethiopia,1117.32,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1525,Kitchenware,35,20.56,Ethiopia,719.5999999999999,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC3844,Kitchenware,16,20.35,Ethiopia,325.6,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC4654,Kitchenware,4,20.2,Ethiopia,80.8,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC5098,Kitchenware,89,17.09,Ethiopia,1521.01,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC8905,Kitchenware,32,47.89,Ethiopia,1532.48,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC5207,Kitchenware,61,61.84,Ethiopia,3772.24,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC7237,Kitchenware,63,67.51,Ethiopia,4253.13,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC2359,Kitchenware,90,46.83,Ethiopia,4214.7,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC2146,Kitchenware,21,26.42,Ethiopia,554.82,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC6403,Kitchenware,66,24.95,Ethiopia,1646.7,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC6353,Kitchenware,75,30.64,Ethiopia,2298.0,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8097,Kitchenware,15,79.68,Ethiopia,1195.2,2010-12,2010-12,1
537822,2010-12-08 14:22:00,13523.0,SC6809,Kitchenware,74,35.23,Ethiopia,2607.02,2010-12,2010-12,1
