InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8699,Shoes,32,30.69,Ethiopia,982.08,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC4646,Shoes,9,14.25,Ethiopia,128.25,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3274,Shoes,76,42.72,Ethiopia,3246.72,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC6383,Shoes,56,8.39,Ethiopia,469.84,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7922,Shoes,52,97.26,Ethiopia,5057.52,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC5690,Shoes,79,74.11,Ethiopia,5854.69,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC8137,Shoes,28,49.31,Ethiopia,1380.68,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7172,Shoes,71,61.1,Ethiopia,4338.1,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC7435,Shoes,8,94.08,Ethiopia,752.64,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC9158,Shoes,36,7.23,Ethiopia,260.28000000000003,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6673,Shoes,27,61.25,Ethiopia,1653.75,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8201,Shoes,4,84.33,Ethiopia,337.32,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC3388,Shoes,48,30.34,Ethiopia,1456.32,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9136,Shoes,30,65.41,Ethiopia,1962.3,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC9971,Shoes,33,53.69,Ethiopia,1771.77,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5618,Shoes,87,44.35,Ethiopia,3858.45,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5182,Shoes,11,61.48,Ethiopia,676.28,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC7031,Shoes,25,27.94,Ethiopia,698.5,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC2629,Shoes,99,73.5,Ethiopia,7276.5,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC7806,Shoes,73,91.22,Ethiopia,6659.06,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC2096,Shoes,19,55.53,Ethiopia,1055.07,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC7733,Shoes,17,78.48,Ethiopia,1334.16,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC4857,Shoes,99,80.5,Ethiopia,7969.5,2010-12,2010-12,1
537090,2010-12-05 12:02:00,15332.0,SC7497,Shoes,2,4.11,Ethiopia,8.22,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7721,Shoes,99,38.24,Ethiopia,3785.76,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1197,Shoes,25,43.96,Ethiopia,1099.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5270,Shoes,98,58.38,Ethiopia,5721.240000000001,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC4686,Shoes,38,25.24,Ethiopia,959.12,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC1095,Shoes,13,81.27,Ethiopia,1056.51,2010-12,2010-12,1
