InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536372,2010-12-01 09:01:00,17850.0,SC4346,Sports Equipment,22,65.46,Ethiopia,1440.12,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8411,Sports Equipment,90,44.55,Ethiopia,4009.5,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC8531,Sports Equipment,43,97.41,Ethiopia,4188.63,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4249,Sports Equipment,39,36.41,Ethiopia,1419.9899999999998,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC5493,Sports Equipment,28,96.27,Ethiopia,2695.56,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6843,Sports Equipment,92,38.01,Ethiopia,3496.92,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7446,Sports Equipment,53,85.0,Ethiopia,4505.0,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC4977,Sports Equipment,95,62.83,Ethiopia,5968.849999999999,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6796,Sports Equipment,19,3.53,Ethiopia,67.07,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9089,Sports Equipment,81,42.09,Ethiopia,3409.2900000000004,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC8025,Sports Equipment,86,64.14,Ethiopia,5516.04,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC6207,Sports Equipment,43,83.92,Ethiopia,3608.56,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC8389,Sports Equipment,69,31.88,Ethiopia,2199.72,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC1380,Sports Equipment,82,21.86,Ethiopia,1792.52,2010-12,2010-12,1
536789,2010-12-02 15:25:00,17850.0,SC6689,Sports Equipment,1,19.61,Ethiopia,19.61,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC1660,Sports Equipment,23,34.96,Ethiopia,804.08,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7662,Sports Equipment,62,39.75,Ethiopia,2464.5,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC5137,Sports Equipment,36,1.38,Ethiopia,49.67999999999999,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6883,Sports Equipment,50,23.38,Ethiopia,1169.0,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC1022,Sports Equipment,79,81.28,Ethiopia,6421.12,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6478,Sports Equipment,84,4.32,Ethiopia,362.88,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4790,Sports Equipment,24,46.04,Ethiopia,1104.96,2010-12,2010-12,1
