InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC5027,Toys,87,74.96,Ethiopia,6521.52,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8585,Toys,65,73.08,Ethiopia,4750.2,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6379,Toys,81,44.15,Ethiopia,3576.15,2010-12,2010-12,1
536399,2010-12-01 10:52:00,17850.0,SC1089,Toys,16,78.31,Ethiopia,1252.96,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC5074,Toys,6,25.04,Ethiopia,150.24,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC3470,Toys,57,89.17,Ethiopia,5082.6900000000005,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3709,Toys,99,37.85,Ethiopia,3747.15,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC2349,Toys,35,29.46,Ethiopia,1031.1,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC1118,Toys,45,8.93,Ethiopia,401.85,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC3881,Toys,35,2.2,Ethiopia,77.0,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1579,Toys,51,32.74,Ethiopia,1669.74,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC9586,Toys,67,28.66,Ethiopia,1920.22,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC2501,Toys,89,69.08,Ethiopia,6148.12,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC9120,Toys,98,73.86,Ethiopia,7238.28,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC4605,Toys,29,25.45,Ethiopia,738.05,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC3922,Toys,71,58.22,Ethiopia,4133.62,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC5756,Toys,61,34.1,Ethiopia,2080.1,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC3766,Toys,58,80.37,Ethiopia,4661.46,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9405,Toys,67,98.6,Ethiopia,6606.2,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3940,Toys,100,83.21,Ethiopia,8321.0,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC7013,Toys,27,77.24,Ethiopia,2085.48,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2580,Toys,49,63.03,Ethiopia,3088.4700000000003,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC5040,Toys,85,82.3,Ethiopia,6995.5,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8513,Toys,6,87.57,Ethiopia,525.42,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4705,Toys,54,27.63,Ethiopia,1492.02,2010-12,2010-12,1
537213,2010-12-05 15:26:00,12748.0,SC6260,Toys,89,54.33,Ethiopia,4835.37,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8367,Toys,2,9.83,Ethiopia,19.66,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC2788,Toys,21,11.66,Ethiopia,244.86,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC1953,Toys,28,91.74,Ethiopia,2568.72,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC1127,Toys,16,85.88,Ethiopia,1374.08,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC6895,Toys,23,85.57,Ethiopia,1968.11,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC4332,Toys,10,94.76,Ethiopia,947.6,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC5001,Toys,93,2.52,Ethiopia,234.36,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6859,Toys,12,14.41,Ethiopia,172.92000000000002,2010-12,2010-12,1
537403,2010-12-06 14:43:00,17191.0,SC7550,Toys,22,15.65,Ethiopia,344.3,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC4366,Toys,97,86.79,Ethiopia,8418.630000000001,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC4061,Toys,15,20.12,Ethiopia,301.8,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC4207,Toys,14,83.14,Ethiopia,1163.96,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC4434,Toys,66,34.28,Ethiopia,2262.48,2010-12,2010-12,1
537681,2010-12-08 10:11:00,13329.0,SC6852,Toys,47,17.71,Ethiopia,832.37,2010-12,2010-12,1
537694,2010-12-08 10:46:00,14901.0,SC4222,Toys,15,15.36,Ethiopia,230.4,2010-12,2010-12,1
537698,2010-12-08 10:51:00,13199.0,SC9388,Toys,53,85.61,Ethiopia,4537.33,2010-12,2010-12,1
537758,2010-12-08 11:41:00,16122.0,SC8946,Toys,45,76.59,Ethiopia,3446.55,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC4222,Toys,21,1.99,Ethiopia,41.79,2010-12,2010-12,1
537774,2010-12-08 12:40:00,14060.0,SC3251,Toys,56,59.09,Ethiopia,3309.04,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC9097,Toys,99,6.87,Ethiopia,680.13,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC7747,Toys,55,30.51,Ethiopia,1678.0500000000002,2010-12,2010-12,1
537864,2010-12-08 16:34:00,16700.0,SC6662,Toys,22,59.36,Ethiopia,1305.92,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC8798,Toys,82,72.08,Ethiopia,5910.56,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC6969,Toys,75,86.15,Ethiopia,6461.25,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC8412,Toys,18,32.16,Ethiopia,578.8799999999999,2010-12,2010-12,1
538108,2010-12-09 15:23:00,17456.0,SC1754,Toys,47,69.18,Ethiopia,3251.4600000000005,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC6037,Toys,56,15.88,Ethiopia,889.2800000000001,2010-12,2010-12,1
538169,2010-12-09 19:28:00,13230.0,SC1910,Toys,45,50.0,Ethiopia,2250.0,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC7753,Toys,10,44.86,Ethiopia,448.6,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8031,Toys,21,46.97,Ethiopia,986.37,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8333,Toys,89,71.77,Ethiopia,6387.53,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC7553,Toys,85,32.43,Ethiopia,2756.55,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC7009,Toys,51,13.08,Ethiopia,667.08,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC9091,Toys,80,7.16,Ethiopia,572.8,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC9133,Toys,50,87.44,Ethiopia,4372.0,2010-12,2010-12,1
538521,2010-12-13 09:02:00,14180.0,SC1606,Toys,35,98.48,Ethiopia,3446.8,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC3712,Toys,16,61.86,Ethiopia,989.76,2010-12,2010-12,1
538653,2010-12-13 15:12:00,13089.0,SC2696,Toys,22,52.08,Ethiopia,1145.76,2010-12,2010-12,1
538655,2010-12-13 15:16:00,17375.0,SC1316,Toys,68,57.92,Ethiopia,3938.56,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC9276,Toys,52,10.96,Ethiopia,569.9200000000001,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC3006,Toys,80,4.28,Ethiopia,342.40000000000003,2010-12,2010-12,1
538836,2010-12-14 13:09:00,12748.0,SC3806,Toys,11,59.64,Ethiopia,656.04,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC1512,Toys,75,72.19,Ethiopia,5414.25,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC9829,Toys,39,10.79,Ethiopia,420.81,2010-12,2010-12,1
538903,2010-12-15 10:17:00,13496.0,SC9490,Toys,69,40.36,Ethiopia,2784.84,2010-12,2010-12,1
538967,2010-12-15 11:32:00,13495.0,SC7430,Toys,87,60.33,Ethiopia,5248.71,2010-12,2010-12,1
538995,2010-12-15 12:05:00,13458.0,SC8087,Toys,79,11.6,Ethiopia,916.4,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC1815,Toys,88,56.75,Ethiopia,4994.0,2010-12,2010-12,1
539084,2010-12-16 09:31:00,13890.0,SC2645,Toys,75,21.75,Ethiopia,1631.25,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC3401,Toys,6,64.86,Ethiopia,389.16,2010-12,2010-12,1
539263,2010-12-16 14:36:00,16560.0,SC2606,Toys,56,4.65,Ethiopia,260.40000000000003,2010-12,2010-12,1
539311,2010-12-16 17:53:00,14643.0,SC4722,Toys,79,92.88,Ethiopia,7337.519999999999,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC5195,Toys,38,89.36,Ethiopia,3395.68,2010-12,2010-12,1
539450,2010-12-17 16:53:00,15570.0,SC6896,Toys,42,78.11,Ethiopia,3280.62,2010-12,2010-12,1
539463,2010-12-19 11:19:00,18077.0,SC7440,Toys,35,70.77,Ethiopia,2476.95,2010-12,2010-12,1
539470,2010-12-19 14:03:00,14472.0,SC1199,Toys,49,73.95,Ethiopia,3623.55,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC6706,Toys,50,16.49,Ethiopia,824.4999999999999,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC7904,Toys,85,52.11,Ethiopia,4429.35,2010-12,2010-12,1
