InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC9866,Books,59,20.47,Ghana,1207.73,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC5746,Books,42,38.04,Ghana,1597.68,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC4313,Books,54,88.52,Ghana,4780.08,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5957,Books,20,91.46,Ghana,1829.2,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC5257,Books,7,40.81,Ghana,285.67,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC5628,Books,32,63.12,Ghana,2019.84,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9405,Books,47,30.63,Ghana,1439.61,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC5066,Books,17,20.93,Ghana,355.81,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4303,Books,13,84.55,Ghana,1099.15,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC9292,Books,64,79.13,Ghana,5064.32,2010-12,2010-12,1
536753,2010-12-02 14:07:00,17850.0,SC9499,Books,88,87.8,Ghana,7726.4,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC8848,Books,69,70.5,Ghana,4864.5,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC1708,Books,29,74.68,Ghana,2165.7200000000003,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC1907,Books,22,77.5,Ghana,1705.0,2010-12,2010-12,1
536843,2010-12-02 18:46:00,17552.0,SC1569,Books,42,13.43,Ghana,564.06,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC4200,Books,1,37.98,Ghana,37.98,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8295,Books,84,95.03,Ghana,7982.52,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5141,Books,68,43.33,Ghana,2946.44,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC9056,Books,74,24.63,Ghana,1822.62,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC2494,Books,3,63.16,Ghana,189.48,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6026,Books,81,43.99,Ghana,3563.19,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3271,Books,27,93.85,Ghana,2533.95,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC4685,Books,9,10.27,Ghana,92.43,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3080,Books,43,37.61,Ghana,1617.23,2010-12,2010-12,1
537233,2010-12-06 09:37:00,17428.0,SC6381,Books,52,22.92,Ghana,1191.84,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC7122,Books,75,57.79,Ghana,4334.25,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC1326,Books,35,72.32,Ghana,2531.2,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2149,Books,25,98.43,Ghana,2460.75,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC4059,Books,23,17.86,Ghana,410.78,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC9520,Books,75,46.78,Ghana,3508.5,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC1459,Books,99,39.2,Ghana,3880.8,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC9208,Books,2,36.73,Ghana,73.46,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC2661,Books,28,44.05,Ghana,1233.4,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC5656,Books,19,31.66,Ghana,601.54,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC2969,Books,4,53.86,Ghana,215.44,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC6847,Books,64,89.49,Ghana,5727.36,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC6216,Books,85,99.16,Ghana,8428.6,2010-12,2010-12,1
537800,2010-12-08 13:08:00,12748.0,SC2538,Books,28,23.53,Ghana,658.84,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC6666,Books,26,4.13,Ghana,107.38,2010-12,2010-12,1
537830,2010-12-08 14:46:00,13649.0,SC7958,Books,76,82.25,Ghana,6251.0,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC7877,Books,6,89.65,Ghana,537.9000000000001,2010-12,2010-12,1
537879,2010-12-09 08:34:00,14243.0,SC9455,Books,3,29.26,Ghana,87.78,2010-12,2010-12,1
537892,2010-12-09 10:13:00,12481.0,SC6021,Books,3,31.64,Ghana,94.92,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC2814,Books,3,55.35,Ghana,166.05,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC2560,Books,98,63.9,Ghana,6262.2,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC6771,Books,63,51.4,Ghana,3238.2,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC1085,Books,91,64.98,Ghana,5913.18,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC6194,Books,32,7.06,Ghana,225.92,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC1016,Books,14,93.75,Ghana,1312.5,2010-12,2010-12,1
538240,2010-12-10 12:00:00,16062.0,SC1042,Books,50,68.26,Ghana,3413.0000000000005,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC3262,Books,14,92.64,Ghana,1296.96,2010-12,2010-12,1
538280,2010-12-10 12:50:00,12748.0,SC7413,Books,51,74.1,Ghana,3779.1,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC2407,Books,50,38.85,Ghana,1942.5,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC9978,Books,98,13.32,Ghana,1305.36,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC9036,Books,41,15.81,Ghana,648.21,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC7546,Books,69,3.33,Ghana,229.77,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC6756,Books,42,34.6,Ghana,1453.2,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC2270,Books,81,71.56,Ghana,5796.360000000001,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC8190,Books,53,96.47,Ghana,5112.91,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC1768,Books,93,89.13,Ghana,8289.09,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC2921,Books,4,41.07,Ghana,164.28,2010-12,2010-12,1
