InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC2701,Cloths,83,98.12,Ghana,8143.96,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3489,Cloths,2,63.16,Ghana,126.32,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6284,Cloths,19,25.85,Ghana,491.15,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2113,Cloths,65,20.0,Ghana,1300.0,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC9041,Cloths,10,51.53,Ghana,515.3,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9704,Cloths,81,20.37,Ghana,1649.97,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC1135,Cloths,93,82.59,Ghana,7680.87,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC8577,Cloths,8,29.29,Ghana,234.32,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4926,Cloths,94,94.24,Ghana,8858.56,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC8273,Cloths,45,62.22,Ghana,2799.9,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC7705,Cloths,29,14.63,Ghana,424.27,2010-12,2010-12,1
536967,2010-12-03 12:57:00,12600.0,SC4728,Cloths,72,99.51,Ghana,7164.72,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC3687,Cloths,15,43.55,Ghana,653.25,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1802,Cloths,52,14.92,Ghana,775.84,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC1601,Cloths,93,81.7,Ghana,7598.1,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC1903,Cloths,3,34.37,Ghana,103.11,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC3854,Cloths,91,67.73,Ghana,6163.43,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC5229,Cloths,19,52.63,Ghana,999.97,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC2536,Cloths,22,22.93,Ghana,504.46,2010-12,2010-12,1
537206,2010-12-05 15:02:00,15235.0,SC7489,Cloths,25,55.68,Ghana,1392.0,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3101,Cloths,69,96.86,Ghana,6683.34,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC6903,Cloths,10,17.08,Ghana,170.79999999999998,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC8501,Cloths,68,29.28,Ghana,1991.04,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC8342,Cloths,75,17.47,Ghana,1310.25,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC2045,Cloths,68,19.6,Ghana,1332.8000000000002,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC8690,Cloths,10,67.9,Ghana,679.0,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC9945,Cloths,80,80.53,Ghana,6442.4,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC8297,Cloths,88,75.04,Ghana,6603.52,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC8906,Cloths,47,40.82,Ghana,1918.54,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC8358,Cloths,43,16.93,Ghana,727.99,2010-12,2010-12,1
