InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC5787,Cosmetics,15,71.87,Ghana,1078.0500000000002,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8844,Cosmetics,63,33.17,Ghana,2089.71,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4964,Cosmetics,74,75.54,Ghana,5589.96,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8117,Cosmetics,89,68.15,Ghana,6065.35,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6568,Cosmetics,58,96.27,Ghana,5583.66,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3147,Cosmetics,41,18.13,Ghana,743.3299999999999,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC6248,Cosmetics,16,13.49,Ghana,215.84,2010-12,2010-12,1
536601,2010-12-02 08:33:00,17850.0,SC6495,Cosmetics,50,87.13,Ghana,4356.5,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3802,Cosmetics,46,3.09,Ghana,142.14,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC1043,Cosmetics,5,76.06,Ghana,380.3,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC3671,Cosmetics,39,86.0,Ghana,3354.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9863,Cosmetics,94,49.53,Ghana,4655.82,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC8805,Cosmetics,100,94.69,Ghana,9469.0,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC3303,Cosmetics,33,52.0,Ghana,1716.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8337,Cosmetics,56,22.4,Ghana,1254.4,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC7900,Cosmetics,60,57.85,Ghana,3471.0,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC8756,Cosmetics,38,43.08,Ghana,1637.04,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7642,Cosmetics,53,96.7,Ghana,5125.1,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC9860,Cosmetics,71,23.82,Ghana,1691.22,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC8660,Cosmetics,70,94.79,Ghana,6635.3,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3706,Cosmetics,53,43.14,Ghana,2286.42,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC4005,Cosmetics,12,33.16,Ghana,397.92,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC7779,Cosmetics,46,14.88,Ghana,684.48,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC2573,Cosmetics,69,37.9,Ghana,2615.1,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC1710,Cosmetics,78,25.6,Ghana,1996.8,2010-12,2010-12,1
