InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC7555,Electronics,54,72.92,Ghana,3937.68,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7082,Electronics,66,99.87,Ghana,6591.42,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3479,Electronics,91,13.8,Ghana,1255.8,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC6210,Electronics,98,52.84,Ghana,5178.320000000001,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC7060,Electronics,83,30.26,Ghana,2511.58,2010-12,2010-12,1
536591,2010-12-01 16:58:00,14606.0,SC9633,Electronics,27,32.08,Ghana,866.16,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC9855,Electronics,40,78.83,Ghana,3153.2,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC5238,Electronics,43,18.97,Ghana,815.7099999999999,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC1907,Electronics,51,75.05,Ghana,3827.55,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC5413,Electronics,94,66.78,Ghana,6277.32,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC6277,Electronics,19,50.68,Ghana,962.92,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC4324,Electronics,59,2.3,Ghana,135.7,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC1237,Electronics,28,32.87,Ghana,920.36,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC1967,Electronics,63,77.83,Ghana,4903.29,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC2179,Electronics,26,3.83,Ghana,99.58,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC8550,Electronics,34,48.08,Ghana,1634.72,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC3313,Electronics,1,69.17,Ghana,69.17,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6920,Electronics,13,15.36,Ghana,199.68,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC2716,Electronics,51,88.56,Ghana,4516.56,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC1595,Electronics,8,42.86,Ghana,342.88,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3768,Electronics,30,66.43,Ghana,1992.9,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7844,Electronics,98,22.31,Ghana,2186.38,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC3508,Electronics,64,32.37,Ghana,2071.68,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3652,Electronics,92,12.09,Ghana,1112.28,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC7246,Electronics,36,6.81,Ghana,245.16,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC4051,Electronics,49,72.53,Ghana,3553.9700000000003,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC7111,Electronics,64,48.83,Ghana,3125.12,2010-12,2010-12,1
