InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC4699,Furniture,43,73.25,Ghana,3149.75,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9686,Furniture,9,25.51,Ghana,229.59,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2527,Furniture,34,77.84,Ghana,2646.56,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6101,Furniture,71,33.92,Ghana,2408.32,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9466,Furniture,99,6.69,Ghana,662.3100000000001,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC1287,Furniture,71,43.95,Ghana,3120.4500000000003,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4352,Furniture,53,17.52,Ghana,928.56,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1885,Furniture,72,77.99,Ghana,5615.28,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2948,Furniture,61,55.4,Ghana,3379.4,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC8661,Furniture,40,76.33,Ghana,3053.2,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC1873,Furniture,8,59.8,Ghana,478.4,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC1381,Furniture,99,26.67,Ghana,2640.3300000000004,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9209,Furniture,57,34.3,Ghana,1955.1,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC1677,Furniture,25,27.79,Ghana,694.75,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7275,Furniture,44,15.23,Ghana,670.12,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC7920,Furniture,67,68.8,Ghana,4609.599999999999,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8672,Furniture,26,26.07,Ghana,677.82,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC2907,Furniture,79,20.81,Ghana,1643.99,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC1881,Furniture,87,56.16,Ghana,4885.92,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC9023,Furniture,9,42.49,Ghana,382.41,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC5540,Furniture,24,31.44,Ghana,754.5600000000001,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9387,Furniture,71,22.0,Ghana,1562.0,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3485,Furniture,14,75.13,Ghana,1051.82,2010-12,2010-12,1
