InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC6782,Jewelry,86,86.87,Ghana,7470.820000000001,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4346,Jewelry,39,67.29,Ghana,2624.3100000000004,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4308,Jewelry,8,29.93,Ghana,239.44,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2570,Jewelry,77,51.01,Ghana,3927.77,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2690,Jewelry,10,89.23,Ghana,892.3000000000001,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC1868,Jewelry,96,98.77,Ghana,9481.92,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2543,Jewelry,60,52.48,Ghana,3148.8,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9949,Jewelry,22,14.83,Ghana,326.26,2010-12,2010-12,1
536591,2010-12-01 16:58:00,14606.0,SC5400,Jewelry,30,25.75,Ghana,772.5,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC9526,Jewelry,69,8.03,Ghana,554.0699999999999,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC3413,Jewelry,81,15.79,Ghana,1278.99,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC3447,Jewelry,64,86.28,Ghana,5521.92,2010-12,2010-12,1
536736,2010-12-02 12:59:00,17381.0,SC9143,Jewelry,46,44.92,Ghana,2066.32,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC6395,Jewelry,56,84.23,Ghana,4716.88,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC6358,Jewelry,44,63.95,Ghana,2813.8,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC2557,Jewelry,80,39.58,Ghana,3166.4,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3962,Jewelry,62,39.78,Ghana,2466.36,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7579,Jewelry,85,74.36,Ghana,6320.6,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8073,Jewelry,43,91.31,Ghana,3926.33,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC6550,Jewelry,94,59.55,Ghana,5597.7,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC8401,Jewelry,55,30.96,Ghana,1702.8,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC2338,Jewelry,86,48.43,Ghana,4164.98,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC2208,Jewelry,11,9.55,Ghana,105.05,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC1148,Jewelry,41,92.35,Ghana,3786.35,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC4680,Jewelry,99,87.77,Ghana,8689.23,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7291,Jewelry,72,1.73,Ghana,124.56,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC1574,Jewelry,76,93.5,Ghana,7106.0,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC2296,Jewelry,28,37.64,Ghana,1053.92,2010-12,2010-12,1
537258,2010-12-06 11:16:00,17227.0,SC2715,Jewelry,42,42.55,Ghana,1787.1,2010-12,2010-12,1
537332,2010-12-06 11:58:00,14344.0,SC3932,Jewelry,98,55.16,Ghana,5405.679999999999,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8754,Jewelry,59,63.89,Ghana,3769.51,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC6645,Jewelry,68,97.59,Ghana,6636.12,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC1899,Jewelry,87,62.53,Ghana,5440.11,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC4317,Jewelry,48,93.93,Ghana,4508.64,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC4770,Jewelry,37,89.54,Ghana,3312.98,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC7279,Jewelry,80,91.22,Ghana,7297.6,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC1382,Jewelry,56,39.58,Ghana,2216.48,2010-12,2010-12,1
537700,2010-12-08 10:51:00,18229.0,SC9604,Jewelry,10,27.97,Ghana,279.7,2010-12,2010-12,1
537757,2010-12-08 11:38:00,17975.0,SC3327,Jewelry,40,60.25,Ghana,2410.0,2010-12,2010-12,1
