InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC1772,Kitchenware,82,51.69,Ghana,4238.58,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7291,Kitchenware,83,91.68,Ghana,7609.44,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7328,Kitchenware,35,32.29,Ghana,1130.15,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1057,Kitchenware,65,87.28,Ghana,5673.2,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2063,Kitchenware,53,79.53,Ghana,4215.09,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7452,Kitchenware,48,26.38,Ghana,1266.24,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC6147,Kitchenware,71,1.63,Ghana,115.73,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC8011,Kitchenware,72,28.4,Ghana,2044.8,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC4683,Kitchenware,74,99.41,Ghana,7356.34,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC1964,Kitchenware,95,75.94,Ghana,7214.3,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8300,Kitchenware,81,66.79,Ghana,5409.990000000001,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC3414,Kitchenware,39,40.66,Ghana,1585.7399999999998,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC9160,Kitchenware,22,71.83,Ghana,1580.26,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC1292,Kitchenware,60,38.74,Ghana,2324.4,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC2179,Kitchenware,85,91.0,Ghana,7735.0,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC4420,Kitchenware,100,62.73,Ghana,6273.0,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC1838,Kitchenware,2,95.3,Ghana,190.6,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC9269,Kitchenware,7,96.7,Ghana,676.9,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC4543,Kitchenware,89,38.59,Ghana,3434.51,2010-12,2010-12,1
536844,2010-12-02 18:49:00,14236.0,SC9190,Kitchenware,98,40.72,Ghana,3990.56,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9535,Kitchenware,54,38.65,Ghana,2087.1,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC4057,Kitchenware,61,10.73,Ghana,654.53,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC3919,Kitchenware,1,6.48,Ghana,6.48,2010-12,2010-12,1
