InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC9018,Shoes,13,55.49,Ghana,721.37,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5634,Shoes,32,25.77,Ghana,824.64,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9820,Shoes,30,21.99,Ghana,659.6999999999999,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1737,Shoes,69,41.22,Ghana,2844.18,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5588,Shoes,52,46.81,Ghana,2434.12,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC9753,Shoes,36,85.71,Ghana,3085.56,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC3759,Shoes,93,55.57,Ghana,5168.01,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC7100,Shoes,19,35.67,Ghana,677.73,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC9889,Shoes,77,8.26,Ghana,636.02,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC5553,Shoes,47,14.9,Ghana,700.3000000000001,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5297,Shoes,48,61.59,Ghana,2956.32,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC1599,Shoes,79,31.97,Ghana,2525.63,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC9100,Shoes,72,40.59,Ghana,2922.4800000000005,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC5643,Shoes,54,48.4,Ghana,2613.6,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6843,Shoes,40,60.43,Ghana,2417.2,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6849,Shoes,5,64.02,Ghana,320.1,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9165,Shoes,81,19.13,Ghana,1549.53,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8861,Shoes,54,90.92,Ghana,4909.68,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC9133,Shoes,46,97.71,Ghana,4494.66,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC1170,Shoes,44,22.33,Ghana,982.52,2010-12,2010-12,1
