InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC3214,Sports Equipment,64,13.79,Ghana,882.56,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8527,Sports Equipment,92,7.75,Ghana,713.0,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC9829,Sports Equipment,39,73.52,Ghana,2867.28,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC9612,Sports Equipment,62,26.97,Ghana,1672.14,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC9044,Sports Equipment,22,20.2,Ghana,444.4,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC1906,Sports Equipment,55,64.54,Ghana,3549.7000000000003,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2374,Sports Equipment,64,25.03,Ghana,1601.92,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC3013,Sports Equipment,47,88.71,Ghana,4169.37,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC3267,Sports Equipment,93,71.03,Ghana,6605.79,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC6339,Sports Equipment,77,4.01,Ghana,308.77,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC5254,Sports Equipment,45,89.45,Ghana,4025.25,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC5594,Sports Equipment,2,13.25,Ghana,26.5,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC6667,Sports Equipment,10,86.22,Ghana,862.2,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6535,Sports Equipment,2,76.13,Ghana,152.26,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5134,Sports Equipment,30,8.84,Ghana,265.2,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC2016,Sports Equipment,4,97.63,Ghana,390.52,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC2405,Sports Equipment,36,9.91,Ghana,356.76,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6271,Sports Equipment,34,35.98,Ghana,1223.32,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC2926,Sports Equipment,79,8.48,Ghana,669.9200000000001,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC5601,Sports Equipment,18,82.76,Ghana,1489.68,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3039,Sports Equipment,62,2.06,Ghana,127.72,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8677,Sports Equipment,1,79.99,Ghana,79.99,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9268,Sports Equipment,3,35.69,Ghana,107.07,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1630,Sports Equipment,30,87.1,Ghana,2613.0,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC6494,Sports Equipment,100,70.8,Ghana,7080.0,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC3547,Sports Equipment,39,68.12,Ghana,2656.6800000000003,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC6789,Sports Equipment,79,38.17,Ghana,3015.4300000000003,2010-12,2010-12,1
537233,2010-12-06 09:37:00,17428.0,SC4785,Sports Equipment,96,59.98,Ghana,5758.08,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC5322,Sports Equipment,29,47.23,Ghana,1369.6699999999998,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC3506,Sports Equipment,84,76.06,Ghana,6389.04,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC6367,Sports Equipment,89,88.2,Ghana,7849.8,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC7793,Sports Equipment,16,25.87,Ghana,413.92,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC2350,Sports Equipment,76,24.2,Ghana,1839.2,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC4171,Sports Equipment,39,28.65,Ghana,1117.35,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC9838,Sports Equipment,100,88.01,Ghana,8801.0,2010-12,2010-12,1
537612,2010-12-07 13:28:00,13769.0,SC5421,Sports Equipment,93,17.93,Ghana,1667.49,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC9407,Sports Equipment,2,26.2,Ghana,52.4,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC8027,Sports Equipment,59,50.92,Ghana,3004.28,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC7716,Sports Equipment,32,14.13,Ghana,452.16,2010-12,2010-12,1
