InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536446,2010-12-01 12:15:00,15983.0,SC2177,Toys,95,47.85,Ghana,4545.75,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6198,Toys,77,25.15,Ghana,1936.55,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC1846,Toys,89,13.65,Ghana,1214.85,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5049,Toys,90,23.34,Ghana,2100.6,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC3307,Toys,19,5.42,Ghana,102.98,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7694,Toys,17,37.1,Ghana,630.7,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC9193,Toys,82,85.2,Ghana,6986.400000000001,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC8138,Toys,37,41.02,Ghana,1517.74,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC5979,Toys,10,93.46,Ghana,934.6,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC5438,Toys,25,83.64,Ghana,2091.0,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC3341,Toys,90,75.84,Ghana,6825.6,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC7582,Toys,28,14.04,Ghana,393.12,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC9653,Toys,12,80.36,Ghana,964.32,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC7953,Toys,93,18.13,Ghana,1686.09,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6908,Toys,56,74.28,Ghana,4159.68,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1211,Toys,8,50.68,Ghana,405.44,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC1356,Toys,6,27.39,Ghana,164.34,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC6212,Toys,29,84.22,Ghana,2442.38,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC8339,Toys,45,37.57,Ghana,1690.65,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC4895,Toys,82,18.78,Ghana,1539.96,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC7715,Toys,73,82.15,Ghana,5996.950000000001,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4605,Toys,39,46.46,Ghana,1811.94,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC7820,Toys,12,92.65,Ghana,1111.8000000000002,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9539,Toys,94,50.39,Ghana,4736.66,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC2767,Toys,15,79.77,Ghana,1196.55,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7952,Toys,18,59.62,Ghana,1073.16,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC4578,Toys,62,82.82,Ghana,5134.839999999999,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC8188,Toys,72,10.65,Ghana,766.8000000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2240,Toys,41,21.64,Ghana,887.24,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3981,Toys,73,38.09,Ghana,2780.57,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC2455,Toys,56,41.98,Ghana,2350.88,2010-12,2010-12,1
