InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536398,2010-12-01 10:52:00,13448.0,SC5486,Books,87,71.78,Kenya,6244.86,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3474,Books,14,17.21,Kenya,240.94,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8185,Books,95,51.19,Kenya,4863.05,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4365,Books,20,53.68,Kenya,1073.6,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6540,Books,36,36.21,Kenya,1303.56,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1342,Books,18,47.32,Kenya,851.76,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4608,Books,44,40.02,Kenya,1760.88,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7207,Books,52,47.42,Kenya,2465.84,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9357,Books,44,55.6,Kenya,2446.4,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC6822,Books,55,80.95,Kenya,4452.25,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC2757,Books,10,29.73,Kenya,297.3,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC5435,Books,94,23.93,Kenya,2249.42,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9774,Books,91,54.6,Kenya,4968.6,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC4040,Books,69,53.79,Kenya,3711.51,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC4431,Books,64,59.07,Kenya,3780.48,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC9886,Books,72,10.93,Kenya,786.96,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC8475,Books,78,11.1,Kenya,865.8,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC3064,Books,82,70.54,Kenya,5784.280000000001,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC2389,Books,100,41.13,Kenya,4113.0,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC4294,Books,4,43.88,Kenya,175.52,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC1851,Books,3,36.91,Kenya,110.73,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC7931,Books,63,51.85,Kenya,3266.55,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC7048,Books,92,58.34,Kenya,5367.280000000001,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC6302,Books,29,68.39,Kenya,1983.31,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC8299,Books,24,97.47,Kenya,2339.28,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2031,Books,81,46.72,Kenya,3784.32,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1695,Books,11,47.32,Kenya,520.52,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC6016,Books,1,49.76,Kenya,49.76,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8117,Books,31,22.5,Kenya,697.5,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC3755,Books,34,27.03,Kenya,919.02,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC1904,Books,29,96.81,Kenya,2807.49,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9223,Books,51,74.15,Kenya,3781.65,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC7951,Books,19,43.03,Kenya,817.57,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC4274,Books,35,54.52,Kenya,1908.2,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC8461,Books,53,47.33,Kenya,2508.49,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC5586,Books,34,16.83,Kenya,572.2199999999999,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC4196,Books,46,75.36,Kenya,3466.56,2010-12,2010-12,1
