InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536464,2010-12-01 12:23:00,17968.0,SC7830,Cloths,51,37.34,Kenya,1904.34,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC7353,Cloths,25,79.37,Kenya,1984.25,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC3113,Cloths,16,38.08,Kenya,609.28,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7112,Cloths,96,32.89,Kenya,3157.44,2010-12,2010-12,1
536670,2010-12-02 12:09:00,15260.0,SC4727,Cloths,20,33.88,Kenya,677.6,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC8167,Cloths,67,43.75,Kenya,2931.25,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC5265,Cloths,62,7.29,Kenya,451.98,2010-12,2010-12,1
536789,2010-12-02 15:25:00,17850.0,SC4664,Cloths,74,78.62,Kenya,5817.88,2010-12,2010-12,1
536791,2010-12-02 15:27:00,17850.0,SC3281,Cloths,70,41.49,Kenya,2904.3,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8768,Cloths,69,9.37,Kenya,646.53,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC2786,Cloths,51,69.94,Kenya,3566.94,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC4490,Cloths,91,13.1,Kenya,1192.1,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3306,Cloths,17,25.85,Kenya,439.4500000000001,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC4221,Cloths,82,70.99,Kenya,5821.179999999999,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5739,Cloths,45,66.47,Kenya,2991.15,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC5565,Cloths,96,84.27,Kenya,8089.92,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC5928,Cloths,15,67.27,Kenya,1009.05,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC7395,Cloths,98,68.07,Kenya,6670.86,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC9915,Cloths,19,87.83,Kenya,1668.77,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC7805,Cloths,27,98.76,Kenya,2666.52,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC9818,Cloths,75,33.98,Kenya,2548.4999999999995,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC4332,Cloths,93,45.89,Kenya,4267.77,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC8217,Cloths,34,42.5,Kenya,1445.0,2010-12,2010-12,1
537403,2010-12-06 14:43:00,17191.0,SC7568,Cloths,33,54.97,Kenya,1814.01,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6359,Cloths,67,78.61,Kenya,5266.87,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC4355,Cloths,35,56.64,Kenya,1982.4,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC7511,Cloths,85,85.73,Kenya,7287.05,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC1542,Cloths,45,97.47,Kenya,4386.15,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC4188,Cloths,55,27.95,Kenya,1537.25,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8753,Cloths,18,13.45,Kenya,242.1,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC4647,Cloths,100,68.68,Kenya,6868.000000000001,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC2656,Cloths,6,66.54,Kenya,399.24,2010-12,2010-12,1
537833,2010-12-08 14:53:00,13270.0,SC4566,Cloths,92,45.2,Kenya,4158.400000000001,2010-12,2010-12,1
537885,2010-12-09 09:34:00,12942.0,SC8576,Cloths,6,94.82,Kenya,568.92,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC6904,Cloths,77,44.4,Kenya,3418.8,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC2479,Cloths,91,11.74,Kenya,1068.34,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC8556,Cloths,39,39.08,Kenya,1524.12,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC1786,Cloths,83,68.72,Kenya,5703.76,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC1435,Cloths,55,89.39,Kenya,4916.45,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2270,Cloths,73,62.09,Kenya,4532.570000000001,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2048,Cloths,46,44.33,Kenya,2039.18,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC6693,Cloths,86,54.46,Kenya,4683.56,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC6487,Cloths,5,29.46,Kenya,147.3,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC6356,Cloths,17,77.37,Kenya,1315.29,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC7358,Cloths,6,31.6,Kenya,189.6,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC1311,Cloths,29,16.42,Kenya,476.18000000000006,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC5281,Cloths,35,39.77,Kenya,1391.95,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC1227,Cloths,55,94.03,Kenya,5171.65,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC4090,Cloths,14,3.69,Kenya,51.66,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC9515,Cloths,52,10.07,Kenya,523.64,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC1550,Cloths,44,11.19,Kenya,492.36,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC6124,Cloths,48,41.24,Kenya,1979.52,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC5806,Cloths,98,18.92,Kenya,1854.16,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC6481,Cloths,70,29.68,Kenya,2077.6,2010-12,2010-12,1
538903,2010-12-15 10:17:00,13496.0,SC9524,Cloths,1,97.42,Kenya,97.42,2010-12,2010-12,1
538968,2010-12-15 11:34:00,15384.0,SC3300,Cloths,92,96.13,Kenya,8843.96,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC5992,Cloths,71,65.89,Kenya,4678.19,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC7393,Cloths,28,89.89,Kenya,2516.92,2010-12,2010-12,1
539091,2010-12-16 09:52:00,13756.0,SC1774,Cloths,89,3.71,Kenya,330.19,2010-12,2010-12,1
539181,2010-12-16 11:51:00,12748.0,SC6396,Cloths,63,44.82,Kenya,2823.66,2010-12,2010-12,1
539214,2010-12-16 12:31:00,17062.0,SC6317,Cloths,39,13.01,Kenya,507.39,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC2889,Cloths,34,42.79,Kenya,1454.86,2010-12,2010-12,1
539280,2010-12-16 15:40:00,14373.0,SC4017,Cloths,59,44.71,Kenya,2637.89,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC9727,Cloths,98,63.72,Kenya,6244.56,2010-12,2010-12,1
539311,2010-12-16 17:53:00,14643.0,SC5996,Cloths,37,76.41,Kenya,2827.17,2010-12,2010-12,1
539411,2010-12-17 13:29:00,14243.0,SC7242,Cloths,35,57.08,Kenya,1997.8,2010-12,2010-12,1
539421,2010-12-17 14:21:00,14016.0,SC3098,Cloths,10,21.99,Kenya,219.9,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC6101,Cloths,3,80.15,Kenya,240.45,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC4023,Cloths,89,18.53,Kenya,1649.17,2010-12,2010-12,1
539731,2010-12-21 15:05:00,14646.0,SC1247,Cloths,70,70.64,Kenya,4944.8,2010-12,2010-12,1
539988,2010-12-23 16:06:00,18116.0,SC4271,Cloths,13,70.19,Kenya,912.47,2010-12,2010-12,1
540027,2011-01-04 13:30:00,14210.0,SC3164,Cloths,100,69.53,Kenya,6953.0,2011-01,2011-01,1
540031,2011-01-04 13:50:00,17975.0,SC4277,Cloths,46,77.56,Kenya,3567.76,2011-01,2011-01,1
540060,2011-01-04 14:40:00,14732.0,SC5966,Cloths,95,68.3,Kenya,6488.5,2011-01,2011-01,1
540073,2011-01-04 14:47:00,16814.0,SC7772,Cloths,43,81.04,Kenya,3484.7200000000003,2011-01,2011-01,1
540114,2011-01-05 09:44:00,15498.0,SC7900,Cloths,61,9.53,Kenya,581.3299999999999,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC9590,Cloths,71,78.83,Kenya,5596.93,2011-01,2010-12,2
540187,2011-01-05 13:53:00,15358.0,SC2701,Cloths,7,55.23,Kenya,386.61,2011-01,2011-01,1
540187,2011-01-05 13:53:00,15358.0,SC2075,Cloths,41,8.74,Kenya,358.34000000000003,2011-01,2011-01,1
540188,2011-01-05 13:57:00,16771.0,SC7212,Cloths,69,39.69,Kenya,2738.61,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC9867,Cloths,41,29.72,Kenya,1218.52,2011-01,2011-01,1
540371,2011-01-06 16:35:00,14312.0,SC9499,Cloths,64,65.99,Kenya,4223.36,2011-01,2011-01,1
540455,2011-01-07 12:07:00,12583.0,SC1293,Cloths,78,37.73,Kenya,2942.94,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC7849,Cloths,38,89.36,Kenya,3395.68,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC5872,Cloths,79,84.33,Kenya,6662.07,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC9076,Cloths,90,73.07,Kenya,6576.299999999999,2011-01,2011-01,1
540467,2011-01-07 13:39:00,18198.0,SC9312,Cloths,21,61.82,Kenya,1298.22,2011-01,2011-01,1
540467,2011-01-07 13:39:00,18198.0,SC6146,Cloths,19,87.93,Kenya,1670.67,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC5157,Cloths,61,43.39,Kenya,2646.79,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC6892,Cloths,33,76.86,Kenya,2536.38,2011-01,2011-01,1
540519,2011-01-09 12:12:00,12793.0,SC3434,Cloths,82,53.41,Kenya,4379.62,2011-01,2011-01,1
540523,2011-01-09 12:51:00,13069.0,SC2094,Cloths,5,90.59,Kenya,452.9500000000001,2011-01,2011-01,1
540524,2011-01-09 12:53:00,16735.0,SC5098,Cloths,73,66.12,Kenya,4826.76,2011-01,2011-01,1
540539,2011-01-09 14:42:00,18260.0,SC9729,Cloths,14,9.08,Kenya,127.12,2011-01,2011-01,1
540567,2011-01-10 11:09:00,16850.0,SC9522,Cloths,78,11.2,Kenya,873.5999999999999,2011-01,2011-01,1
540642,2011-01-10 13:22:00,12681.0,SC6979,Cloths,85,35.18,Kenya,2990.3,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC9282,Cloths,41,77.59,Kenya,3181.19,2011-01,2011-01,1
540672,2011-01-10 15:51:00,15281.0,SC5418,Cloths,87,92.21,Kenya,8022.269999999999,2011-01,2011-01,1
540691,2011-01-11 08:50:00,17450.0,SC9861,Cloths,65,1.11,Kenya,72.15,2011-01,2011-01,1
540703,2011-01-11 09:58:00,14135.0,SC5132,Cloths,70,78.87,Kenya,5520.900000000001,2011-01,2011-01,1
540779,2011-01-11 11:18:00,15346.0,SC4767,Cloths,84,94.82,Kenya,7964.879999999999,2011-01,2011-01,1
540856,2011-01-12 10:16:00,16655.0,SC9915,Cloths,39,87.33,Kenya,3405.87,2011-01,2011-01,1
540858,2011-01-12 10:49:00,16359.0,SC3577,Cloths,51,77.46,Kenya,3950.46,2011-01,2011-01,1
540859,2011-01-12 10:58:00,17965.0,SC1578,Cloths,87,20.37,Kenya,1772.19,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC7669,Cloths,82,72.7,Kenya,5961.400000000001,2011-01,2011-01,1
541086,2011-01-13 12:32:00,16503.0,SC2444,Cloths,17,15.2,Kenya,258.4,2011-01,2011-01,1
541228,2011-01-14 16:29:00,15290.0,SC2699,Cloths,79,7.93,Kenya,626.47,2011-01,2011-01,1
541266,2011-01-16 16:25:00,15673.0,SC5753,Cloths,4,18.36,Kenya,73.44,2011-01,2011-01,1
541473,2011-01-18 11:30:00,17491.0,SC3755,Cloths,12,5.88,Kenya,70.56,2011-01,2011-01,1
541485,2011-01-18 13:05:00,18118.0,SC2270,Cloths,10,72.31,Kenya,723.1,2011-01,2011-01,1
541488,2011-01-18 13:34:00,15061.0,SC4772,Cloths,59,53.83,Kenya,3175.97,2011-01,2011-01,1
541491,2011-01-18 14:04:00,12510.0,SC9933,Cloths,35,62.32,Kenya,2181.2,2011-01,2011-01,1
541523,2011-01-19 10:09:00,17708.0,SC5367,Cloths,5,41.03,Kenya,205.15,2011-01,2011-01,1
541576,2011-01-19 13:32:00,17097.0,SC7739,Cloths,31,6.93,Kenya,214.83,2011-01,2010-12,2
541593,2011-01-19 15:20:00,17611.0,SC3663,Cloths,99,82.23,Kenya,8140.77,2011-01,2011-01,1
541596,2011-01-19 16:19:00,17602.0,SC5034,Cloths,64,96.17,Kenya,6154.88,2011-01,2011-01,1
541604,2011-01-19 17:23:00,14572.0,SC2555,Cloths,22,80.46,Kenya,1770.12,2011-01,2011-01,1
541604,2011-01-19 17:23:00,14572.0,SC5645,Cloths,40,48.27,Kenya,1930.8,2011-01,2011-01,1
541658,2011-01-20 12:16:00,15529.0,SC9944,Cloths,11,11.44,Kenya,125.84,2011-01,2011-01,1
541684,2011-01-20 15:22:00,15498.0,SC9043,Cloths,89,65.77,Kenya,5853.53,2011-01,2011-01,1
541698,2011-01-20 19:16:00,14713.0,SC1222,Cloths,20,59.04,Kenya,1180.8,2011-01,2011-01,1
541784,2011-01-21 12:37:00,17277.0,SC7206,Cloths,23,82.47,Kenya,1896.81,2011-01,2011-01,1
541813,2011-01-21 15:36:00,18239.0,SC3372,Cloths,31,86.29,Kenya,2674.99,2011-01,2011-01,1
541816,2011-01-21 15:56:00,17799.0,SC6372,Cloths,45,94.6,Kenya,4257.0,2011-01,2011-01,1
541839,2011-01-23 11:15:00,17769.0,SC9875,Cloths,1,77.2,Kenya,77.2,2011-01,2011-01,1
541842,2011-01-23 12:07:00,16085.0,SC1313,Cloths,43,62.15,Kenya,2672.45,2011-01,2011-01,1
541947,2011-01-24 11:56:00,18161.0,SC5656,Cloths,80,44.49,Kenya,3559.2000000000003,2011-01,2011-01,1
541949,2011-01-24 12:08:00,18136.0,SC5792,Cloths,36,51.48,Kenya,1853.28,2011-01,2011-01,1
541997,2011-01-25 10:38:00,18077.0,SC2310,Cloths,79,95.64,Kenya,7555.56,2011-01,2011-01,1
542059,2011-01-25 11:59:00,16757.0,SC9137,Cloths,90,64.21,Kenya,5778.9,2011-01,2011-01,1
542080,2011-01-25 12:16:00,13815.0,SC2632,Cloths,38,23.5,Kenya,893.0,2011-01,2011-01,1
542100,2011-01-25 13:15:00,15339.0,SC4103,Cloths,60,40.47,Kenya,2428.2,2011-01,2011-01,1
542110,2011-01-25 13:46:00,14189.0,SC5463,Cloths,82,59.29,Kenya,4861.78,2011-01,2011-01,1
542112,2011-01-25 13:55:00,13168.0,SC9945,Cloths,28,38.59,Kenya,1080.52,2011-01,2011-01,1
542147,2011-01-26 10:02:00,12782.0,SC3919,Cloths,4,37.39,Kenya,149.56,2011-01,2011-01,1
542192,2011-01-26 11:27:00,14049.0,SC3684,Cloths,89,76.04,Kenya,6767.56,2011-01,2011-01,1
542192,2011-01-26 11:27:00,14049.0,SC8234,Cloths,24,85.53,Kenya,2052.7200000000003,2011-01,2011-01,1
542229,2011-01-26 13:38:00,12474.0,SC7041,Cloths,20,24.83,Kenya,496.6,2011-01,2011-01,1
542272,2011-01-27 09:42:00,16496.0,SC2839,Cloths,39,1.79,Kenya,69.81,2011-01,2011-01,1
542284,2011-01-27 10:56:00,17311.0,SC1482,Cloths,24,20.29,Kenya,486.96,2011-01,2011-01,1
542303,2011-01-27 11:05:00,12539.0,SC7638,Cloths,39,60.56,Kenya,2361.84,2011-01,2011-01,1
542347,2011-01-27 12:06:00,12826.0,SC6242,Cloths,8,52.74,Kenya,421.92,2011-01,2011-01,1
542393,2011-01-27 15:02:00,18125.0,SC7133,Cloths,46,27.84,Kenya,1280.64,2011-01,2011-01,1
542399,2011-01-27 15:38:00,15549.0,SC6198,Cloths,31,51.65,Kenya,1601.15,2011-01,2011-01,1
542503,2011-01-28 11:58:00,16327.0,SC9884,Cloths,46,10.1,Kenya,464.6,2011-01,2011-01,1
542527,2011-01-28 12:48:00,17188.0,SC6982,Cloths,72,74.17,Kenya,5340.24,2011-01,2011-01,1
542535,2011-01-28 13:37:00,12735.0,SC2294,Cloths,42,31.59,Kenya,1326.78,2011-01,2011-01,1
542578,2011-01-28 14:57:00,13709.0,SC2235,Cloths,24,60.84,Kenya,1460.16,2011-01,2011-01,1
542583,2011-01-28 15:09:00,14051.0,SC2139,Cloths,82,46.26,Kenya,3793.32,2011-01,2011-01,1
542607,2011-01-30 13:48:00,13148.0,SC1159,Cloths,23,26.77,Kenya,615.71,2011-01,2011-01,1
542608,2011-01-30 13:51:00,16770.0,SC3961,Cloths,44,75.47,Kenya,3320.68,2011-01,2011-01,1
542611,2011-01-30 14:13:00,15415.0,SC1813,Cloths,42,92.94,Kenya,3903.48,2011-01,2011-01,1
542611,2011-01-30 14:13:00,15415.0,SC9835,Cloths,67,5.75,Kenya,385.25,2011-01,2011-01,1
542627,2011-01-31 09:51:00,14426.0,SC3083,Cloths,47,41.52,Kenya,1951.44,2011-01,2011-01,1
542719,2011-01-31 14:18:00,17619.0,SC1030,Cloths,11,14.92,Kenya,164.12,2011-01,2011-01,1
542719,2011-01-31 14:18:00,17619.0,SC6693,Cloths,8,58.85,Kenya,470.8,2011-01,2011-01,1
542779,2011-02-01 09:36:00,17147.0,SC5341,Cloths,89,44.65,Kenya,3973.85,2011-02,2011-02,1
542796,2011-02-01 11:07:00,17356.0,SC7472,Cloths,71,20.65,Kenya,1466.15,2011-02,2011-02,1
542891,2011-02-01 13:26:00,16705.0,SC4679,Cloths,100,41.79,Kenya,4179.0,2011-02,2011-02,1
542898,2011-02-01 14:01:00,16110.0,SC5306,Cloths,13,67.53,Kenya,877.89,2011-02,2011-02,1
543022,2011-02-02 14:37:00,16771.0,SC8567,Cloths,57,72.24,Kenya,4117.679999999999,2011-02,2011-01,2
543113,2011-02-03 13:06:00,13047.0,SC5553,Cloths,72,24.55,Kenya,1767.6,2011-02,2011-02,1
543113,2011-02-03 13:06:00,13047.0,SC3573,Cloths,96,9.51,Kenya,912.96,2011-02,2011-02,1
543113,2011-02-03 13:06:00,13047.0,SC9654,Cloths,94,13.5,Kenya,1269.0,2011-02,2011-02,1
543130,2011-02-03 15:17:00,16997.0,SC2299,Cloths,75,81.17,Kenya,6087.75,2011-02,2011-02,1
543164,2011-02-03 19:32:00,13208.0,SC5875,Cloths,90,68.74,Kenya,6186.599999999999,2011-02,2011-02,1
543173,2011-02-04 09:30:00,13871.0,SC3634,Cloths,32,72.21,Kenya,2310.72,2011-02,2011-02,1
543189,2011-02-04 11:48:00,17517.0,SC5752,Cloths,31,72.12,Kenya,2235.7200000000003,2011-02,2011-02,1
543190,2011-02-04 11:52:00,17226.0,SC7749,Cloths,98,90.13,Kenya,8832.74,2011-02,2011-02,1
543252,2011-02-04 14:58:00,17685.0,SC5977,Cloths,4,29.06,Kenya,116.24,2011-02,2011-02,1
543275,2011-02-06 12:49:00,13584.0,SC1320,Cloths,24,40.45,Kenya,970.8,2011-02,2011-02,1
543300,2011-02-07 11:42:00,13334.0,SC2642,Cloths,88,99.23,Kenya,8732.24,2011-02,2011-02,1
543392,2011-02-08 10:15:00,16839.0,SC9996,Cloths,29,94.21,Kenya,2732.09,2011-02,2011-02,1
543535,2011-02-09 13:37:00,17537.0,SC8720,Cloths,100,72.98,Kenya,7298.0,2011-02,2011-02,1
543538,2011-02-09 13:57:00,16143.0,SC8913,Cloths,47,31.77,Kenya,1493.19,2011-02,2011-02,1
543594,2011-02-10 12:15:00,18093.0,SC7648,Cloths,65,2.32,Kenya,150.79999999999998,2011-02,2011-02,1
543647,2011-02-10 19:49:00,12841.0,SC3086,Cloths,67,42.0,Kenya,2814.0,2011-02,2011-02,1
543652,2011-02-11 10:15:00,15544.0,SC5922,Cloths,52,89.78,Kenya,4668.56,2011-02,2011-02,1
543734,2011-02-11 12:22:00,17512.0,SC7001,Cloths,30,36.27,Kenya,1088.1,2011-02,2011-02,1
543805,2011-02-13 12:41:00,17050.0,SC5033,Cloths,38,20.36,Kenya,773.68,2011-02,2011-02,1
543810,2011-02-13 14:16:00,13171.0,SC5188,Cloths,24,74.06,Kenya,1777.44,2011-02,2011-02,1
543812,2011-02-13 14:40:00,17472.0,SC3169,Cloths,84,82.18,Kenya,6903.120000000001,2011-02,2011-02,1
543815,2011-02-13 15:18:00,17255.0,SC5836,Cloths,72,10.88,Kenya,783.36,2011-02,2011-02,1
543816,2011-02-13 15:26:00,17841.0,SC2276,Cloths,17,16.39,Kenya,278.63,2011-02,2011-02,1
543824,2011-02-14 09:31:00,14631.0,SC9701,Cloths,7,53.28,Kenya,372.96,2011-02,2011-02,1
543828,2011-02-14 09:45:00,14156.0,SC2044,Cloths,2,58.21,Kenya,116.42,2011-02,2011-02,1
543828,2011-02-14 09:45:00,14156.0,SC5339,Cloths,25,71.25,Kenya,1781.25,2011-02,2011-02,1
543901,2011-02-14 12:13:00,17659.0,SC8473,Cloths,15,10.04,Kenya,150.6,2011-02,2011-02,1
543973,2011-02-14 15:15:00,17571.0,SC2408,Cloths,8,7.31,Kenya,58.48,2011-02,2011-02,1
