InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC6297,Cosmetics,71,69.76,Kenya,4952.96,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2951,Cosmetics,81,12.98,Kenya,1051.38,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5040,Cosmetics,39,85.02,Kenya,3315.78,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3956,Cosmetics,48,1.56,Kenya,74.88,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC5939,Cosmetics,24,95.82,Kenya,2299.68,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC8204,Cosmetics,2,47.96,Kenya,95.92,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC9318,Cosmetics,14,58.18,Kenya,814.52,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC1611,Cosmetics,9,77.24,Kenya,695.16,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC3706,Cosmetics,56,3.08,Kenya,172.48000000000002,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7898,Cosmetics,27,61.38,Kenya,1657.26,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC5980,Cosmetics,70,50.46,Kenya,3532.2000000000003,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC7820,Cosmetics,83,21.16,Kenya,1756.28,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC8572,Cosmetics,84,73.89,Kenya,6206.76,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6676,Cosmetics,9,96.56,Kenya,869.04,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC6468,Cosmetics,72,60.33,Kenya,4343.76,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC1823,Cosmetics,97,61.05,Kenya,5921.849999999999,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8940,Cosmetics,19,68.05,Kenya,1292.95,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC7873,Cosmetics,39,11.83,Kenya,461.37,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC4495,Cosmetics,20,84.41,Kenya,1688.1999999999998,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6750,Cosmetics,31,21.66,Kenya,671.46,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2945,Cosmetics,74,96.38,Kenya,7132.12,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC4873,Cosmetics,18,78.05,Kenya,1404.9,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC4061,Cosmetics,68,87.71,Kenya,5964.28,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC7782,Cosmetics,97,94.8,Kenya,9195.6,2010-12,2010-12,1
