InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536404,2010-12-01 11:29:00,16218.0,SC2078,Electronics,5,10.9,Kenya,54.5,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8640,Electronics,95,38.23,Kenya,3631.85,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7441,Electronics,78,69.24,Kenya,5400.719999999999,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC8337,Electronics,89,9.94,Kenya,884.66,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC7334,Electronics,83,20.54,Kenya,1704.82,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC2958,Electronics,44,70.28,Kenya,3092.32,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7797,Electronics,55,80.0,Kenya,4400.0,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2428,Electronics,62,31.73,Kenya,1967.26,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC3626,Electronics,39,70.1,Kenya,2733.9,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC9092,Electronics,66,30.3,Kenya,1999.8,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC3008,Electronics,16,46.92,Kenya,750.72,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC3572,Electronics,91,43.03,Kenya,3915.73,2010-12,2010-12,1
536748,2010-12-02 13:45:00,15107.0,SC4677,Electronics,81,13.34,Kenya,1080.54,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC4615,Electronics,34,71.05,Kenya,2415.7,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC5881,Electronics,89,9.88,Kenya,879.32,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC3564,Electronics,59,19.7,Kenya,1162.3,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC1292,Electronics,27,63.68,Kenya,1719.36,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6814,Electronics,31,64.71,Kenya,2006.01,2010-12,2010-12,1
