InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536395,2010-12-01 10:47:00,13767.0,SC3388,Furniture,83,7.51,Kenya,623.3299999999999,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7176,Furniture,60,39.51,Kenya,2370.6,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4647,Furniture,92,27.82,Kenya,2559.44,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC3635,Furniture,25,56.62,Kenya,1415.5,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC7575,Furniture,58,90.13,Kenya,5227.54,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC6782,Furniture,98,45.72,Kenya,4480.56,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC1333,Furniture,10,79.92,Kenya,799.2,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC7758,Furniture,89,90.6,Kenya,8063.4,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC4808,Furniture,30,50.62,Kenya,1518.6,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC5681,Furniture,59,61.59,Kenya,3633.81,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC6770,Furniture,90,85.11,Kenya,7659.9,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC5770,Furniture,64,27.46,Kenya,1757.44,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC5851,Furniture,90,44.1,Kenya,3969.0,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC3767,Furniture,57,36.28,Kenya,2067.96,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC3977,Furniture,60,38.67,Kenya,2320.2000000000003,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC6302,Furniture,4,52.81,Kenya,211.24,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC1721,Furniture,67,34.73,Kenya,2326.91,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC9456,Furniture,61,70.2,Kenya,4282.2,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC5970,Furniture,30,60.34,Kenya,1810.2,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3695,Furniture,99,44.67,Kenya,4422.33,2010-12,2010-12,1
