InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536377,2010-12-01 09:34:00,17850.0,SC3182,Kitchenware,6,70.44,Kenya,422.64,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC6725,Kitchenware,53,83.93,Kenya,4448.29,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4654,Kitchenware,50,43.83,Kenya,2191.5,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9991,Kitchenware,57,30.35,Kenya,1729.95,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC1527,Kitchenware,65,19.44,Kenya,1263.6,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6425,Kitchenware,55,14.85,Kenya,816.75,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3286,Kitchenware,61,6.41,Kenya,391.01,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC6818,Kitchenware,71,52.98,Kenya,3761.58,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC2386,Kitchenware,37,8.76,Kenya,324.12,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC2735,Kitchenware,79,81.63,Kenya,6448.77,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1818,Kitchenware,78,6.09,Kenya,475.02,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC5443,Kitchenware,97,8.31,Kenya,806.07,2010-12,2010-12,1
536591,2010-12-01 16:58:00,14606.0,SC5513,Kitchenware,13,41.55,Kenya,540.15,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC8343,Kitchenware,35,55.54,Kenya,1943.9,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC7378,Kitchenware,29,54.19,Kenya,1571.51,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC7342,Kitchenware,7,74.73,Kenya,523.11,2010-12,2010-12,1
536736,2010-12-02 12:59:00,17381.0,SC5669,Kitchenware,69,3.1,Kenya,213.9,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC6227,Kitchenware,77,65.78,Kenya,5065.06,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC6865,Kitchenware,58,46.44,Kenya,2693.52,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4995,Kitchenware,90,40.92,Kenya,3682.8,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC1191,Kitchenware,65,14.35,Kenya,932.75,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6441,Kitchenware,58,6.45,Kenya,374.1,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC9753,Kitchenware,99,36.74,Kenya,3637.26,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6646,Kitchenware,77,59.66,Kenya,4593.82,2010-12,2010-12,1
536994,2010-12-03 15:25:00,14898.0,SC2696,Kitchenware,17,23.71,Kenya,403.07,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6010,Kitchenware,46,78.25,Kenya,3599.5,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7248,Kitchenware,10,36.44,Kenya,364.4,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4695,Kitchenware,19,97.83,Kenya,1858.77,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC5076,Kitchenware,76,40.78,Kenya,3099.28,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC6858,Kitchenware,65,22.27,Kenya,1447.55,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5064,Kitchenware,52,49.02,Kenya,2549.04,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8311,Kitchenware,32,65.23,Kenya,2087.36,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC6852,Kitchenware,73,90.73,Kenya,6623.29,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC7460,Kitchenware,32,47.66,Kenya,1525.12,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4409,Kitchenware,32,96.64,Kenya,3092.48,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC5023,Kitchenware,27,62.74,Kenya,1693.98,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC9599,Kitchenware,68,29.06,Kenya,1976.08,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3916,Kitchenware,81,88.82,Kenya,7194.419999999999,2010-12,2010-12,1
537248,2010-12-06 10:36:00,15899.0,SC6089,Kitchenware,51,75.52,Kenya,3851.52,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC6676,Kitchenware,61,2.41,Kenya,147.01000000000002,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC1848,Kitchenware,5,24.75,Kenya,123.75,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC1363,Kitchenware,100,39.27,Kenya,3927.000000000001,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC6687,Kitchenware,39,9.09,Kenya,354.51,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC6034,Kitchenware,89,13.23,Kenya,1177.47,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC1567,Kitchenware,24,55.57,Kenya,1333.68,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC8759,Kitchenware,99,6.69,Kenya,662.3100000000001,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC8734,Kitchenware,88,21.75,Kenya,1914.0,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC1028,Kitchenware,19,86.61,Kenya,1645.59,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC1917,Kitchenware,85,27.34,Kenya,2323.9,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC6911,Kitchenware,43,70.96,Kenya,3051.28,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC5054,Kitchenware,38,36.04,Kenya,1369.52,2010-12,2010-12,1
537743,2010-12-08 11:02:00,17706.0,SC2219,Kitchenware,73,87.91,Kenya,6417.429999999999,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5719,Kitchenware,16,52.07,Kenya,833.12,2010-12,2010-12,1
537822,2010-12-08 14:22:00,13523.0,SC8902,Kitchenware,7,80.73,Kenya,565.11,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC8999,Kitchenware,43,17.05,Kenya,733.15,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC3477,Kitchenware,100,50.15,Kenya,5015.0,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC2984,Kitchenware,81,30.38,Kenya,2460.78,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC9944,Kitchenware,37,11.9,Kenya,440.3,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC9955,Kitchenware,13,83.69,Kenya,1087.97,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC3600,Kitchenware,50,38.33,Kenya,1916.5,2010-12,2010-12,1
538097,2010-12-09 14:56:00,15192.0,SC5821,Kitchenware,66,59.58,Kenya,3932.28,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC2132,Kitchenware,35,78.91,Kenya,2761.85,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC2934,Kitchenware,67,21.51,Kenya,1441.17,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC4971,Kitchenware,70,90.97,Kenya,6367.9,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC3939,Kitchenware,100,64.56,Kenya,6456.0,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC6550,Kitchenware,36,43.96,Kenya,1582.56,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC4396,Kitchenware,95,82.56,Kenya,7843.2,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC7540,Kitchenware,12,24.88,Kenya,298.56,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC3141,Kitchenware,57,41.51,Kenya,2366.07,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4657,Kitchenware,33,40.65,Kenya,1341.45,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4393,Kitchenware,88,16.8,Kenya,1478.4,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC9438,Kitchenware,58,38.47,Kenya,2231.26,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC8365,Kitchenware,70,67.99,Kenya,4759.299999999999,2010-12,2010-12,1
538522,2010-12-13 09:09:00,16210.0,SC5040,Kitchenware,52,69.64,Kenya,3621.28,2010-12,2010-12,1
538576,2010-12-13 11:29:00,14498.0,SC3250,Kitchenware,91,92.03,Kenya,8374.73,2010-12,2010-12,1
538596,2010-12-13 12:10:00,17990.0,SC9898,Kitchenware,34,35.87,Kenya,1219.58,2010-12,2010-12,1
