InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC6805,Shoes,13,50.21,Kenya,652.73,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2275,Shoes,90,76.12,Kenya,6850.8,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC3459,Shoes,36,16.47,Kenya,592.92,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC3541,Shoes,97,12.38,Kenya,1200.86,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC5261,Shoes,93,58.64,Kenya,5453.52,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC7193,Shoes,22,4.58,Kenya,100.76,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC1727,Shoes,48,11.94,Kenya,573.12,2010-12,2010-12,1
536663,2010-12-02 12:07:00,16546.0,SC6574,Shoes,71,35.36,Kenya,2510.56,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC5744,Shoes,84,36.14,Kenya,3035.76,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC9931,Shoes,80,10.55,Kenya,844.0,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC7417,Shoes,76,94.52,Kenya,7183.52,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC9606,Shoes,38,38.38,Kenya,1458.44,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC4249,Shoes,85,36.83,Kenya,3130.55,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7041,Shoes,21,81.21,Kenya,1705.41,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8320,Shoes,86,57.74,Kenya,4965.64,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2791,Shoes,80,21.21,Kenya,1696.8000000000002,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC1172,Shoes,74,70.22,Kenya,5196.28,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC4497,Shoes,96,88.55,Kenya,8500.8,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC6181,Shoes,18,32.0,Kenya,576.0,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC9206,Shoes,42,9.48,Kenya,398.16,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC5416,Shoes,63,6.48,Kenya,408.24,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC4897,Shoes,76,29.85,Kenya,2268.6,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC7149,Shoes,27,63.09,Kenya,1703.43,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC9359,Shoes,11,73.24,Kenya,805.64,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1989,Shoes,35,50.57,Kenya,1769.95,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC9875,Shoes,45,81.42,Kenya,3663.9,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3748,Shoes,67,68.38,Kenya,4581.46,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7322,Shoes,19,10.31,Kenya,195.89,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC5639,Shoes,72,68.16,Kenya,4907.52,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC7294,Shoes,4,29.85,Kenya,119.4,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC4527,Shoes,14,74.13,Kenya,1037.82,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC5447,Shoes,20,41.43,Kenya,828.6,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC8121,Shoes,30,75.85,Kenya,2275.5,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC9681,Shoes,49,35.1,Kenya,1719.9,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC3009,Shoes,48,14.34,Kenya,688.3199999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8097,Shoes,57,47.1,Kenya,2684.7000000000003,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC5463,Shoes,79,98.2,Kenya,7757.8,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC9824,Shoes,64,74.47,Kenya,4766.08,2010-12,2010-12,1
537313,2010-12-06 11:42:00,15304.0,SC4853,Shoes,93,35.65,Kenya,3315.45,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC1743,Shoes,50,50.94,Kenya,2547.0,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC7994,Shoes,100,67.42,Kenya,6742.0,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC3446,Shoes,50,50.55,Kenya,2527.5,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC6590,Shoes,5,59.94,Kenya,299.7,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC3227,Shoes,2,86.24,Kenya,172.48,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC2168,Shoes,16,88.72,Kenya,1419.52,2010-12,2010-12,1
537593,2010-12-07 12:21:00,14282.0,SC2875,Shoes,8,14.45,Kenya,115.6,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC7641,Shoes,94,56.63,Kenya,5323.22,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC9626,Shoes,65,26.61,Kenya,1729.65,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC5604,Shoes,35,37.43,Kenya,1310.05,2010-12,2010-12,1
537650,2010-12-07 15:48:00,16125.0,SC5990,Shoes,97,8.16,Kenya,791.52,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC5897,Shoes,23,25.22,Kenya,580.06,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC8726,Shoes,4,73.49,Kenya,293.96,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC8760,Shoes,46,3.22,Kenya,148.12,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC9930,Shoes,12,35.1,Kenya,421.2000000000001,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC8568,Shoes,54,98.97,Kenya,5344.38,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC1587,Shoes,7,67.31,Kenya,471.17,2010-12,2010-12,1
537862,2010-12-08 16:21:00,12971.0,SC5454,Shoes,58,71.74,Kenya,4160.92,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC6872,Shoes,86,56.28,Kenya,4840.08,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC2644,Shoes,3,90.26,Kenya,270.78000000000003,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC6100,Shoes,84,40.84,Kenya,3430.5600000000004,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC8444,Shoes,40,15.08,Kenya,603.2,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC8889,Shoes,91,97.55,Kenya,8877.05,2010-12,2010-12,1
538076,2010-12-09 14:15:00,15311.0,SC9867,Shoes,56,92.39,Kenya,5173.84,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2717,Shoes,56,65.99,Kenya,3695.44,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC7374,Shoes,76,36.31,Kenya,2759.5600000000004,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC3043,Shoes,25,3.59,Kenya,89.75,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC4641,Shoes,97,73.29,Kenya,7109.130000000001,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC7296,Shoes,77,15.38,Kenya,1184.26,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC3312,Shoes,1,76.88,Kenya,76.88,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC5622,Shoes,22,54.88,Kenya,1207.36,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC3704,Shoes,73,92.75,Kenya,6770.75,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC9495,Shoes,22,1.47,Kenya,32.34,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC5004,Shoes,34,18.11,Kenya,615.74,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC7328,Shoes,18,61.52,Kenya,1107.36,2010-12,2010-12,1
