InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC3546,Sports Equipment,86,95.4,Kenya,8204.4,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC5984,Sports Equipment,65,78.18,Kenya,5081.700000000001,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC7571,Sports Equipment,88,90.45,Kenya,7959.6,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7135,Sports Equipment,63,66.31,Kenya,4177.53,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC3934,Sports Equipment,63,39.78,Kenya,2506.14,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC9168,Sports Equipment,28,92.12,Kenya,2579.36,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7175,Sports Equipment,50,94.2,Kenya,4710.0,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2406,Sports Equipment,92,97.04,Kenya,8927.68,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9596,Sports Equipment,54,6.5,Kenya,351.0,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC2063,Sports Equipment,68,37.51,Kenya,2550.68,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC8232,Sports Equipment,58,33.54,Kenya,1945.32,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC8106,Sports Equipment,64,39.79,Kenya,2546.56,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC1766,Sports Equipment,22,35.99,Kenya,791.7800000000001,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC4598,Sports Equipment,55,26.94,Kenya,1481.7,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC4758,Sports Equipment,14,83.09,Kenya,1163.26,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1646,Sports Equipment,44,93.59,Kenya,4117.96,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1957,Sports Equipment,67,28.48,Kenya,1908.16,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7929,Sports Equipment,53,42.32,Kenya,2242.96,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC4580,Sports Equipment,22,88.5,Kenya,1947.0,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5455,Sports Equipment,32,82.25,Kenya,2632.0,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC6378,Sports Equipment,76,22.44,Kenya,1705.44,2010-12,2010-12,1
537026,2010-12-03 16:35:00,12395.0,SC4216,Sports Equipment,46,42.19,Kenya,1940.74,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC2689,Sports Equipment,9,71.05,Kenya,639.4499999999999,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC9423,Sports Equipment,36,4.05,Kenya,145.79999999999998,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC6069,Sports Equipment,52,27.37,Kenya,1423.24,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC8879,Sports Equipment,12,90.16,Kenya,1081.92,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC9861,Sports Equipment,95,44.78,Kenya,4254.1,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC5982,Sports Equipment,39,82.68,Kenya,3224.5200000000004,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC9043,Sports Equipment,85,84.05,Kenya,7144.25,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC2497,Sports Equipment,19,81.1,Kenya,1540.9,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC5104,Sports Equipment,65,89.59,Kenya,5823.35,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7984,Sports Equipment,92,8.81,Kenya,810.5200000000001,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC8938,Sports Equipment,9,49.56,Kenya,446.04,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC2525,Sports Equipment,67,38.2,Kenya,2559.4,2010-12,2010-12,1
537244,2010-12-06 10:20:00,17674.0,SC9993,Sports Equipment,15,62.89,Kenya,943.35,2010-12,2010-12,1
537244,2010-12-06 10:20:00,17674.0,SC6621,Sports Equipment,88,14.93,Kenya,1313.84,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC7872,Sports Equipment,70,75.76,Kenya,5303.200000000001,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3212,Sports Equipment,80,25.6,Kenya,2048.0,2010-12,2010-12,1
