InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536398,2010-12-01 10:52:00,13448.0,SC4958,Toys,89,61.62,Kenya,5484.179999999999,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5436,Toys,50,33.83,Kenya,1691.5,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9297,Toys,24,92.34,Kenya,2216.16,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC5069,Toys,32,13.34,Kenya,426.88,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC1897,Toys,40,49.59,Kenya,1983.6,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC1034,Toys,81,52.29,Kenya,4235.49,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC3678,Toys,4,4.8,Kenya,19.2,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC5744,Toys,81,86.26,Kenya,6987.06,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC2938,Toys,31,52.37,Kenya,1623.47,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2605,Toys,88,56.95,Kenya,5011.6,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7215,Toys,30,64.8,Kenya,1944.0,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC2759,Toys,37,57.2,Kenya,2116.4,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC2994,Toys,50,65.92,Kenya,3296.0,2010-12,2010-12,1
536848,2010-12-03 09:39:00,13408.0,SC4196,Toys,86,10.11,Kenya,869.4599999999999,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC2249,Toys,94,68.84,Kenya,6470.96,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC2306,Toys,38,78.77,Kenya,2993.26,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC6308,Toys,62,76.31,Kenya,4731.22,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC5170,Toys,56,83.16,Kenya,4656.96,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4929,Toys,67,64.82,Kenya,4342.94,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC9192,Toys,80,15.56,Kenya,1244.8,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC9404,Toys,44,77.45,Kenya,3407.8,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC1589,Toys,28,99.87,Kenya,2796.36,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6931,Toys,9,77.61,Kenya,698.49,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2517,Toys,16,2.73,Kenya,43.68,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC4285,Toys,42,22.48,Kenya,944.16,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC8183,Toys,1,43.73,Kenya,43.73,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6555,Toys,43,24.65,Kenya,1059.95,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC3559,Toys,79,46.74,Kenya,3692.46,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7592,Toys,72,52.41,Kenya,3773.52,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC6024,Toys,86,61.0,Kenya,5246.0,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC1828,Toys,57,91.03,Kenya,5188.71,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC2824,Toys,75,16.7,Kenya,1252.5,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC6635,Toys,59,43.38,Kenya,2559.42,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC1246,Toys,39,37.45,Kenya,1460.5500000000002,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC6147,Toys,13,28.12,Kenya,365.56,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC3906,Toys,12,72.64,Kenya,871.6800000000001,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC6989,Toys,48,29.95,Kenya,1437.6,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC5354,Toys,7,19.63,Kenya,137.41,2010-12,2010-12,1
537796,2010-12-08 13:03:00,18061.0,SC5101,Toys,14,50.57,Kenya,707.98,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC6097,Toys,59,35.78,Kenya,2111.02,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC2951,Toys,78,58.24,Kenya,4542.72,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC1659,Toys,41,3.53,Kenya,144.73,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC5133,Toys,69,6.39,Kenya,440.91,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC2138,Toys,100,16.64,Kenya,1664.0,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC8634,Toys,70,4.69,Kenya,328.3,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC2067,Toys,40,71.08,Kenya,2843.2,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2478,Toys,16,62.42,Kenya,998.72,2010-12,2010-12,1
538186,2010-12-10 10:26:00,13000.0,SC4965,Toys,5,64.71,Kenya,323.54999999999995,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC7420,Toys,20,14.46,Kenya,289.20000000000005,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC9946,Toys,28,1.42,Kenya,39.76,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC2350,Toys,12,91.14,Kenya,1093.68,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC7253,Toys,74,81.46,Kenya,6028.04,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC4642,Toys,85,51.14,Kenya,4346.9,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC9503,Toys,85,11.55,Kenya,981.75,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC6968,Toys,91,43.71,Kenya,3977.61,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC1281,Toys,87,43.41,Kenya,3776.67,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC3895,Toys,51,92.11,Kenya,4697.61,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC3532,Toys,97,35.1,Kenya,3404.7000000000003,2010-12,2010-12,1
538519,2010-12-12 16:20:00,18037.0,SC7387,Toys,81,71.63,Kenya,5802.03,2010-12,2010-12,1
538537,2010-12-13 10:41:00,12747.0,SC8328,Toys,95,15.28,Kenya,1451.6,2010-12,2010-12,1
538567,2010-12-13 11:23:00,13999.0,SC1874,Toys,64,33.26,Kenya,2128.64,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC1682,Toys,61,41.2,Kenya,2513.2000000000003,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC1281,Toys,71,6.4,Kenya,454.4,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC1941,Toys,86,55.68,Kenya,4788.48,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC5669,Toys,72,19.69,Kenya,1417.68,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC5431,Toys,4,31.17,Kenya,124.68,2010-12,2010-12,1
538910,2010-12-15 10:54:00,17454.0,SC7483,Toys,10,65.29,Kenya,652.9000000000001,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC3481,Toys,28,34.73,Kenya,972.44,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC2256,Toys,68,46.87,Kenya,3187.16,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC1983,Toys,4,80.32,Kenya,321.28,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC8002,Toys,55,45.24,Kenya,2488.2000000000003,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC3576,Toys,49,80.04,Kenya,3921.960000000001,2010-12,2010-12,1
539047,2010-12-15 16:03:00,15290.0,SC2529,Toys,17,83.37,Kenya,1417.29,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC4686,Toys,6,47.15,Kenya,282.9,2010-12,2010-12,1
539053,2010-12-15 16:32:00,16725.0,SC1499,Toys,45,62.39,Kenya,2807.55,2010-12,2010-12,1
539103,2010-12-16 10:38:00,16985.0,SC1322,Toys,99,48.99,Kenya,4850.01,2010-12,2010-12,1
