InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536423,2010-12-01 12:08:00,18085.0,SC5596,Cloths,9,23.94,Libya,215.46,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3401,Cloths,98,67.74,Libya,6638.52,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7242,Cloths,79,65.36,Libya,5163.44,2010-12,2010-12,1
536570,2010-12-01 15:35:00,14496.0,SC5840,Cloths,67,5.68,Libya,380.56,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC2754,Cloths,98,24.23,Libya,2374.54,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC5397,Cloths,67,83.27,Libya,5579.09,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC8373,Cloths,68,67.77,Libya,4608.36,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC5398,Cloths,4,59.89,Libya,239.56,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC2334,Cloths,35,36.96,Libya,1293.6,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC8807,Cloths,64,62.94,Libya,4028.16,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC6952,Cloths,98,90.98,Libya,8916.04,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2358,Cloths,62,74.3,Libya,4606.599999999999,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC4290,Cloths,54,48.9,Libya,2640.6,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4635,Cloths,92,47.99,Libya,4415.08,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC6222,Cloths,70,48.03,Libya,3362.1,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6975,Cloths,15,4.71,Libya,70.65,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7630,Cloths,45,96.29,Libya,4333.05,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4510,Cloths,27,89.14,Libya,2406.78,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC3900,Cloths,66,78.0,Libya,5148.0,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8731,Cloths,97,85.13,Libya,8257.609999999999,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC4973,Cloths,52,22.06,Libya,1147.12,2010-12,2010-12,1
537233,2010-12-06 09:37:00,17428.0,SC3992,Cloths,69,80.85,Libya,5578.65,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC2269,Cloths,27,89.57,Libya,2418.39,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC4847,Cloths,91,54.72,Libya,4979.52,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC3544,Cloths,39,69.96,Libya,2728.44,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC4986,Cloths,50,65.61,Libya,3280.5,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC5641,Cloths,82,78.63,Libya,6447.66,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC4746,Cloths,4,42.53,Libya,170.12,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC7554,Cloths,79,32.24,Libya,2546.96,2010-12,2010-12,1
537435,2010-12-06 16:58:00,17920.0,SC5838,Cloths,100,13.33,Libya,1333.0,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC9848,Cloths,46,97.14,Libya,4468.44,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC2818,Cloths,48,13.96,Libya,670.08,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC9819,Cloths,95,65.96,Libya,6266.2,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC9312,Cloths,30,71.52,Libya,2145.6,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5211,Cloths,84,59.56,Libya,5003.04,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC9977,Cloths,81,31.22,Libya,2528.82,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC2542,Cloths,68,40.02,Libya,2721.36,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC1943,Cloths,21,81.22,Libya,1705.62,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC4669,Cloths,36,12.71,Libya,457.56000000000006,2010-12,2010-12,1
537883,2010-12-09 09:27:00,14437.0,SC4207,Cloths,60,21.74,Libya,1304.4,2010-12,2010-12,1
537995,2010-12-09 11:39:00,12712.0,SC8565,Cloths,90,53.6,Libya,4824.0,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC2650,Cloths,56,95.16,Libya,5328.96,2010-12,2010-12,1
538076,2010-12-09 14:15:00,15311.0,SC6327,Cloths,69,57.5,Libya,3967.5,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC2856,Cloths,86,96.68,Libya,8314.480000000001,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC4975,Cloths,77,18.5,Libya,1424.5,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC4288,Cloths,95,71.99,Libya,6839.049999999999,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC7640,Cloths,42,65.39,Libya,2746.38,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC4843,Cloths,61,65.04,Libya,3967.440000000001,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC4146,Cloths,34,49.21,Libya,1673.14,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC8904,Cloths,97,35.72,Libya,3464.84,2010-12,2010-12,1
538419,2010-12-12 12:01:00,16367.0,SC1591,Cloths,64,82.62,Libya,5287.68,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC1704,Cloths,20,16.74,Libya,334.79999999999995,2010-12,2010-12,1
538522,2010-12-13 09:09:00,16210.0,SC6689,Cloths,94,55.56,Libya,5222.64,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC7648,Cloths,56,92.19,Libya,5162.639999999999,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC6123,Cloths,50,94.54,Libya,4727.0,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC6285,Cloths,95,77.99,Libya,7409.049999999999,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC8078,Cloths,44,47.76,Libya,2101.44,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC9775,Cloths,19,53.97,Libya,1025.43,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC6988,Cloths,75,20.74,Libya,1555.4999999999998,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC4454,Cloths,74,62.05,Libya,4591.7,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC7611,Cloths,12,84.85,Libya,1018.2,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC9127,Cloths,41,82.52,Libya,3383.32,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7763,Cloths,71,92.26,Libya,6550.46,2010-12,2010-12,1
538656,2010-12-13 15:20:00,17371.0,SC4240,Cloths,42,46.66,Libya,1959.72,2010-12,2010-12,1
538679,2010-12-13 17:03:00,16455.0,SC4933,Cloths,86,2.71,Libya,233.06,2010-12,2010-12,1
538836,2010-12-14 13:09:00,12748.0,SC3800,Cloths,86,97.13,Libya,8353.18,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC6874,Cloths,27,60.83,Libya,1642.41,2010-12,2010-12,1
538994,2010-12-15 12:05:00,17525.0,SC4231,Cloths,99,21.01,Libya,2079.99,2010-12,2010-12,1
539038,2010-12-15 14:45:00,15641.0,SC8092,Cloths,61,34.5,Libya,2104.5,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC9810,Cloths,54,16.3,Libya,880.2,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC9785,Cloths,99,9.16,Libya,906.84,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC3710,Cloths,82,92.42,Libya,7578.44,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC1178,Cloths,19,54.24,Libya,1030.56,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC2067,Cloths,42,10.82,Libya,454.44,2010-12,2010-12,1
