InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC5210,Cosmetics,61,35.43,Libya,2161.23,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC5017,Cosmetics,26,72.82,Libya,1893.32,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7430,Cosmetics,68,32.17,Libya,2187.56,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC5518,Cosmetics,41,32.67,Libya,1339.47,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC5836,Cosmetics,26,94.1,Libya,2446.6,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC3943,Cosmetics,95,59.44,Libya,5646.8,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC5984,Cosmetics,63,7.22,Libya,454.86,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC4233,Cosmetics,43,39.28,Libya,1689.04,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6358,Cosmetics,13,30.84,Libya,400.92,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6122,Cosmetics,71,85.33,Libya,6058.43,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC9259,Cosmetics,74,72.29,Libya,5349.46,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC9127,Cosmetics,79,17.75,Libya,1402.25,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8591,Cosmetics,35,68.43,Libya,2395.05,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC7200,Cosmetics,71,68.07,Libya,4832.969999999999,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC8226,Cosmetics,38,20.98,Libya,797.24,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2616,Cosmetics,81,58.53,Libya,4740.93,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6564,Cosmetics,92,20.55,Libya,1890.6,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8857,Cosmetics,57,76.71,Libya,4372.469999999999,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC3693,Cosmetics,39,49.79,Libya,1941.81,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC2379,Cosmetics,85,66.47,Libya,5649.95,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6311,Cosmetics,60,55.67,Libya,3340.2000000000003,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC3001,Cosmetics,46,18.81,Libya,865.26,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC2682,Cosmetics,62,1.99,Libya,123.38,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4796,Cosmetics,25,12.75,Libya,318.75,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC6776,Cosmetics,67,62.55,Libya,4190.849999999999,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3377,Cosmetics,95,23.35,Libya,2218.25,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC2798,Cosmetics,63,23.31,Libya,1468.53,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC6966,Cosmetics,53,64.81,Libya,3434.9300000000003,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC9890,Cosmetics,47,40.08,Libya,1883.76,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3623,Cosmetics,70,70.84,Libya,4958.8,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2399,Cosmetics,31,71.9,Libya,2228.9,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC9846,Cosmetics,14,15.12,Libya,211.68,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC4256,Cosmetics,49,62.51,Libya,3062.99,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC1629,Cosmetics,100,21.15,Libya,2115.0,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC4039,Cosmetics,91,22.83,Libya,2077.53,2010-12,2010-12,1
537419,2010-12-06 15:14:00,13495.0,SC8040,Cosmetics,62,94.55,Libya,5862.099999999999,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC5896,Cosmetics,87,7.07,Libya,615.09,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC2294,Cosmetics,20,34.23,Libya,684.5999999999999,2010-12,2010-12,1
537592,2010-12-07 12:18:00,17491.0,SC2236,Cosmetics,92,14.01,Libya,1288.92,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC4653,Cosmetics,5,17.73,Libya,88.65,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC7031,Cosmetics,72,39.15,Libya,2818.8,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC5022,Cosmetics,43,51.01,Libya,2193.43,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC5703,Cosmetics,48,84.35,Libya,4048.8,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC3470,Cosmetics,56,85.22,Libya,4772.32,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2412,Cosmetics,35,23.66,Libya,828.1,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC7050,Cosmetics,55,42.64,Libya,2345.2,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC9314,Cosmetics,92,87.11,Libya,8014.12,2010-12,2010-12,1
