InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC1166,Electronics,6,67.04,Libya,402.24,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3662,Electronics,42,65.3,Libya,2742.6,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC1763,Electronics,38,46.74,Libya,1776.12,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1973,Electronics,11,40.77,Libya,448.47,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8991,Electronics,62,94.21,Libya,5841.02,2010-12,2010-12,1
536593,2010-12-01 17:15:00,16835.0,SC1610,Electronics,32,3.9,Libya,124.8,2010-12,2010-12,1
536672,2010-12-02 12:10:00,14491.0,SC5674,Electronics,66,19.06,Libya,1257.9599999999998,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC4649,Electronics,30,1.83,Libya,54.900000000000006,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC9968,Electronics,34,49.15,Libya,1671.1,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3315,Electronics,48,2.14,Libya,102.72,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7824,Electronics,12,24.23,Libya,290.76,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC5912,Electronics,87,56.2,Libya,4889.400000000001,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1508,Electronics,80,69.62,Libya,5569.6,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC1372,Electronics,4,70.29,Libya,281.16,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC7942,Electronics,79,84.54,Libya,6678.660000000001,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC6864,Electronics,99,88.28,Libya,8739.72,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC1764,Electronics,85,93.31,Libya,7931.35,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC2469,Electronics,68,57.36,Libya,3900.48,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC3090,Electronics,76,77.23,Libya,5869.4800000000005,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC8145,Electronics,19,2.9,Libya,55.1,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC3276,Electronics,20,89.55,Libya,1791.0,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC7125,Electronics,17,53.91,Libya,916.47,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC6643,Electronics,80,69.86,Libya,5588.8,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC5749,Electronics,90,76.83,Libya,6914.7,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC3252,Electronics,53,28.57,Libya,1514.21,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC7243,Electronics,21,22.73,Libya,477.33,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC3726,Electronics,91,82.52,Libya,7509.32,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC7473,Electronics,58,65.39,Libya,3792.62,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC5644,Electronics,14,17.64,Libya,246.96,2010-12,2010-12,1
537397,2010-12-06 14:19:00,16817.0,SC7142,Electronics,54,49.27,Libya,2660.5800000000004,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC3567,Electronics,67,42.25,Libya,2830.75,2010-12,2010-12,1
