InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536532,2010-12-01 13:24:00,12433.0,SC2111,Furniture,46,37.77,Libya,1737.42,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC9172,Furniture,95,75.92,Libya,7212.400000000001,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC4259,Furniture,50,44.27,Libya,2213.5,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3811,Furniture,78,91.1,Libya,7105.799999999999,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC5183,Furniture,3,11.42,Libya,34.26,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC7504,Furniture,88,75.8,Libya,6670.4,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC3314,Furniture,51,97.58,Libya,4976.58,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7285,Furniture,77,54.63,Libya,4206.51,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC3114,Furniture,75,23.67,Libya,1775.2500000000002,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC6999,Furniture,38,99.16,Libya,3768.08,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC8547,Furniture,93,24.77,Libya,2303.61,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC2925,Furniture,33,82.66,Libya,2727.78,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC3698,Furniture,40,7.7,Libya,308.0,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC6832,Furniture,17,57.21,Libya,972.57,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3746,Furniture,87,68.42,Libya,5952.54,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC6111,Furniture,20,89.36,Libya,1787.2,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC9759,Furniture,31,36.24,Libya,1123.44,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC6712,Furniture,56,40.82,Libya,2285.92,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC5297,Furniture,66,83.46,Libya,5508.36,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4502,Furniture,60,29.42,Libya,1765.2,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8119,Furniture,45,60.2,Libya,2709.0,2010-12,2010-12,1
537236,2010-12-06 09:52:00,16858.0,SC5353,Furniture,90,51.18,Libya,4606.2,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6564,Furniture,1,86.11,Libya,86.11,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC1998,Furniture,36,33.33,Libya,1199.88,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC3845,Furniture,89,24.39,Libya,2170.71,2010-12,2010-12,1
537332,2010-12-06 11:58:00,14344.0,SC9268,Furniture,66,37.14,Libya,2451.24,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC2881,Furniture,75,54.0,Libya,4050.0,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC5891,Furniture,57,18.13,Libya,1033.41,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8521,Furniture,86,16.21,Libya,1394.0600000000002,2010-12,2010-12,1
