InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC2236,Jewelry,64,6.03,Libya,385.92,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7960,Jewelry,64,1.65,Libya,105.6,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC7230,Jewelry,38,55.06,Libya,2092.28,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC5888,Jewelry,30,60.24,Libya,1807.2,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1124,Jewelry,1,97.23,Libya,97.23,2010-12,2010-12,1
536564,2010-12-01 15:08:00,13468.0,SC3890,Jewelry,60,62.19,Libya,3731.4,2010-12,2010-12,1
536570,2010-12-01 15:35:00,14496.0,SC5766,Jewelry,44,96.5,Libya,4246.0,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC6327,Jewelry,56,27.47,Libya,1538.32,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC1542,Jewelry,30,94.53,Libya,2835.9,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2474,Jewelry,50,54.86,Libya,2743.0,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC6539,Jewelry,26,45.9,Libya,1193.4,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC4638,Jewelry,11,84.84,Libya,933.24,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC8451,Jewelry,94,61.58,Libya,5788.52,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5418,Jewelry,84,52.2,Libya,4384.8,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1531,Jewelry,100,89.37,Libya,8937.0,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6200,Jewelry,14,24.93,Libya,349.02,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC7511,Jewelry,98,95.77,Libya,9385.46,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3915,Jewelry,90,32.14,Libya,2892.6,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC4991,Jewelry,72,1.81,Libya,130.32,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC1983,Jewelry,29,97.24,Libya,2819.96,2010-12,2010-12,1
537053,2010-12-05 11:38:00,16168.0,SC6329,Jewelry,46,99.39,Libya,4571.94,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4775,Jewelry,58,18.35,Libya,1064.3000000000002,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8525,Jewelry,12,2.84,Libya,34.08,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5025,Jewelry,44,90.5,Libya,3982.0,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1642,Jewelry,15,72.52,Libya,1087.8,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC7260,Jewelry,90,5.87,Libya,528.3,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC9995,Jewelry,57,1.04,Libya,59.28,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC5428,Jewelry,80,45.92,Libya,3673.6,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC1465,Jewelry,71,40.87,Libya,2901.77,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC3373,Jewelry,48,76.38,Libya,3666.24,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC2737,Jewelry,83,78.6,Libya,6523.799999999999,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC6231,Jewelry,42,18.93,Libya,795.06,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC1249,Jewelry,88,88.06,Libya,7749.280000000001,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC1076,Jewelry,68,54.46,Libya,3703.28,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC2960,Jewelry,63,2.1,Libya,132.3,2010-12,2010-12,1
537617,2010-12-07 13:45:00,16086.0,SC7027,Jewelry,57,77.38,Libya,4410.66,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC2298,Jewelry,55,92.25,Libya,5073.75,2010-12,2010-12,1
537655,2010-12-07 16:20:00,15081.0,SC3707,Jewelry,13,69.87,Libya,908.31,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC1825,Jewelry,10,44.26,Libya,442.6,2010-12,2010-12,1
537694,2010-12-08 10:46:00,14901.0,SC9889,Jewelry,19,45.64,Libya,867.16,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC7726,Jewelry,88,60.59,Libya,5331.92,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC6218,Jewelry,30,31.21,Libya,936.3,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC7718,Jewelry,70,32.94,Libya,2305.8,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5577,Jewelry,2,71.26,Libya,142.52,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC8298,Jewelry,97,45.01,Libya,4365.97,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC2587,Jewelry,61,56.58,Libya,3451.38,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC8116,Jewelry,83,8.3,Libya,688.9000000000001,2010-12,2010-12,1
