InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536374,2010-12-01 09:09:00,15100.0,SC8591,Kitchenware,11,43.88,Libya,482.68,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1714,Kitchenware,83,88.12,Libya,7313.96,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC5963,Kitchenware,44,55.05,Libya,2422.2,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC7012,Kitchenware,14,92.88,Libya,1300.32,2010-12,2010-12,1
536593,2010-12-01 17:15:00,16835.0,SC4834,Kitchenware,31,28.77,Libya,891.87,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC8928,Kitchenware,67,56.64,Libya,3794.88,2010-12,2010-12,1
536619,2010-12-02 10:18:00,17017.0,SC1256,Kitchenware,29,52.02,Libya,1508.5800000000002,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC1447,Kitchenware,17,70.41,Libya,1196.97,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC1501,Kitchenware,100,33.2,Libya,3320.0000000000005,2010-12,2010-12,1
536671,2010-12-02 12:10:00,13305.0,SC7156,Kitchenware,41,11.79,Libya,483.39,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC1788,Kitchenware,93,78.52,Libya,7302.36,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC2760,Kitchenware,17,22.65,Libya,385.05,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5900,Kitchenware,44,72.81,Libya,3203.6400000000003,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC4843,Kitchenware,8,79.1,Libya,632.8,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2786,Kitchenware,59,58.62,Libya,3458.58,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC3971,Kitchenware,80,66.54,Libya,5323.200000000001,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6622,Kitchenware,27,91.9,Libya,2481.3,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1169,Kitchenware,54,50.14,Libya,2707.56,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC9342,Kitchenware,7,88.97,Libya,622.79,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC4838,Kitchenware,29,88.86,Libya,2576.94,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2632,Kitchenware,85,16.1,Libya,1368.5000000000002,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC3206,Kitchenware,88,22.42,Libya,1972.96,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3166,Kitchenware,32,11.72,Libya,375.04,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC9917,Kitchenware,90,98.62,Libya,8875.800000000001,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1743,Kitchenware,67,55.19,Libya,3697.73,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7430,Kitchenware,41,80.34,Libya,3293.94,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7844,Kitchenware,47,56.81,Libya,2670.07,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC7662,Kitchenware,100,97.29,Libya,9729.0,2010-12,2010-12,1
