InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC1967,Shoes,92,10.71,Libya,985.32,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4494,Shoes,27,38.41,Libya,1037.07,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2342,Shoes,7,20.58,Libya,144.06,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9544,Shoes,84,48.7,Libya,4090.8,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC6107,Shoes,9,38.09,Libya,342.81000000000006,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7044,Shoes,11,9.91,Libya,109.01,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC8510,Shoes,51,94.71,Libya,4830.21,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC7767,Shoes,40,70.21,Libya,2808.4,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC2453,Shoes,69,58.63,Libya,4045.47,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC6103,Shoes,66,95.15,Libya,6279.900000000001,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC9507,Shoes,44,41.98,Libya,1847.12,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC3288,Shoes,45,61.26,Libya,2756.7,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC9319,Shoes,74,15.46,Libya,1144.04,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2152,Shoes,45,43.89,Libya,1975.05,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC6643,Shoes,36,33.93,Libya,1221.48,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6457,Shoes,17,7.3,Libya,124.1,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6634,Shoes,96,38.98,Libya,3742.08,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC1757,Shoes,75,27.42,Libya,2056.5,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC6003,Shoes,24,11.67,Libya,280.08,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9877,Shoes,10,26.04,Libya,260.4,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2139,Shoes,7,71.42,Libya,499.94,2010-12,2010-12,1
537026,2010-12-03 16:35:00,12395.0,SC1507,Shoes,77,7.59,Libya,584.43,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC6524,Shoes,25,81.16,Libya,2029.0,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2347,Shoes,52,29.82,Libya,1550.64,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC5041,Shoes,55,29.1,Libya,1600.5,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC6506,Shoes,5,19.64,Libya,98.2,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3606,Shoes,80,64.54,Libya,5163.200000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC7731,Shoes,14,37.74,Libya,528.36,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1134,Shoes,28,34.25,Libya,959.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7642,Shoes,83,24.19,Libya,2007.77,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC8857,Shoes,40,92.59,Libya,3703.6,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC2013,Shoes,46,67.33,Libya,3097.18,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC6584,Shoes,5,22.4,Libya,112.0,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC4896,Shoes,51,55.58,Libya,2834.58,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC8597,Shoes,68,1.04,Libya,70.72,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC1419,Shoes,7,90.2,Libya,631.4,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC3767,Shoes,61,24.17,Libya,1474.37,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC3951,Shoes,54,72.12,Libya,3894.480000000001,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC6636,Shoes,14,24.53,Libya,343.42,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC1951,Shoes,16,19.67,Libya,314.72,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC6430,Shoes,3,6.75,Libya,20.25,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC6865,Shoes,4,27.44,Libya,109.76,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC4359,Shoes,83,43.68,Libya,3625.44,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC4235,Shoes,37,87.65,Libya,3243.05,2010-12,2010-12,1
537593,2010-12-07 12:21:00,14282.0,SC7035,Shoes,18,38.83,Libya,698.9399999999999,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4288,Shoes,1,74.31,Libya,74.31,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC5836,Shoes,98,71.78,Libya,7034.4400000000005,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC5522,Shoes,20,97.48,Libya,1949.6,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC9686,Shoes,6,73.99,Libya,443.94,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC7576,Shoes,26,8.17,Libya,212.42,2010-12,2010-12,1
537757,2010-12-08 11:38:00,17975.0,SC2278,Shoes,75,99.78,Libya,7483.5,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC2175,Shoes,67,64.35,Libya,4311.45,2010-12,2010-12,1
537866,2010-12-08 16:45:00,17655.0,SC4682,Shoes,51,35.14,Libya,1792.14,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC8240,Shoes,83,89.47,Libya,7426.01,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC5977,Shoes,60,54.73,Libya,3283.8,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC3012,Shoes,95,20.0,Libya,1900.0,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC4315,Shoes,73,92.26,Libya,6734.9800000000005,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC8718,Shoes,37,54.52,Libya,2017.24,2010-12,2010-12,1
538196,2010-12-10 10:56:00,12731.0,SC3507,Shoes,36,74.11,Libya,2667.96,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC8327,Shoes,93,87.95,Libya,8179.35,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC3220,Shoes,37,40.02,Libya,1480.74,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC7808,Shoes,58,7.18,Libya,416.44,2010-12,2010-12,1
538361,2010-12-10 16:36:00,17757.0,SC7506,Shoes,8,33.47,Libya,267.76,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC7755,Shoes,68,12.71,Libya,864.2800000000001,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC5756,Shoes,30,62.27,Libya,1868.1,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC4440,Shoes,65,42.79,Libya,2781.35,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC4775,Shoes,27,30.45,Libya,822.15,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC7267,Shoes,49,2.12,Libya,103.88,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC8862,Shoes,67,74.89,Libya,5017.63,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC3704,Shoes,80,34.3,Libya,2744.0,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC1439,Shoes,52,62.73,Libya,3261.96,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6291,Shoes,39,72.64,Libya,2832.96,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4811,Shoes,61,20.7,Libya,1262.7,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7578,Shoes,77,15.82,Libya,1218.14,2010-12,2010-12,1
