InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC8225,Sports Equipment,69,12.03,Libya,830.0699999999999,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC7693,Sports Equipment,7,30.72,Libya,215.04,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC9543,Sports Equipment,47,41.13,Libya,1933.11,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC1074,Sports Equipment,96,87.88,Libya,8436.48,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC1532,Sports Equipment,13,28.77,Libya,374.01,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC2922,Sports Equipment,20,4.73,Libya,94.6,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4633,Sports Equipment,63,21.08,Libya,1328.04,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC3134,Sports Equipment,84,77.09,Libya,6475.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1106,Sports Equipment,18,14.18,Libya,255.24,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6005,Sports Equipment,41,55.87,Libya,2290.67,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7554,Sports Equipment,59,92.2,Libya,5439.8,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC6824,Sports Equipment,46,9.14,Libya,420.44000000000005,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC4955,Sports Equipment,27,83.31,Libya,2249.37,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC4061,Sports Equipment,80,29.6,Libya,2368.0,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC7793,Sports Equipment,78,6.2,Libya,483.6,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC3449,Sports Equipment,90,62.6,Libya,5634.0,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC1890,Sports Equipment,58,53.7,Libya,3114.6000000000004,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC5322,Sports Equipment,12,18.18,Libya,218.16,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC6569,Sports Equipment,3,56.33,Libya,168.99,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2092,Sports Equipment,56,47.53,Libya,2661.6800000000003,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC2095,Sports Equipment,26,66.33,Libya,1724.58,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC3305,Sports Equipment,100,36.28,Libya,3628.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1951,Sports Equipment,98,63.48,Libya,6221.04,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC4521,Sports Equipment,46,32.53,Libya,1496.38,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC9878,Sports Equipment,30,14.57,Libya,437.1,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC5190,Sports Equipment,71,88.18,Libya,6260.780000000001,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC8636,Sports Equipment,39,34.76,Libya,1355.64,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC5807,Sports Equipment,5,70.05,Libya,350.25,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9189,Sports Equipment,91,86.03,Libya,7828.73,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC8136,Sports Equipment,99,7.89,Libya,781.11,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC6196,Sports Equipment,94,31.79,Libya,2988.26,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC3009,Sports Equipment,66,7.41,Libya,489.06,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC5927,Sports Equipment,52,60.2,Libya,3130.4,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC1854,Sports Equipment,96,58.71,Libya,5636.16,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3985,Sports Equipment,64,15.67,Libya,1002.88,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC4723,Sports Equipment,50,95.02,Libya,4751.0,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC6103,Sports Equipment,43,50.58,Libya,2174.94,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC5709,Sports Equipment,38,85.06,Libya,3232.28,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC5936,Sports Equipment,90,90.29,Libya,8126.1,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC8372,Sports Equipment,58,46.36,Libya,2688.88,2010-12,2010-12,1
537625,2010-12-07 14:57:00,15180.0,SC3733,Sports Equipment,74,90.01,Libya,6660.740000000001,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC1555,Sports Equipment,81,96.69,Libya,7831.889999999999,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC5037,Sports Equipment,24,15.68,Libya,376.32,2010-12,2010-12,1
537799,2010-12-08 13:07:00,15916.0,SC8552,Sports Equipment,5,79.26,Libya,396.3,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC1263,Sports Equipment,47,35.33,Libya,1660.51,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC5925,Sports Equipment,16,78.86,Libya,1261.76,2010-12,2010-12,1
537861,2010-12-08 16:18:00,16596.0,SC1497,Sports Equipment,25,97.11,Libya,2427.75,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC6477,Sports Equipment,11,89.71,Libya,986.81,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC9424,Sports Equipment,61,80.98,Libya,4939.780000000001,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC7293,Sports Equipment,44,46.29,Libya,2036.76,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC4162,Sports Equipment,80,39.64,Libya,3171.2,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC5741,Sports Equipment,65,16.68,Libya,1084.2,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC1846,Sports Equipment,13,41.63,Libya,541.19,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC3875,Sports Equipment,36,22.32,Libya,803.52,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC2626,Sports Equipment,62,59.54,Libya,3691.48,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC4683,Sports Equipment,11,98.49,Libya,1083.39,2010-12,2010-12,1
538409,2010-12-12 11:49:00,17236.0,SC7792,Sports Equipment,25,11.73,Libya,293.25,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC8592,Sports Equipment,52,67.8,Libya,3525.6,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC7932,Sports Equipment,55,23.25,Libya,1278.75,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC5114,Sports Equipment,31,55.34,Libya,1715.5400000000002,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC1239,Sports Equipment,77,47.7,Libya,3672.9,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC5921,Sports Equipment,22,35.9,Libya,789.8,2010-12,2010-12,1
538593,2010-12-13 11:51:00,16701.0,SC4663,Sports Equipment,4,71.53,Libya,286.12,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC3719,Sports Equipment,86,19.66,Libya,1690.76,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC2928,Sports Equipment,53,51.14,Libya,2710.42,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC8052,Sports Equipment,37,11.37,Libya,420.69,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC9390,Sports Equipment,9,78.77,Libya,708.93,2010-12,2010-12,1
538706,2010-12-14 10:34:00,14667.0,SC1195,Sports Equipment,29,1.07,Libya,31.03,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC4165,Sports Equipment,60,47.2,Libya,2832.0,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC9581,Sports Equipment,32,68.38,Libya,2188.16,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC5522,Sports Equipment,77,59.22,Libya,4559.94,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC9864,Sports Equipment,67,5.32,Libya,356.44,2010-12,2010-12,1
538844,2010-12-14 13:19:00,14680.0,SC6742,Sports Equipment,35,67.5,Libya,2362.5,2010-12,2010-12,1
538868,2010-12-14 14:42:00,17017.0,SC1508,Sports Equipment,77,41.4,Libya,3187.8,2010-12,2010-12,1
538879,2010-12-14 15:50:00,15392.0,SC5183,Sports Equipment,33,45.64,Libya,1506.12,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC4550,Sports Equipment,50,16.06,Libya,802.9999999999999,2010-12,2010-12,1
538895,2010-12-15 09:07:00,14401.0,SC9424,Sports Equipment,27,93.8,Libya,2532.6,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC8265,Sports Equipment,36,9.25,Libya,333.0,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC1488,Sports Equipment,84,19.65,Libya,1650.6,2010-12,2010-12,1
538968,2010-12-15 11:34:00,15384.0,SC5517,Sports Equipment,3,5.89,Libya,17.669999999999998,2010-12,2010-12,1
538993,2010-12-15 12:01:00,15512.0,SC6891,Sports Equipment,35,76.65,Libya,2682.75,2010-12,2010-12,1
538996,2010-12-15 12:06:00,15465.0,SC3522,Sports Equipment,66,54.39,Libya,3589.74,2010-12,2010-12,1
539004,2010-12-15 12:43:00,13426.0,SC8931,Sports Equipment,2,31.98,Libya,63.96,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC3314,Sports Equipment,45,89.8,Libya,4041.0,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC9897,Sports Equipment,64,71.33,Libya,4565.12,2010-12,2010-12,1
539056,2010-12-15 16:38:00,16725.0,SC1733,Sports Equipment,34,40.6,Libya,1380.4,2010-12,2010-12,1
539160,2010-12-16 11:43:00,16746.0,SC6455,Sports Equipment,39,86.21,Libya,3362.19,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC3217,Sports Equipment,77,81.53,Libya,6277.81,2010-12,2010-12,1
539256,2010-12-16 14:27:00,15601.0,SC8246,Sports Equipment,36,36.79,Libya,1324.44,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC5726,Sports Equipment,83,75.67,Libya,6280.610000000001,2010-12,2010-12,1
539308,2010-12-16 17:48:00,17412.0,SC8951,Sports Equipment,59,76.25,Libya,4498.75,2010-12,2010-12,1
539395,2010-12-17 11:52:00,12471.0,SC4993,Sports Equipment,36,74.92,Libya,2697.12,2010-12,2010-12,1
539414,2010-12-17 13:45:00,16931.0,SC8184,Sports Equipment,85,76.95,Libya,6540.75,2010-12,2010-12,1
539472,2010-12-19 14:23:00,15581.0,SC3915,Sports Equipment,19,9.98,Libya,189.62,2010-12,2010-12,1
539728,2010-12-21 14:26:00,16270.0,SC6327,Sports Equipment,32,48.62,Libya,1555.84,2010-12,2010-12,1
539766,2010-12-22 11:11:00,14092.0,SC8406,Sports Equipment,26,72.34,Libya,1880.84,2010-12,2010-12,1
540002,2011-01-04 10:23:00,16656.0,SC8484,Sports Equipment,48,51.22,Libya,2458.56,2011-01,2011-01,1
540014,2011-01-04 11:34:00,14606.0,SC3992,Sports Equipment,7,81.29,Libya,569.0300000000001,2011-01,2010-12,2
540019,2011-01-04 12:18:00,12957.0,SC3346,Sports Equipment,90,13.53,Libya,1217.7,2011-01,2011-01,1
540021,2011-01-04 12:51:00,17841.0,SC8833,Sports Equipment,77,14.71,Libya,1132.67,2011-01,2010-12,2
540021,2011-01-04 12:51:00,17841.0,SC4463,Sports Equipment,55,1.85,Libya,101.75,2011-01,2010-12,2
540094,2011-01-04 15:33:00,14221.0,SC3532,Sports Equipment,87,65.65,Libya,5711.55,2011-01,2011-01,1
540099,2011-01-04 16:41:00,15808.0,SC9916,Sports Equipment,31,4.57,Libya,141.67000000000002,2011-01,2011-01,1
540163,2011-01-05 11:52:00,13089.0,SC6698,Sports Equipment,24,95.67,Libya,2296.08,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC3071,Sports Equipment,24,98.5,Libya,2364.0,2011-01,2011-01,1
540358,2011-01-06 15:25:00,13599.0,SC8552,Sports Equipment,4,83.51,Libya,334.04,2011-01,2011-01,1
540362,2011-01-06 15:42:00,13656.0,SC4524,Sports Equipment,73,75.7,Libya,5526.1,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC8958,Sports Equipment,72,67.29,Libya,4844.88,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC4540,Sports Equipment,7,41.95,Libya,293.65000000000003,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC7720,Sports Equipment,25,21.27,Libya,531.75,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC5394,Sports Equipment,82,85.17,Libya,6983.9400000000005,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC4267,Sports Equipment,20,23.41,Libya,468.2,2011-01,2011-01,1
540463,2011-01-07 13:13:00,12489.0,SC2526,Sports Equipment,53,46.23,Libya,2450.19,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC8138,Sports Equipment,9,12.63,Libya,113.67,2011-01,2011-01,1
540504,2011-01-09 11:02:00,13668.0,SC3330,Sports Equipment,34,68.96,Libya,2344.64,2011-01,2011-01,1
540520,2011-01-09 12:31:00,17555.0,SC1317,Sports Equipment,23,95.27,Libya,2191.21,2011-01,2011-01,1
540525,2011-01-09 13:02:00,16833.0,SC4724,Sports Equipment,44,86.7,Libya,3814.8,2011-01,2011-01,1
540640,2011-01-10 12:36:00,14527.0,SC3897,Sports Equipment,45,75.61,Libya,3402.45,2011-01,2010-12,2
540644,2011-01-10 14:16:00,16303.0,SC4539,Sports Equipment,14,63.45,Libya,888.3000000000001,2011-01,2011-01,1
540691,2011-01-11 08:50:00,17450.0,SC5471,Sports Equipment,17,83.57,Libya,1420.6899999999998,2011-01,2011-01,1
540798,2011-01-11 12:11:00,17365.0,SC9719,Sports Equipment,98,30.11,Libya,2950.78,2011-01,2011-01,1
540838,2011-01-11 15:13:00,13862.0,SC3413,Sports Equipment,96,65.66,Libya,6303.36,2011-01,2011-01,1
540844,2011-01-11 16:24:00,12971.0,SC8930,Sports Equipment,41,26.77,Libya,1097.57,2011-01,2011-01,1
540906,2011-01-12 11:51:00,16701.0,SC7480,Sports Equipment,23,58.52,Libya,1345.96,2011-01,2010-12,2
540915,2011-01-12 12:00:00,13267.0,SC4964,Sports Equipment,37,79.11,Libya,2927.07,2011-01,2011-01,1
