InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC8459,Toys,41,54.46,Libya,2232.86,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC7004,Toys,78,6.82,Libya,531.96,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3627,Toys,49,32.96,Libya,1615.04,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8538,Toys,3,89.03,Libya,267.09000000000003,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC4211,Toys,81,18.12,Libya,1467.72,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC1203,Toys,49,59.74,Libya,2927.26,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5949,Toys,11,85.38,Libya,939.18,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC6952,Toys,65,67.85,Libya,4410.25,2010-12,2010-12,1
536608,2010-12-02 09:37:00,12855.0,SC3462,Toys,35,78.87,Libya,2760.4500000000003,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC1644,Toys,44,58.3,Libya,2565.2,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC2941,Toys,48,55.76,Libya,2676.48,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1622,Toys,23,19.98,Libya,459.54,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC8772,Toys,76,36.32,Libya,2760.32,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5403,Toys,27,55.97,Libya,1511.19,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC2467,Toys,3,12.38,Libya,37.14,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3346,Toys,21,6.73,Libya,141.33,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9729,Toys,76,48.28,Libya,3669.28,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC5244,Toys,97,97.83,Libya,9489.51,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4472,Toys,78,9.83,Libya,766.74,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4568,Toys,67,34.14,Libya,2287.38,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4770,Toys,14,19.71,Libya,275.94,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC3035,Toys,57,59.46,Libya,3389.2200000000003,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC4001,Toys,93,36.23,Libya,3369.39,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1520,Toys,41,23.04,Libya,944.64,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9311,Toys,30,12.11,Libya,363.3,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6672,Toys,65,56.71,Libya,3686.15,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC6569,Toys,9,53.58,Libya,482.22,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC4368,Toys,68,3.76,Libya,255.68,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC4998,Toys,14,12.52,Libya,175.28,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC1012,Toys,74,98.87,Libya,7316.38,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC3320,Toys,5,69.83,Libya,349.15,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC7131,Toys,93,24.98,Libya,2323.14,2010-12,2010-12,1
