InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536394,2010-12-01 10:39:00,13408.0,SC3204,Books,4,37.3,Madagascar,149.2,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC1128,Books,13,26.83,Madagascar,348.79,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC1897,Books,24,85.46,Madagascar,2051.04,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC1591,Books,27,73.0,Madagascar,1971.0,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC7973,Books,76,2.4,Madagascar,182.4,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC3922,Books,53,66.37,Madagascar,3517.61,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC8844,Books,15,86.36,Madagascar,1295.4,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC4961,Books,91,18.29,Madagascar,1664.39,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4629,Books,26,37.29,Madagascar,969.54,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC2343,Books,58,68.94,Madagascar,3998.52,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC5906,Books,69,17.25,Madagascar,1190.25,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC1300,Books,1,15.51,Madagascar,15.51,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC4120,Books,69,61.38,Madagascar,4235.22,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7705,Books,39,23.85,Madagascar,930.15,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC4467,Books,51,9.57,Madagascar,488.07,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC5764,Books,27,62.56,Madagascar,1689.12,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3726,Books,42,18.5,Madagascar,777.0,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC2972,Books,4,78.07,Madagascar,312.28,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC9832,Books,88,63.59,Madagascar,5595.92,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC8912,Books,94,68.0,Madagascar,6392.0,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC1346,Books,71,3.45,Madagascar,244.95,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC2730,Books,11,4.37,Madagascar,48.07,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC5323,Books,13,32.83,Madagascar,426.79,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC8448,Books,47,76.03,Madagascar,3573.41,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC5454,Books,55,53.83,Madagascar,2960.65,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC9681,Books,58,29.6,Madagascar,1716.8000000000002,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5010,Books,30,23.53,Madagascar,705.9000000000001,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5683,Books,46,28.16,Madagascar,1295.36,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC3082,Books,11,57.62,Madagascar,633.8199999999999,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5855,Books,62,56.12,Madagascar,3479.44,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC8872,Books,69,40.12,Madagascar,2768.28,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2562,Books,10,55.42,Madagascar,554.2,2010-12,2010-12,1
537215,2010-12-05 15:38:00,12747.0,SC8889,Books,22,77.53,Madagascar,1705.66,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC7824,Books,98,66.26,Madagascar,6493.4800000000005,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC6941,Books,35,95.39,Madagascar,3338.65,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1130,Books,100,93.65,Madagascar,9365.0,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC2345,Books,18,49.96,Madagascar,899.28,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC1085,Books,17,36.93,Madagascar,627.81,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC5671,Books,61,70.2,Madagascar,4282.2,2010-12,2010-12,1
537476,2010-12-07 11:26:00,15838.0,SC8593,Books,100,24.59,Madagascar,2459.0,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC4651,Books,4,27.43,Madagascar,109.72,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC6210,Books,53,6.47,Madagascar,342.91,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1084,Books,8,38.89,Madagascar,311.12,2010-12,2010-12,1
537809,2010-12-08 13:28:00,14217.0,SC7379,Books,3,52.27,Madagascar,156.81,2010-12,2010-12,1
537831,2010-12-08 14:50:00,17894.0,SC4681,Books,16,63.38,Madagascar,1014.08,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC3683,Books,27,56.12,Madagascar,1515.24,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC8588,Books,20,87.34,Madagascar,1746.8000000000002,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC5457,Books,54,23.39,Madagascar,1263.06,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC3430,Books,94,10.8,Madagascar,1015.2,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC6647,Books,15,48.47,Madagascar,727.05,2010-12,2010-12,1
537881,2010-12-09 09:23:00,15513.0,SC8723,Books,88,79.38,Madagascar,6985.44,2010-12,2010-12,1
538057,2010-12-09 13:38:00,13102.0,SC5590,Books,85,64.99,Madagascar,5524.15,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC2237,Books,67,35.62,Madagascar,2386.54,2010-12,2010-12,1
538094,2010-12-09 14:50:00,13117.0,SC8174,Books,46,98.97,Madagascar,4552.62,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC1498,Books,61,50.54,Madagascar,3082.94,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC3526,Books,51,76.76,Madagascar,3914.76,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8734,Books,81,90.99,Madagascar,7370.19,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC3677,Books,48,82.6,Madagascar,3964.8,2010-12,2010-12,1
538309,2010-12-10 13:32:00,15881.0,SC5834,Books,73,70.34,Madagascar,5134.820000000001,2010-12,2010-12,1
538343,2010-12-10 14:29:00,13448.0,SC5976,Books,72,33.15,Madagascar,2386.8,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC7393,Books,24,29.76,Madagascar,714.24,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC5789,Books,22,19.33,Madagascar,425.26,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC3182,Books,16,19.23,Madagascar,307.68,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC4114,Books,68,85.81,Madagascar,5835.08,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC7005,Books,78,60.66,Madagascar,4731.48,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC7706,Books,26,95.39,Madagascar,2480.14,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC8885,Books,57,41.0,Madagascar,2337.0,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC3586,Books,86,22.33,Madagascar,1920.38,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC1670,Books,35,78.57,Madagascar,2749.95,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC9126,Books,9,43.9,Madagascar,395.1,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4280,Books,59,83.94,Madagascar,4952.46,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC3779,Books,28,10.29,Madagascar,288.12,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC9926,Books,72,83.82,Madagascar,6035.039999999999,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC6203,Books,85,2.45,Madagascar,208.25000000000003,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC3343,Books,48,91.37,Madagascar,4385.76,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC2798,Books,94,99.56,Madagascar,9358.64,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC9298,Books,13,52.18,Madagascar,678.34,2010-12,2010-12,1
538908,2010-12-15 10:41:00,16954.0,SC6946,Books,63,16.95,Madagascar,1067.85,2010-12,2010-12,1
538992,2010-12-15 11:56:00,15950.0,SC2195,Books,21,86.43,Madagascar,1815.03,2010-12,2010-12,1
538999,2010-12-15 12:09:00,16003.0,SC3070,Books,35,95.48,Madagascar,3341.8,2010-12,2010-12,1
538999,2010-12-15 12:09:00,16003.0,SC6537,Books,95,92.09,Madagascar,8748.550000000001,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC9868,Books,57,3.37,Madagascar,192.09,2010-12,2010-12,1
539038,2010-12-15 14:45:00,15641.0,SC4635,Books,25,87.35,Madagascar,2183.75,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC2845,Books,60,12.53,Madagascar,751.8,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC7849,Books,46,19.78,Madagascar,909.88,2010-12,2010-12,1
539049,2010-12-15 16:21:00,15615.0,SC2831,Books,41,70.94,Madagascar,2908.54,2010-12,2010-12,1
539077,2010-12-16 08:05:00,13089.0,SC2979,Books,81,54.62,Madagascar,4424.219999999999,2010-12,2010-12,1
539084,2010-12-16 09:31:00,13890.0,SC6161,Books,7,82.91,Madagascar,580.37,2010-12,2010-12,1
539105,2010-12-16 10:43:00,14825.0,SC4150,Books,48,40.32,Madagascar,1935.36,2010-12,2010-12,1
539217,2010-12-16 12:46:00,15394.0,SC5012,Books,83,62.94,Madagascar,5224.02,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC7661,Books,36,76.5,Madagascar,2754.0,2010-12,2010-12,1
539252,2010-12-16 14:17:00,17744.0,SC8321,Books,93,74.63,Madagascar,6940.589999999999,2010-12,2010-12,1
539309,2010-12-16 17:49:00,16945.0,SC7701,Books,86,38.16,Madagascar,3281.76,2010-12,2010-12,1
539318,2010-12-16 19:09:00,12348.0,SC3583,Books,69,32.76,Madagascar,2260.44,2010-12,2010-12,1
539379,2010-12-17 11:43:00,15780.0,SC3361,Books,82,6.21,Madagascar,509.22,2010-12,2010-12,1
539435,2010-12-17 14:46:00,12691.0,SC8649,Books,65,77.76,Madagascar,5054.400000000001,2010-12,2010-12,1
539454,2010-12-17 17:12:00,17377.0,SC4347,Books,50,22.66,Madagascar,1133.0,2010-12,2010-12,1
539469,2010-12-19 13:59:00,17841.0,SC5807,Books,86,49.73,Madagascar,4276.78,2010-12,2010-12,1
539477,2010-12-19 14:58:00,18245.0,SC9743,Books,83,58.05,Madagascar,4818.15,2010-12,2010-12,1
539663,2010-12-21 10:26:00,17961.0,SC7497,Books,78,10.38,Madagascar,809.6400000000001,2010-12,2010-12,1
539761,2010-12-22 10:29:00,17593.0,SC1456,Books,26,15.58,Madagascar,405.08,2010-12,2010-12,1
539840,2010-12-22 14:28:00,12383.0,SC6558,Books,69,15.75,Madagascar,1086.75,2010-12,2010-12,1
539867,2010-12-23 10:38:00,13922.0,SC2797,Books,6,86.53,Madagascar,519.1800000000001,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC6369,Books,45,48.93,Madagascar,2201.85,2010-12,2010-12,1
540014,2011-01-04 11:34:00,14606.0,SC6904,Books,85,39.88,Madagascar,3389.8,2011-01,2011-01,1
540098,2011-01-04 15:50:00,16241.0,SC2288,Books,54,98.92,Madagascar,5341.68,2011-01,2011-01,1
540267,2011-01-06 11:12:00,12415.0,SC8926,Books,64,3.25,Madagascar,208.0,2011-01,2011-01,1
540316,2011-01-06 13:00:00,16676.0,SC6856,Books,25,17.73,Madagascar,443.25,2011-01,2011-01,1
540358,2011-01-06 15:25:00,13599.0,SC3203,Books,52,71.13,Madagascar,3698.76,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC8258,Books,24,27.02,Madagascar,648.48,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6312,Books,99,60.82,Madagascar,6021.18,2011-01,2011-01,1
540464,2011-01-07 13:17:00,14298.0,SC3630,Books,89,97.35,Madagascar,8664.15,2011-01,2011-01,1
540489,2011-01-07 16:32:00,13593.0,SC4276,Books,57,24.5,Madagascar,1396.5,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC2856,Books,37,46.74,Madagascar,1729.38,2011-01,2011-01,1
540642,2011-01-10 13:22:00,12681.0,SC6220,Books,65,93.4,Madagascar,6071.0,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC3487,Books,4,83.51,Madagascar,334.04,2011-01,2011-01,1
540801,2011-01-11 12:25:00,12540.0,SC2408,Books,33,2.08,Madagascar,68.64,2011-01,2011-01,1
540849,2011-01-12 09:33:00,14270.0,SC2361,Books,46,76.7,Madagascar,3528.2000000000003,2011-01,2011-01,1
540940,2011-01-12 12:12:00,18109.0,SC6045,Books,6,5.28,Madagascar,31.68,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC7659,Books,23,13.67,Madagascar,314.41,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC1752,Books,30,57.76,Madagascar,1732.8,2011-01,2011-01,1
540991,2011-01-12 16:52:00,16525.0,SC8109,Books,35,88.24,Madagascar,3088.4,2011-01,2011-01,1
541015,2011-01-13 11:57:00,16315.0,SC9160,Books,23,27.36,Madagascar,629.28,2011-01,2011-01,1
541094,2011-01-13 13:36:00,13246.0,SC9358,Books,56,19.63,Madagascar,1099.28,2011-01,2011-01,1
541134,2011-01-14 10:20:00,15615.0,SC9774,Books,66,93.1,Madagascar,6144.599999999999,2011-01,2010-12,2
541213,2011-01-14 13:28:00,15033.0,SC8744,Books,32,93.03,Madagascar,2976.96,2011-01,2011-01,1
541213,2011-01-14 13:28:00,15033.0,SC5595,Books,55,66.12,Madagascar,3636.6,2011-01,2011-01,1
541214,2011-01-14 13:41:00,15570.0,SC5840,Books,67,54.92,Madagascar,3679.64,2011-01,2011-01,1
541220,2011-01-14 14:11:00,14156.0,SC4795,Books,3,11.89,Madagascar,35.67,2011-01,2011-01,1
541263,2011-01-16 16:10:00,16843.0,SC8557,Books,37,57.75,Madagascar,2136.75,2011-01,2011-01,1
541274,2011-01-17 11:24:00,15696.0,SC8606,Books,89,13.69,Madagascar,1218.41,2011-01,2011-01,1
541371,2011-01-17 14:51:00,13983.0,SC6008,Books,100,93.74,Madagascar,9374.0,2011-01,2011-01,1
541417,2011-01-17 16:23:00,16033.0,SC5818,Books,77,86.74,Madagascar,6678.98,2011-01,2011-01,1
541417,2011-01-17 16:23:00,16033.0,SC6190,Books,68,30.85,Madagascar,2097.8,2011-01,2011-01,1
541518,2011-01-19 09:05:00,12451.0,SC8528,Books,73,75.5,Madagascar,5511.5,2011-01,2011-01,1
541524,2011-01-19 10:49:00,17091.0,SC8199,Books,29,18.18,Madagascar,527.22,2011-01,2011-01,1
541564,2011-01-19 11:38:00,16904.0,SC3720,Books,28,97.37,Madagascar,2726.36,2011-01,2011-01,1
541615,2011-01-20 10:43:00,16395.0,SC3421,Books,82,22.58,Madagascar,1851.56,2011-01,2011-01,1
541816,2011-01-21 15:56:00,17799.0,SC2522,Books,51,89.43,Madagascar,4560.93,2011-01,2011-01,1
541816,2011-01-21 15:56:00,17799.0,SC9826,Books,48,93.97,Madagascar,4510.56,2011-01,2011-01,1
541872,2011-01-24 09:52:00,14796.0,SC3249,Books,92,9.88,Madagascar,908.96,2011-01,2011-01,1
541916,2011-01-24 11:34:00,17861.0,SC2409,Books,77,56.51,Madagascar,4351.27,2011-01,2011-01,1
541919,2011-01-24 11:35:00,14334.0,SC3560,Books,23,76.96,Madagascar,1770.08,2011-01,2011-01,1
541968,2011-01-24 13:37:00,13396.0,SC8875,Books,58,94.92,Madagascar,5505.36,2011-01,2011-01,1
542148,2011-01-26 10:10:00,14060.0,SC5830,Books,56,5.07,Madagascar,283.92,2011-01,2011-01,1
542214,2011-01-26 12:19:00,17118.0,SC4253,Books,38,84.82,Madagascar,3223.16,2011-01,2011-01,1
542217,2011-01-26 12:36:00,14606.0,SC2742,Books,49,63.03,Madagascar,3088.4700000000003,2011-01,2011-01,1
542226,2011-01-26 13:20:00,17075.0,SC8863,Books,55,63.89,Madagascar,3513.95,2011-01,2011-01,1
542303,2011-01-27 11:05:00,12539.0,SC5059,Books,11,35.15,Madagascar,386.65,2011-01,2011-01,1
542399,2011-01-27 15:38:00,15549.0,SC3136,Books,20,95.78,Madagascar,1915.6,2011-01,2011-01,1
542408,2011-01-27 16:29:00,13280.0,SC7297,Books,20,26.7,Madagascar,534.0,2011-01,2011-01,1
542420,2011-01-27 18:05:00,17180.0,SC8101,Books,34,19.42,Madagascar,660.2800000000001,2011-01,2011-01,1
542595,2011-01-30 10:19:00,14040.0,SC4047,Books,25,44.64,Madagascar,1116.0,2011-01,2011-01,1
542595,2011-01-30 10:19:00,14040.0,SC8321,Books,47,73.96,Madagascar,3476.12,2011-01,2011-01,1
542617,2011-01-30 15:48:00,17463.0,SC2276,Books,22,6.53,Madagascar,143.66,2011-01,2011-01,1
542778,2011-02-01 09:01:00,14496.0,SC5100,Books,17,99.23,Madagascar,1686.91,2011-02,2011-02,1
542797,2011-02-01 11:08:00,17884.0,SC6583,Books,28,43.01,Madagascar,1204.28,2011-02,2011-02,1
542797,2011-02-01 11:08:00,17884.0,SC3169,Books,66,30.62,Madagascar,2020.92,2011-02,2011-02,1
542890,2011-02-01 13:25:00,15311.0,SC9741,Books,89,25.06,Madagascar,2230.34,2011-02,2010-12,3
542890,2011-02-01 13:25:00,15311.0,SC5665,Books,82,52.26,Madagascar,4285.32,2011-02,2010-12,3
543040,2011-02-02 17:06:00,17337.0,SC5625,Books,18,71.73,Madagascar,1291.14,2011-02,2011-02,1
543040,2011-02-02 17:06:00,17337.0,SC8292,Books,42,11.54,Madagascar,484.68,2011-02,2011-02,1
543040,2011-02-02 17:06:00,17337.0,SC6013,Books,59,13.79,Madagascar,813.6099999999999,2011-02,2011-02,1
543044,2011-02-03 08:18:00,17071.0,SC5763,Books,39,91.56,Madagascar,3570.84,2011-02,2011-02,1
543096,2011-02-03 11:39:00,14044.0,SC7142,Books,78,71.1,Madagascar,5545.799999999999,2011-02,2011-02,1
543123,2011-02-03 14:08:00,18178.0,SC8436,Books,5,85.74,Madagascar,428.7,2011-02,2011-02,1
543166,2011-02-04 08:27:00,13488.0,SC2816,Books,33,85.48,Madagascar,2820.84,2011-02,2011-02,1
543170,2011-02-04 09:03:00,17334.0,SC1324,Books,83,18.88,Madagascar,1567.04,2011-02,2011-02,1
543192,2011-02-04 11:55:00,17381.0,SC9720,Books,66,37.28,Madagascar,2460.48,2011-02,2011-02,1
543279,2011-02-06 14:46:00,17105.0,SC6103,Books,10,22.67,Madagascar,226.7,2011-02,2011-02,1
543280,2011-02-06 14:56:00,14438.0,SC6405,Books,65,77.73,Madagascar,5052.45,2011-02,2011-02,1
