InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC2550,Cosmetics,55,90.64,Madagascar,4985.2,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8882,Cosmetics,67,20.61,Madagascar,1380.87,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2790,Cosmetics,54,41.31,Madagascar,2230.74,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7082,Cosmetics,97,75.35,Madagascar,7308.95,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC3636,Cosmetics,14,24.58,Madagascar,344.12,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC2352,Cosmetics,31,45.5,Madagascar,1410.5,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC3138,Cosmetics,73,96.93,Madagascar,7075.89,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC8286,Cosmetics,22,96.01,Madagascar,2112.2200000000003,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4787,Cosmetics,94,99.1,Madagascar,9315.4,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1781,Cosmetics,23,61.08,Madagascar,1404.84,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC6908,Cosmetics,12,81.2,Madagascar,974.4,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC1981,Cosmetics,2,51.16,Madagascar,102.32,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8751,Cosmetics,5,79.11,Madagascar,395.55,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC7486,Cosmetics,28,72.59,Madagascar,2032.52,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC5126,Cosmetics,29,87.55,Madagascar,2538.95,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC7136,Cosmetics,6,11.89,Madagascar,71.34,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC5074,Cosmetics,12,85.79,Madagascar,1029.48,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7821,Cosmetics,93,6.67,Madagascar,620.31,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC4976,Cosmetics,100,48.31,Madagascar,4831.0,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC5838,Cosmetics,74,50.4,Madagascar,3729.6,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3275,Cosmetics,91,18.75,Madagascar,1706.25,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3187,Cosmetics,89,23.76,Madagascar,2114.6400000000003,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC3711,Cosmetics,63,12.43,Madagascar,783.09,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC1665,Cosmetics,77,91.88,Madagascar,7074.759999999999,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC9699,Cosmetics,59,56.44,Madagascar,3329.96,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC6288,Cosmetics,4,34.37,Madagascar,137.48,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC8776,Cosmetics,74,23.45,Madagascar,1735.3,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5362,Cosmetics,89,13.25,Madagascar,1179.25,2010-12,2010-12,1
537469,2010-12-07 10:43:00,17720.0,SC8438,Cosmetics,10,38.21,Madagascar,382.1,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC8490,Cosmetics,36,71.25,Madagascar,2565.0,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC7631,Cosmetics,17,65.98,Madagascar,1121.66,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC2064,Cosmetics,9,51.15,Madagascar,460.35,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC6428,Cosmetics,66,63.09,Madagascar,4163.9400000000005,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2914,Cosmetics,67,5.22,Madagascar,349.74,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC4277,Cosmetics,1,38.72,Madagascar,38.72,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8241,Cosmetics,61,27.32,Madagascar,1666.52,2010-12,2010-12,1
537801,2010-12-08 13:08:00,15221.0,SC4533,Cosmetics,10,96.54,Madagascar,965.4,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC4785,Cosmetics,25,71.03,Madagascar,1775.75,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC8148,Cosmetics,43,27.17,Madagascar,1168.3100000000002,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC3024,Cosmetics,60,43.13,Madagascar,2587.8,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC7195,Cosmetics,35,73.25,Madagascar,2563.75,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC9546,Cosmetics,38,59.93,Madagascar,2277.34,2010-12,2010-12,1
537967,2010-12-09 11:31:00,12494.0,SC8951,Cosmetics,85,49.17,Madagascar,4179.45,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC6535,Cosmetics,95,76.01,Madagascar,7220.950000000001,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC3249,Cosmetics,86,55.3,Madagascar,4755.8,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC2333,Cosmetics,66,66.46,Madagascar,4386.36,2010-12,2010-12,1
538200,2010-12-10 11:11:00,17912.0,SC1280,Cosmetics,4,78.36,Madagascar,313.44,2010-12,2010-12,1
538240,2010-12-10 12:00:00,16062.0,SC6464,Cosmetics,10,12.52,Madagascar,125.2,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC6723,Cosmetics,96,78.96,Madagascar,7580.16,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC2052,Cosmetics,47,47.95,Madagascar,2253.65,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC5450,Cosmetics,65,88.9,Madagascar,5778.5,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC2508,Cosmetics,81,23.18,Madagascar,1877.58,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC4877,Cosmetics,40,4.34,Madagascar,173.6,2010-12,2010-12,1
538512,2010-12-12 14:03:00,16665.0,SC8474,Cosmetics,35,12.32,Madagascar,431.2,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC5142,Cosmetics,49,31.41,Madagascar,1539.09,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC6212,Cosmetics,52,90.72,Madagascar,4717.44,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC5422,Cosmetics,36,28.22,Madagascar,1015.92,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC4970,Cosmetics,77,75.09,Madagascar,5781.93,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC5915,Cosmetics,67,53.09,Madagascar,3557.03,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC4344,Cosmetics,86,93.81,Madagascar,8067.66,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC3514,Cosmetics,33,42.13,Madagascar,1390.2900000000002,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC3688,Cosmetics,18,70.19,Madagascar,1263.42,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC7611,Cosmetics,33,82.7,Madagascar,2729.1,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC5563,Cosmetics,52,67.8,Madagascar,3525.6,2010-12,2010-12,1
538845,2010-12-14 13:19:00,16531.0,SC2334,Cosmetics,35,44.04,Madagascar,1541.4,2010-12,2010-12,1
538886,2010-12-14 16:07:00,13846.0,SC8830,Cosmetics,39,3.14,Madagascar,122.46,2010-12,2010-12,1
538888,2010-12-14 16:23:00,17912.0,SC5567,Cosmetics,78,91.68,Madagascar,7151.040000000001,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC8419,Cosmetics,43,78.66,Madagascar,3382.38,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC4275,Cosmetics,44,73.29,Madagascar,3224.76,2010-12,2010-12,1
539103,2010-12-16 10:38:00,16985.0,SC2876,Cosmetics,84,97.67,Madagascar,8204.28,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC5929,Cosmetics,32,32.09,Madagascar,1026.88,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC1902,Cosmetics,69,11.5,Madagascar,793.5,2010-12,2010-12,1
539308,2010-12-16 17:48:00,17412.0,SC1993,Cosmetics,81,31.34,Madagascar,2538.54,2010-12,2010-12,1
539316,2010-12-16 18:38:00,17848.0,SC9282,Cosmetics,6,68.46,Madagascar,410.76,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC2103,Cosmetics,17,87.5,Madagascar,1487.5,2010-12,2010-12,1
539450,2010-12-17 16:53:00,15570.0,SC2710,Cosmetics,52,37.56,Madagascar,1953.12,2010-12,2010-12,1
539466,2010-12-19 12:46:00,12668.0,SC1108,Cosmetics,41,42.78,Madagascar,1753.98,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC5568,Cosmetics,49,77.23,Madagascar,3784.27,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC4615,Cosmetics,13,33.02,Madagascar,429.2600000000001,2010-12,2010-12,1
539588,2010-12-20 13:11:00,14527.0,SC4513,Cosmetics,94,67.77,Madagascar,6370.379999999999,2010-12,2010-12,1
539867,2010-12-23 10:38:00,13922.0,SC9892,Cosmetics,47,51.55,Madagascar,2422.85,2010-12,2010-12,1
539985,2010-12-23 15:16:00,15856.0,SC1992,Cosmetics,62,60.6,Madagascar,3757.2,2010-12,2010-12,1
540157,2011-01-05 11:41:00,15311.0,SC3755,Cosmetics,53,66.37,Madagascar,3517.61,2011-01,2010-12,2
540248,2011-01-05 15:57:00,15034.0,SC6286,Cosmetics,61,42.31,Madagascar,2580.9100000000003,2011-01,2011-01,1
540248,2011-01-05 15:57:00,15034.0,SC2769,Cosmetics,11,22.71,Madagascar,249.81,2011-01,2011-01,1
540277,2011-01-06 12:18:00,14258.0,SC4953,Cosmetics,2,8.12,Madagascar,16.24,2011-01,2011-01,1
540364,2011-01-06 16:03:00,14505.0,SC6423,Cosmetics,73,49.01,Madagascar,3577.73,2011-01,2010-12,2
540372,2011-01-06 16:41:00,13081.0,SC5220,Cosmetics,94,32.4,Madagascar,3045.6,2011-01,2011-01,1
540454,2011-01-07 11:57:00,16191.0,SC1149,Cosmetics,15,68.12,Madagascar,1021.8,2011-01,2011-01,1
540511,2011-01-09 11:34:00,14472.0,SC8839,Cosmetics,85,21.55,Madagascar,1831.75,2011-01,2011-01,1
540515,2011-01-09 11:54:00,15059.0,SC7154,Cosmetics,8,60.14,Madagascar,481.12,2011-01,2011-01,1
540524,2011-01-09 12:53:00,16735.0,SC3056,Cosmetics,79,21.14,Madagascar,1670.06,2011-01,2011-01,1
540541,2011-01-09 15:13:00,15799.0,SC9669,Cosmetics,94,11.17,Madagascar,1049.98,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC7132,Cosmetics,5,24.97,Madagascar,124.85,2011-01,2011-01,1
540639,2011-01-10 12:28:00,13107.0,SC2484,Cosmetics,7,30.72,Madagascar,215.04,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC5259,Cosmetics,39,93.36,Madagascar,3641.04,2011-01,2011-01,1
540700,2011-01-11 09:47:00,12393.0,SC5540,Cosmetics,58,36.57,Madagascar,2121.06,2011-01,2011-01,1
540838,2011-01-11 15:13:00,13862.0,SC3828,Cosmetics,15,98.9,Madagascar,1483.5,2011-01,2011-01,1
540947,2011-01-12 12:43:00,15939.0,SC8282,Cosmetics,26,3.61,Madagascar,93.86,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC8705,Cosmetics,20,77.48,Madagascar,1549.6,2011-01,2011-01,1
540968,2011-01-12 13:40:00,17338.0,SC6789,Cosmetics,28,24.48,Madagascar,685.44,2011-01,2010-12,2
541103,2011-01-13 14:24:00,14215.0,SC6344,Cosmetics,52,40.68,Madagascar,2115.36,2011-01,2011-01,1
