InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC9722,Electronics,56,87.89,Madagascar,4921.84,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC2695,Electronics,53,26.25,Madagascar,1391.25,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7598,Electronics,83,29.44,Madagascar,2443.52,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC7794,Electronics,50,33.05,Madagascar,1652.4999999999998,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC2825,Electronics,74,55.4,Madagascar,4099.599999999999,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7006,Electronics,19,3.13,Madagascar,59.47,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC4181,Electronics,44,29.75,Madagascar,1309.0,2010-12,2010-12,1
536672,2010-12-02 12:10:00,14491.0,SC5770,Electronics,82,17.46,Madagascar,1431.72,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC6824,Electronics,11,78.59,Madagascar,864.49,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC9772,Electronics,72,19.61,Madagascar,1411.92,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2415,Electronics,46,93.7,Madagascar,4310.2,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9246,Electronics,2,9.38,Madagascar,18.76,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5744,Electronics,16,30.96,Madagascar,495.36,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC7939,Electronics,81,22.79,Madagascar,1845.99,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC2487,Electronics,38,94.81,Madagascar,3602.78,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC2038,Electronics,13,7.52,Madagascar,97.76,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC5361,Electronics,76,45.33,Madagascar,3445.08,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC9690,Electronics,5,83.04,Madagascar,415.2000000000001,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC9437,Electronics,21,67.47,Madagascar,1416.87,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC9288,Electronics,52,96.45,Madagascar,5015.400000000001,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9067,Electronics,99,19.69,Madagascar,1949.31,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC4379,Electronics,47,58.06,Madagascar,2728.82,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC1042,Electronics,96,54.42,Madagascar,5224.32,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC6844,Electronics,84,4.69,Madagascar,393.96,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5998,Electronics,87,40.46,Madagascar,3520.02,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC4875,Electronics,40,27.62,Madagascar,1104.8,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC2660,Electronics,33,13.77,Madagascar,454.41,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC4885,Electronics,14,10.37,Madagascar,145.17999999999998,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9910,Electronics,99,19.87,Madagascar,1967.13,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC5837,Electronics,4,68.15,Madagascar,272.6,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC4609,Electronics,70,91.63,Madagascar,6414.099999999999,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC2931,Electronics,92,81.5,Madagascar,7498.0,2010-12,2010-12,1
537246,2010-12-06 10:27:00,12808.0,SC7569,Electronics,16,88.55,Madagascar,1416.8,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC2819,Electronics,36,86.75,Madagascar,3123.0,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC7327,Electronics,50,39.96,Madagascar,1998.0,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC9861,Electronics,46,76.75,Madagascar,3530.5,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC6755,Electronics,24,34.45,Madagascar,826.8000000000001,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5994,Electronics,49,45.91,Madagascar,2249.59,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC1615,Electronics,29,73.44,Madagascar,2129.76,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC6796,Electronics,97,47.91,Madagascar,4647.27,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC3215,Electronics,73,7.75,Madagascar,565.75,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC6432,Electronics,10,69.02,Madagascar,690.1999999999999,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6039,Electronics,28,28.4,Madagascar,795.1999999999999,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC3984,Electronics,9,14.11,Madagascar,126.99,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC5639,Electronics,42,64.38,Madagascar,2703.96,2010-12,2010-12,1
537681,2010-12-08 10:11:00,13329.0,SC8278,Electronics,53,99.94,Madagascar,5296.82,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC6621,Electronics,97,29.86,Madagascar,2896.42,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC8686,Electronics,93,50.34,Madagascar,4681.62,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC4006,Electronics,50,43.51,Madagascar,2175.5,2010-12,2010-12,1
537801,2010-12-08 13:08:00,15221.0,SC2023,Electronics,90,80.15,Madagascar,7213.500000000001,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC6670,Electronics,16,43.63,Madagascar,698.08,2010-12,2010-12,1
537854,2010-12-08 15:58:00,13984.0,SC3472,Electronics,12,2.33,Madagascar,27.96,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC2819,Electronics,81,68.16,Madagascar,5520.96,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC9632,Electronics,56,20.04,Madagascar,1122.24,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC4028,Electronics,45,2.85,Madagascar,128.25,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC1227,Electronics,27,98.1,Madagascar,2648.7,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC2178,Electronics,21,55.19,Madagascar,1158.99,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC3324,Electronics,39,40.3,Madagascar,1571.6999999999998,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC7444,Electronics,85,95.22,Madagascar,8093.7,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC9092,Electronics,27,37.91,Madagascar,1023.57,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC6733,Electronics,80,42.86,Madagascar,3428.8,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC1778,Electronics,28,73.97,Madagascar,2071.16,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC2971,Electronics,27,65.25,Madagascar,1761.75,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC1030,Electronics,35,89.54,Madagascar,3133.9,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC2608,Electronics,52,37.61,Madagascar,1955.72,2010-12,2010-12,1
538593,2010-12-13 11:51:00,16701.0,SC8603,Electronics,73,91.05,Madagascar,6646.65,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC1252,Electronics,19,61.93,Madagascar,1176.67,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC8322,Electronics,78,26.16,Madagascar,2040.48,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC9364,Electronics,33,1.23,Madagascar,40.59,2010-12,2010-12,1
