InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC2940,Jewelry,19,65.14,Madagascar,1237.66,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9677,Jewelry,82,81.56,Madagascar,6687.92,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC2213,Jewelry,46,76.36,Madagascar,3512.56,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1050,Jewelry,28,96.98,Madagascar,2715.44,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5152,Jewelry,24,82.9,Madagascar,1989.6,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7237,Jewelry,15,38.82,Madagascar,582.3,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC1053,Jewelry,22,12.45,Madagascar,273.9,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2952,Jewelry,86,34.41,Madagascar,2959.26,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8520,Jewelry,69,21.93,Madagascar,1513.17,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC3336,Jewelry,22,39.2,Madagascar,862.4000000000001,2010-12,2010-12,1
536811,2010-12-02 16:51:00,15299.0,SC4849,Jewelry,97,93.41,Madagascar,9060.77,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9754,Jewelry,4,23.72,Madagascar,94.88,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC6603,Jewelry,26,70.55,Madagascar,1834.3,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC2242,Jewelry,15,70.17,Madagascar,1052.55,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC4702,Jewelry,62,39.79,Madagascar,2466.98,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC6663,Jewelry,25,20.16,Madagascar,504.0,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC4925,Jewelry,20,24.13,Madagascar,482.6,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5670,Jewelry,78,85.72,Madagascar,6686.16,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC3135,Jewelry,66,72.94,Madagascar,4814.04,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC9703,Jewelry,56,56.03,Madagascar,3137.6800000000003,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC4184,Jewelry,67,28.85,Madagascar,1932.95,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC6599,Jewelry,5,75.48,Madagascar,377.4,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC6089,Jewelry,84,26.03,Madagascar,2186.52,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1148,Jewelry,17,87.32,Madagascar,1484.4399999999998,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC4095,Jewelry,87,41.52,Madagascar,3612.24,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC3224,Jewelry,89,45.86,Madagascar,4081.54,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC3804,Jewelry,41,97.06,Madagascar,3979.46,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9910,Jewelry,19,98.74,Madagascar,1876.06,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC7596,Jewelry,46,31.01,Madagascar,1426.46,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC1910,Jewelry,5,82.89,Madagascar,414.45,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC6120,Jewelry,9,42.6,Madagascar,383.4,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC6203,Jewelry,96,90.04,Madagascar,8643.84,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC7813,Jewelry,90,44.93,Madagascar,4043.7,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC3205,Jewelry,53,76.83,Madagascar,4071.99,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC2937,Jewelry,57,74.14,Madagascar,4225.9800000000005,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC6314,Jewelry,33,43.9,Madagascar,1448.7,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC4449,Jewelry,12,76.42,Madagascar,917.04,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC5216,Jewelry,14,73.15,Madagascar,1024.1,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1166,Jewelry,98,9.84,Madagascar,964.32,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC2602,Jewelry,88,99.38,Madagascar,8745.439999999999,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC3757,Jewelry,92,82.65,Madagascar,7603.8,2010-12,2010-12,1
537915,2010-12-09 10:55:00,12797.0,SC8657,Jewelry,39,17.07,Madagascar,665.73,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC4097,Jewelry,10,45.54,Madagascar,455.4,2010-12,2010-12,1
