InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC2654,Kitchenware,79,8.88,Madagascar,701.5200000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5253,Kitchenware,54,53.02,Madagascar,2863.0800000000004,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5870,Kitchenware,97,40.19,Madagascar,3898.43,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC8799,Kitchenware,56,5.49,Madagascar,307.44,2010-12,2010-12,1
536591,2010-12-01 16:58:00,14606.0,SC5727,Kitchenware,26,68.04,Madagascar,1769.0400000000002,2010-12,2010-12,1
536614,2010-12-02 09:44:00,17850.0,SC2389,Kitchenware,8,53.64,Madagascar,429.12,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC4624,Kitchenware,50,70.44,Madagascar,3522.0,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC5299,Kitchenware,3,27.07,Madagascar,81.21000000000001,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC8370,Kitchenware,29,33.04,Madagascar,958.16,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9418,Kitchenware,61,97.99,Madagascar,5977.389999999999,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC3500,Kitchenware,72,55.56,Madagascar,4000.32,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC7910,Kitchenware,70,82.16,Madagascar,5751.2,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC7609,Kitchenware,17,45.07,Madagascar,766.19,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8978,Kitchenware,10,76.24,Madagascar,762.4,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7750,Kitchenware,73,19.12,Madagascar,1395.76,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC2845,Kitchenware,71,37.96,Madagascar,2695.16,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC2124,Kitchenware,96,86.65,Madagascar,8318.400000000001,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC6257,Kitchenware,47,83.16,Madagascar,3908.52,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8266,Kitchenware,33,45.58,Madagascar,1504.14,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3431,Kitchenware,99,75.09,Madagascar,7433.910000000001,2010-12,2010-12,1
537221,2010-12-05 15:54:00,17965.0,SC1675,Kitchenware,77,83.82,Madagascar,6454.139999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6941,Kitchenware,6,71.6,Madagascar,429.6,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC8078,Kitchenware,3,96.78,Madagascar,290.34000000000003,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC4968,Kitchenware,94,27.39,Madagascar,2574.66,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC3645,Kitchenware,70,87.99,Madagascar,6159.299999999999,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC9981,Kitchenware,73,13.45,Madagascar,981.85,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC3078,Kitchenware,98,86.25,Madagascar,8452.5,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC1554,Kitchenware,84,46.18,Madagascar,3879.12,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC9166,Kitchenware,94,34.24,Madagascar,3218.5600000000004,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC8490,Kitchenware,73,10.73,Madagascar,783.2900000000001,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC4058,Kitchenware,16,69.92,Madagascar,1118.72,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC6918,Kitchenware,83,39.81,Madagascar,3304.23,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC7373,Kitchenware,51,74.56,Madagascar,3802.56,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC5794,Kitchenware,56,49.83,Madagascar,2790.48,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC4457,Kitchenware,50,85.7,Madagascar,4285.0,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC8981,Kitchenware,4,50.11,Madagascar,200.44,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC5937,Kitchenware,43,8.88,Madagascar,381.84,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2137,Kitchenware,77,20.48,Madagascar,1576.96,2010-12,2010-12,1
537780,2010-12-08 12:45:00,17324.0,SC4489,Kitchenware,15,53.02,Madagascar,795.3000000000001,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8404,Kitchenware,3,18.62,Madagascar,55.86,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC2518,Kitchenware,9,91.41,Madagascar,822.6899999999999,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC4779,Kitchenware,23,96.91,Madagascar,2228.93,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC1891,Kitchenware,10,90.01,Madagascar,900.1,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC5847,Kitchenware,46,4.37,Madagascar,201.02,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC7399,Kitchenware,25,25.1,Madagascar,627.5,2010-12,2010-12,1
538097,2010-12-09 14:56:00,15192.0,SC6839,Kitchenware,64,64.76,Madagascar,4144.64,2010-12,2010-12,1
