InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC2149,Shoes,96,88.47,Madagascar,8493.119999999999,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5076,Shoes,63,59.15,Madagascar,3726.45,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4615,Shoes,22,60.98,Madagascar,1341.56,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1294,Shoes,14,96.76,Madagascar,1354.64,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC6087,Shoes,52,28.5,Madagascar,1482.0,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC7660,Shoes,27,5.92,Madagascar,159.84,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC2962,Shoes,58,7.23,Madagascar,419.34,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC4126,Shoes,32,91.1,Madagascar,2915.2,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC5375,Shoes,53,63.49,Madagascar,3364.9700000000003,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC4734,Shoes,61,15.36,Madagascar,936.96,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2282,Shoes,99,67.59,Madagascar,6691.410000000001,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1924,Shoes,27,97.75,Madagascar,2639.25,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC2568,Shoes,69,24.73,Madagascar,1706.37,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC9115,Shoes,58,45.38,Madagascar,2632.04,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC7169,Shoes,46,79.16,Madagascar,3641.36,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC9075,Shoes,40,52.97,Madagascar,2118.8,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5870,Shoes,86,77.41,Madagascar,6657.259999999999,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC2546,Shoes,27,74.98,Madagascar,2024.46,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC4860,Shoes,11,70.49,Madagascar,775.39,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC5889,Shoes,33,53.12,Madagascar,1752.9599999999998,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1450,Shoes,48,74.07,Madagascar,3555.36,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC9101,Shoes,70,75.88,Madagascar,5311.599999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4289,Shoes,67,15.68,Madagascar,1050.56,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC4850,Shoes,70,70.64,Madagascar,4944.8,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC9241,Shoes,30,9.97,Madagascar,299.1,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC1953,Shoes,20,22.43,Madagascar,448.6,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC9416,Shoes,61,36.67,Madagascar,2236.87,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC9415,Shoes,100,26.71,Madagascar,2671.0,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC8589,Shoes,26,39.84,Madagascar,1035.84,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC4780,Shoes,49,12.28,Madagascar,601.7199999999999,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4759,Shoes,63,21.8,Madagascar,1373.4,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8686,Shoes,26,41.14,Madagascar,1069.64,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC5880,Shoes,23,22.08,Madagascar,507.84,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3414,Shoes,90,6.67,Madagascar,600.3,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC7383,Shoes,51,67.47,Madagascar,3440.97,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC2153,Shoes,31,97.48,Madagascar,3021.88,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC3707,Shoes,92,75.12,Madagascar,6911.040000000001,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC4160,Shoes,24,79.75,Madagascar,1914.0,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC6336,Shoes,85,59.53,Madagascar,5060.05,2010-12,2010-12,1
537882,2010-12-09 09:25:00,15079.0,SC9713,Shoes,13,62.7,Madagascar,815.1,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC2233,Shoes,53,84.39,Madagascar,4472.67,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC3236,Shoes,39,25.44,Madagascar,992.16,2010-12,2010-12,1
538094,2010-12-09 14:50:00,13117.0,SC4002,Shoes,21,99.24,Madagascar,2084.04,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3887,Shoes,71,42.44,Madagascar,3013.24,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC3163,Shoes,97,40.86,Madagascar,3963.42,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC2338,Shoes,10,77.92,Madagascar,779.2,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC5382,Shoes,73,75.22,Madagascar,5491.06,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC9765,Shoes,74,39.65,Madagascar,2934.1,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC5617,Shoes,86,19.33,Madagascar,1662.38,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC5804,Shoes,40,34.45,Madagascar,1378.0,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC1026,Shoes,55,11.95,Madagascar,657.25,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC5516,Shoes,98,64.86,Madagascar,6356.28,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC3352,Shoes,56,7.16,Madagascar,400.96,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC9682,Shoes,55,17.22,Madagascar,947.1,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC7523,Shoes,35,57.43,Madagascar,2010.05,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC7255,Shoes,25,50.43,Madagascar,1260.75,2010-12,2010-12,1
538653,2010-12-13 15:12:00,13089.0,SC3208,Shoes,32,44.57,Madagascar,1426.24,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC2683,Shoes,30,78.0,Madagascar,2340.0,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC7800,Shoes,21,50.56,Madagascar,1061.76,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC1811,Shoes,32,62.46,Madagascar,1998.72,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC3362,Shoes,63,9.23,Madagascar,581.49,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC3352,Shoes,16,94.46,Madagascar,1511.36,2010-12,2010-12,1
538878,2010-12-14 15:43:00,13767.0,SC8057,Shoes,80,52.1,Madagascar,4168.0,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC2076,Shoes,46,87.83,Madagascar,4040.18,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC6435,Shoes,99,47.81,Madagascar,4733.1900000000005,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC5065,Shoes,7,33.28,Madagascar,232.96,2010-12,2010-12,1
539255,2010-12-16 14:26:00,16316.0,SC9501,Shoes,74,62.62,Madagascar,4633.88,2010-12,2010-12,1
539262,2010-12-16 14:35:00,15789.0,SC1755,Shoes,34,14.7,Madagascar,499.8,2010-12,2010-12,1
539275,2010-12-16 15:34:00,13408.0,SC5931,Shoes,27,39.96,Madagascar,1078.92,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC4708,Shoes,16,38.19,Madagascar,611.04,2010-12,2010-12,1
539297,2010-12-16 17:20:00,17691.0,SC7569,Shoes,74,44.08,Madagascar,3261.92,2010-12,2010-12,1
539398,2010-12-17 11:53:00,12471.0,SC5510,Shoes,53,11.37,Madagascar,602.61,2010-12,2010-12,1
539423,2010-12-17 14:24:00,15811.0,SC2931,Shoes,24,99.12,Madagascar,2378.88,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC4053,Shoes,88,17.74,Madagascar,1561.12,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC7164,Shoes,47,70.93,Madagascar,3333.7100000000005,2010-12,2010-12,1
539490,2010-12-20 10:00:00,17069.0,SC1752,Shoes,93,94.07,Madagascar,8748.51,2010-12,2010-12,1
539588,2010-12-20 13:11:00,14527.0,SC1996,Shoes,90,78.9,Madagascar,7101.000000000001,2010-12,2010-12,1
