InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC3520,Toys,21,94.45,Madagascar,1983.45,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC9390,Toys,37,7.95,Madagascar,294.15000000000003,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5312,Toys,7,13.69,Madagascar,95.83,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC5598,Toys,70,37.69,Madagascar,2638.3,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2960,Toys,23,48.7,Madagascar,1120.1,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC8400,Toys,69,78.29,Madagascar,5402.01,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC1659,Toys,3,79.96,Madagascar,239.88,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9972,Toys,39,15.34,Madagascar,598.26,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC4779,Toys,25,84.56,Madagascar,2114.0,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC8847,Toys,52,39.86,Madagascar,2072.72,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC3470,Toys,95,65.28,Madagascar,6201.6,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8344,Toys,8,74.29,Madagascar,594.32,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC5653,Toys,7,74.71,Madagascar,522.9699999999999,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC7922,Toys,59,2.16,Madagascar,127.44,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC9126,Toys,47,39.35,Madagascar,1849.45,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4000,Toys,19,25.48,Madagascar,484.12,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC4809,Toys,20,14.78,Madagascar,295.6,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC7699,Toys,73,81.82,Madagascar,5972.86,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC9981,Toys,95,87.24,Madagascar,8287.8,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5717,Toys,55,3.42,Madagascar,188.1,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2229,Toys,78,50.13,Madagascar,3910.14,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8249,Toys,90,46.96,Madagascar,4226.4,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1924,Toys,18,32.85,Madagascar,591.3000000000001,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC6755,Toys,7,18.34,Madagascar,128.38,2010-12,2010-12,1
