InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC3463,Books,78,61.49,Mali,4796.22,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4101,Books,57,56.67,Mali,3230.19,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC3031,Books,96,97.97,Mali,9405.12,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC2414,Books,17,68.25,Mali,1160.25,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1950,Books,86,16.08,Mali,1382.88,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3759,Books,7,99.68,Mali,697.76,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC5764,Books,66,56.76,Mali,3746.16,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1569,Books,79,88.28,Mali,6974.12,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4129,Books,17,26.36,Mali,448.12,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4916,Books,37,71.05,Mali,2628.85,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2097,Books,84,26.29,Mali,2208.36,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1196,Books,79,69.47,Mali,5488.13,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9873,Books,64,27.43,Mali,1755.52,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC3499,Books,57,70.3,Mali,4007.1,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9626,Books,28,13.46,Mali,376.88,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC5320,Books,7,60.8,Mali,425.6,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6159,Books,83,58.0,Mali,4814.0,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC4395,Books,32,14.33,Mali,458.56,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC4073,Books,78,11.43,Mali,891.54,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9704,Books,1,2.59,Mali,2.59,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC2045,Books,2,88.72,Mali,177.44,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC3253,Books,62,65.7,Mali,4073.4,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9120,Books,18,64.79,Mali,1166.22,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6433,Books,76,37.57,Mali,2855.32,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC5484,Books,98,42.26,Mali,4141.48,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC9345,Books,13,28.68,Mali,372.84,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC2305,Books,10,47.39,Mali,473.9,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2504,Books,50,10.99,Mali,549.5,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC3467,Books,82,76.73,Mali,6291.860000000001,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC1797,Books,32,28.83,Mali,922.56,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC5884,Books,6,15.88,Mali,95.28,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8577,Books,85,52.79,Mali,4487.15,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8458,Books,67,9.36,Mali,627.12,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC1340,Books,90,75.26,Mali,6773.400000000001,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC6680,Books,73,64.9,Mali,4737.700000000001,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3619,Books,24,91.16,Mali,2187.84,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC9556,Books,20,20.5,Mali,410.0,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9108,Books,14,14.64,Mali,204.96,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC3587,Books,84,20.88,Mali,1753.9199999999998,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC1074,Books,59,4.64,Mali,273.76,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6958,Books,7,27.02,Mali,189.14,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2291,Books,82,84.52,Mali,6930.639999999999,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC3638,Books,12,75.65,Mali,907.8,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC8147,Books,36,49.43,Mali,1779.48,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC9223,Books,52,65.91,Mali,3427.32,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8300,Books,94,3.24,Mali,304.56,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6721,Books,1,65.08,Mali,65.08,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC5995,Books,67,10.6,Mali,710.1999999999999,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC1906,Books,79,45.36,Mali,3583.44,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC7139,Books,47,4.36,Mali,204.92,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC6746,Books,58,99.81,Mali,5788.9800000000005,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC5249,Books,23,38.23,Mali,879.29,2010-12,2010-12,1
537831,2010-12-08 14:50:00,17894.0,SC7965,Books,90,7.53,Mali,677.7,2010-12,2010-12,1
537845,2010-12-08 15:23:00,17690.0,SC4085,Books,76,96.63,Mali,7343.879999999999,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC2664,Books,98,8.28,Mali,811.4399999999999,2010-12,2010-12,1
