InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC5357,Cloths,30,50.05,Mali,1501.5,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC9229,Cloths,60,79.92,Mali,4795.2,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC6124,Cloths,3,22.05,Mali,66.15,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6100,Cloths,7,94.38,Mali,660.66,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4248,Cloths,40,62.69,Mali,2507.6,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6384,Cloths,85,53.06,Mali,4510.1,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8358,Cloths,92,95.55,Mali,8790.6,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1357,Cloths,15,24.47,Mali,367.05,2010-12,2010-12,1
536568,2010-12-01 15:28:00,16048.0,SC8070,Cloths,86,32.76,Mali,2817.36,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4850,Cloths,6,64.93,Mali,389.58,2010-12,2010-12,1
536603,2010-12-02 08:40:00,17850.0,SC2619,Cloths,90,25.01,Mali,2250.9,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC4460,Cloths,93,42.67,Mali,3968.31,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2000,Cloths,69,52.43,Mali,3617.67,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC3073,Cloths,39,10.18,Mali,397.02,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC7331,Cloths,39,15.93,Mali,621.27,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC3274,Cloths,30,38.89,Mali,1166.7,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC1816,Cloths,56,9.72,Mali,544.32,2010-12,2010-12,1
536806,2010-12-02 16:42:00,12971.0,SC2367,Cloths,30,19.4,Mali,582.0,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC6371,Cloths,72,68.68,Mali,4944.960000000001,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2291,Cloths,90,13.52,Mali,1216.8,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC8721,Cloths,22,17.61,Mali,387.42,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC2176,Cloths,54,95.38,Mali,5150.52,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2384,Cloths,87,40.56,Mali,3528.7200000000003,2010-12,2010-12,1
