InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536406,2010-12-01 11:33:00,17850.0,SC7790,Cosmetics,83,78.82,Mali,6542.06,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC7273,Cosmetics,63,13.99,Mali,881.37,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4604,Cosmetics,61,61.05,Mali,3724.05,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9987,Cosmetics,12,23.76,Mali,285.12,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC7278,Cosmetics,82,1.22,Mali,100.04,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC4242,Cosmetics,95,48.09,Mali,4568.55,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC3591,Cosmetics,58,23.56,Mali,1366.48,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC9712,Cosmetics,3,43.71,Mali,131.13,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC6524,Cosmetics,93,60.64,Mali,5639.52,2010-12,2010-12,1
536858,2010-12-03 10:36:00,13520.0,SC9570,Cosmetics,12,28.59,Mali,343.08,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC3974,Cosmetics,26,16.15,Mali,419.9,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1835,Cosmetics,40,83.88,Mali,3355.2,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC5828,Cosmetics,43,63.09,Mali,2712.8700000000003,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC9449,Cosmetics,14,81.93,Mali,1147.02,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC7778,Cosmetics,50,92.65,Mali,4632.5,2010-12,2010-12,1
537198,2010-12-05 14:03:00,12647.0,SC5514,Cosmetics,77,92.33,Mali,7109.41,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC9620,Cosmetics,61,54.85,Mali,3345.85,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC8098,Cosmetics,43,78.56,Mali,3378.08,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3085,Cosmetics,26,39.05,Mali,1015.3,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC7659,Cosmetics,42,15.86,Mali,666.12,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC7843,Cosmetics,6,22.34,Mali,134.04,2010-12,2010-12,1
