InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC1731,Electronics,44,48.81,Mali,2147.6400000000003,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC8054,Electronics,49,39.54,Mali,1937.46,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3207,Electronics,38,58.49,Mali,2222.62,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1946,Electronics,3,56.75,Mali,170.25,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC5830,Electronics,28,79.55,Mali,2227.4,2010-12,2010-12,1
536601,2010-12-02 08:33:00,17850.0,SC3773,Electronics,42,36.31,Mali,1525.02,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC6229,Electronics,35,45.73,Mali,1600.55,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9021,Electronics,31,16.83,Mali,521.7299999999999,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9048,Electronics,17,15.92,Mali,270.64,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC5650,Electronics,15,35.07,Mali,526.05,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC1022,Electronics,27,36.38,Mali,982.26,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC4512,Electronics,61,38.68,Mali,2359.48,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC9608,Electronics,92,38.21,Mali,3515.32,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC4444,Electronics,66,96.6,Mali,6375.599999999999,2010-12,2010-12,1
536994,2010-12-03 15:25:00,14898.0,SC6537,Electronics,57,46.59,Mali,2655.63,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC3204,Electronics,22,59.51,Mali,1309.22,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC4601,Electronics,15,92.0,Mali,1380.0,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC6304,Electronics,5,67.11,Mali,335.55,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1428,Electronics,3,70.33,Mali,210.99,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1464,Electronics,39,92.84,Mali,3620.76,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9100,Electronics,68,59.13,Mali,4020.84,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC7126,Electronics,88,24.15,Mali,2125.2,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC3858,Electronics,50,11.51,Mali,575.5,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC4132,Electronics,31,17.55,Mali,544.0500000000001,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC2999,Electronics,33,45.28,Mali,1494.24,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1619,Electronics,76,52.78,Mali,4011.28,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC8373,Electronics,86,51.8,Mali,4454.8,2010-12,2010-12,1
537223,2010-12-05 16:10:00,13579.0,SC4320,Electronics,3,82.47,Mali,247.41,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8771,Electronics,96,64.15,Mali,6158.400000000001,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3458,Electronics,88,41.29,Mali,3633.52,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC3821,Electronics,9,66.61,Mali,599.49,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC7736,Electronics,55,89.17,Mali,4904.35,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC5328,Electronics,62,68.3,Mali,4234.599999999999,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC2401,Electronics,25,51.49,Mali,1287.25,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC4142,Electronics,49,51.02,Mali,2499.98,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC1874,Electronics,75,73.05,Mali,5478.75,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC9809,Electronics,50,34.57,Mali,1728.5,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3025,Electronics,93,70.41,Mali,6548.13,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC8857,Electronics,17,17.49,Mali,297.33,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC6568,Electronics,28,33.3,Mali,932.4,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC6677,Electronics,72,31.88,Mali,2295.36,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC1882,Electronics,17,6.87,Mali,116.79,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC7965,Electronics,14,18.4,Mali,257.6,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC2273,Electronics,98,82.75,Mali,8109.5,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC6743,Electronics,85,26.26,Mali,2232.1,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC5030,Electronics,50,35.93,Mali,1796.5,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC4208,Electronics,27,44.59,Mali,1203.93,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC4126,Electronics,13,31.31,Mali,407.03,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC7257,Electronics,90,42.46,Mali,3821.4,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC4310,Electronics,93,77.96,Mali,7250.28,2010-12,2010-12,1
538116,2010-12-09 15:32:00,13327.0,SC2035,Electronics,19,66.22,Mali,1258.18,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC8700,Electronics,21,90.17,Mali,1893.57,2010-12,2010-12,1
538166,2010-12-09 18:09:00,17965.0,SC3005,Electronics,52,92.24,Mali,4796.48,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC7097,Electronics,37,1.62,Mali,59.940000000000005,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC6564,Electronics,77,11.53,Mali,887.81,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC1998,Electronics,84,74.64,Mali,6269.76,2010-12,2010-12,1
538592,2010-12-13 11:47:00,15854.0,SC7455,Electronics,5,76.69,Mali,383.45,2010-12,2010-12,1
538592,2010-12-13 11:47:00,15854.0,SC3619,Electronics,88,15.44,Mali,1358.72,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC8509,Electronics,27,15.9,Mali,429.3,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC6521,Electronics,56,77.36,Mali,4332.16,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC9575,Electronics,25,79.91,Mali,1997.75,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC2308,Electronics,49,49.23,Mali,2412.27,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC8010,Electronics,73,20.74,Mali,1514.02,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC5348,Electronics,19,1.69,Mali,32.11,2010-12,2010-12,1
538868,2010-12-14 14:42:00,17017.0,SC7991,Electronics,38,62.37,Mali,2370.06,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC8893,Electronics,67,32.75,Mali,2194.25,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC4883,Electronics,47,31.88,Mali,1498.36,2010-12,2010-12,1
