InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC2088,Furniture,95,19.61,Mali,1862.95,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2673,Furniture,85,77.67,Mali,6601.95,2010-12,2010-12,1
536405,2010-12-01 11:32:00,14045.0,SC2868,Furniture,73,6.66,Mali,486.18,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3336,Furniture,27,81.05,Mali,2188.35,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6445,Furniture,77,82.57,Mali,6357.889999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2294,Furniture,5,51.12,Mali,255.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5564,Furniture,71,66.59,Mali,4727.89,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC9075,Furniture,97,92.28,Mali,8951.16,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC3655,Furniture,46,49.99,Mali,2299.54,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2751,Furniture,83,23.04,Mali,1912.32,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2720,Furniture,59,96.53,Mali,5695.27,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4773,Furniture,71,65.73,Mali,4666.83,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC8811,Furniture,83,47.31,Mali,3926.73,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1525,Furniture,67,31.66,Mali,2121.22,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC4886,Furniture,91,30.86,Mali,2808.26,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7985,Furniture,94,74.47,Mali,7000.18,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7958,Furniture,33,52.86,Mali,1744.38,2010-12,2010-12,1
