InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC6630,Jewelry,36,28.33,Mali,1019.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3679,Jewelry,56,86.3,Mali,4832.8,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9600,Jewelry,88,95.37,Mali,8392.560000000001,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC4516,Jewelry,7,63.31,Mali,443.17,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1397,Jewelry,68,22.61,Mali,1537.48,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC1326,Jewelry,78,62.74,Mali,4893.72,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5156,Jewelry,35,90.33,Mali,3161.55,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC1961,Jewelry,45,74.8,Mali,3366.0,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC6233,Jewelry,85,17.59,Mali,1495.15,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8053,Jewelry,12,36.61,Mali,439.32,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC1229,Jewelry,16,32.94,Mali,527.04,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC3694,Jewelry,63,13.82,Mali,870.66,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6717,Jewelry,49,16.54,Mali,810.4599999999999,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC3373,Jewelry,80,35.92,Mali,2873.6000000000004,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5501,Jewelry,11,73.53,Mali,808.83,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC9031,Jewelry,6,20.95,Mali,125.7,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC8739,Jewelry,19,58.85,Mali,1118.15,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC5952,Jewelry,67,51.72,Mali,3465.24,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC5290,Jewelry,84,58.45,Mali,4909.8,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1266,Jewelry,33,11.98,Mali,395.34,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC7891,Jewelry,94,14.45,Mali,1358.3,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC9386,Jewelry,86,87.04,Mali,7485.44,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC5497,Jewelry,76,92.55,Mali,7033.8,2010-12,2010-12,1
537435,2010-12-06 16:58:00,17920.0,SC6406,Jewelry,61,98.85,Mali,6029.849999999999,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC1754,Jewelry,9,6.04,Mali,54.36,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1052,Jewelry,75,65.63,Mali,4922.25,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC5663,Jewelry,35,10.91,Mali,381.85,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC4262,Jewelry,79,32.79,Mali,2590.41,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC1569,Jewelry,67,99.49,Mali,6665.83,2010-12,2010-12,1
537842,2010-12-08 15:12:00,13140.0,SC1584,Jewelry,96,30.33,Mali,2911.68,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC7874,Jewelry,61,38.8,Mali,2366.8,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC3474,Jewelry,55,25.21,Mali,1386.55,2010-12,2010-12,1
538007,2010-12-09 12:16:00,14355.0,SC4805,Jewelry,12,98.82,Mali,1185.84,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC5782,Jewelry,42,67.68,Mali,2842.5600000000004,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC7219,Jewelry,57,47.11,Mali,2685.27,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC6317,Jewelry,37,7.43,Mali,274.91,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC2477,Jewelry,53,6.25,Mali,331.25,2010-12,2010-12,1
538181,2010-12-10 10:08:00,17076.0,SC3585,Jewelry,48,54.69,Mali,2625.12,2010-12,2010-12,1
538186,2010-12-10 10:26:00,13000.0,SC7604,Jewelry,93,46.94,Mali,4365.42,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6787,Jewelry,70,55.54,Mali,3887.8,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC2003,Jewelry,54,91.05,Mali,4916.7,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC2330,Jewelry,80,99.46,Mali,7956.799999999999,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC9136,Jewelry,44,47.04,Mali,2069.76,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC8050,Jewelry,40,42.02,Mali,1680.8000000000002,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC9665,Jewelry,96,53.4,Mali,5126.4,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC2403,Jewelry,80,93.74,Mali,7499.2,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC6475,Jewelry,85,42.33,Mali,3598.05,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC1135,Jewelry,28,30.61,Mali,857.0799999999999,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6687,Jewelry,2,80.85,Mali,161.7,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC8195,Jewelry,28,41.19,Mali,1153.32,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC4281,Jewelry,46,77.76,Mali,3576.96,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC1607,Jewelry,31,33.42,Mali,1036.02,2010-12,2010-12,1
538639,2010-12-13 14:24:00,17179.0,SC8808,Jewelry,39,11.15,Mali,434.85,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC7356,Jewelry,51,27.29,Mali,1391.79,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC1510,Jewelry,32,77.32,Mali,2474.24,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC7730,Jewelry,38,24.36,Mali,925.68,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC5051,Jewelry,74,91.77,Mali,6790.98,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC9514,Jewelry,37,41.29,Mali,1527.73,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC5508,Jewelry,92,30.34,Mali,2791.28,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC3811,Jewelry,43,77.78,Mali,3344.54,2010-12,2010-12,1
538879,2010-12-14 15:50:00,15392.0,SC8947,Jewelry,8,55.15,Mali,441.2,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC6050,Jewelry,85,15.42,Mali,1310.7,2010-12,2010-12,1
538902,2010-12-15 10:04:00,14150.0,SC5092,Jewelry,45,71.47,Mali,3216.15,2010-12,2010-12,1
538942,2010-12-15 11:14:00,17346.0,SC7776,Jewelry,26,41.05,Mali,1067.3,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC2360,Jewelry,76,50.71,Mali,3853.96,2010-12,2010-12,1
