InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC6968,Kitchenware,80,53.64,Mali,4291.2,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5480,Kitchenware,70,8.99,Mali,629.3000000000001,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2709,Kitchenware,68,13.31,Mali,905.08,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3202,Kitchenware,57,47.82,Mali,2725.74,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC1514,Kitchenware,64,39.38,Mali,2520.32,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC6285,Kitchenware,11,98.14,Mali,1079.54,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC4019,Kitchenware,54,45.63,Mali,2464.02,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC3193,Kitchenware,50,29.63,Mali,1481.5,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC4849,Kitchenware,64,11.1,Mali,710.4,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5965,Kitchenware,47,8.18,Mali,384.46,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC8643,Kitchenware,44,18.02,Mali,792.88,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2316,Kitchenware,42,16.57,Mali,695.94,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7986,Kitchenware,42,82.93,Mali,3483.0600000000004,2010-12,2010-12,1
536890,2010-12-03 11:48:00,14156.0,SC6463,Kitchenware,99,20.03,Mali,1982.97,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8267,Kitchenware,52,83.04,Mali,4318.08,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2680,Kitchenware,64,14.93,Mali,955.52,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC4643,Kitchenware,35,73.79,Mali,2582.65,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC2315,Kitchenware,91,14.0,Mali,1274.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6964,Kitchenware,13,76.42,Mali,993.46,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5523,Kitchenware,82,35.66,Mali,2924.12,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC1721,Kitchenware,47,36.24,Mali,1703.2800000000002,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC6699,Kitchenware,90,65.49,Mali,5894.099999999999,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC1526,Kitchenware,79,84.96,Mali,6711.839999999999,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC4813,Kitchenware,73,33.31,Mali,2431.63,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC1527,Kitchenware,85,50.8,Mali,4318.0,2010-12,2010-12,1
537672,2010-12-08 09:30:00,13050.0,SC3151,Kitchenware,87,80.05,Mali,6964.349999999999,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC4416,Kitchenware,83,63.19,Mali,5244.77,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC5502,Kitchenware,13,65.4,Mali,850.2,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC7449,Kitchenware,69,38.85,Mali,2680.65,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC2941,Kitchenware,22,94.98,Mali,2089.56,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC3865,Kitchenware,65,54.62,Mali,3550.3,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC2233,Kitchenware,24,72.39,Mali,1737.36,2010-12,2010-12,1
537995,2010-12-09 11:39:00,12712.0,SC8639,Kitchenware,33,92.07,Mali,3038.31,2010-12,2010-12,1
538007,2010-12-09 12:16:00,14355.0,SC3091,Kitchenware,69,78.18,Mali,5394.42,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC3451,Kitchenware,97,15.89,Mali,1541.3300000000002,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC7984,Kitchenware,27,70.61,Mali,1906.47,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC1091,Kitchenware,29,87.84,Mali,2547.36,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC8239,Kitchenware,66,15.65,Mali,1032.9,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC7888,Kitchenware,43,87.18,Mali,3748.74,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8508,Kitchenware,54,88.85,Mali,4797.9,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC2496,Kitchenware,33,60.01,Mali,1980.33,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC3268,Kitchenware,96,73.34,Mali,7040.64,2010-12,2010-12,1
538366,2010-12-12 10:47:00,18109.0,SC2977,Kitchenware,25,19.9,Mali,497.5,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC3266,Kitchenware,17,61.73,Mali,1049.41,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC6411,Kitchenware,61,56.56,Mali,3450.1600000000003,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC5260,Kitchenware,85,69.35,Mali,5894.749999999999,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4186,Kitchenware,80,44.11,Mali,3528.8,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC7079,Kitchenware,62,19.42,Mali,1204.0400000000002,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6660,Kitchenware,48,82.39,Mali,3954.72,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC9838,Kitchenware,36,31.36,Mali,1128.96,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC2778,Kitchenware,21,47.35,Mali,994.35,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC5125,Kitchenware,49,67.29,Mali,3297.2100000000005,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC7527,Kitchenware,62,21.97,Mali,1362.14,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC6342,Kitchenware,94,67.68,Mali,6361.920000000001,2010-12,2010-12,1
538801,2010-12-14 11:51:00,16083.0,SC1591,Kitchenware,53,46.58,Mali,2468.74,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC4616,Kitchenware,47,35.86,Mali,1685.42,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC7774,Kitchenware,91,3.36,Mali,305.76,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC4160,Kitchenware,26,8.12,Mali,211.12,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC9706,Kitchenware,4,74.73,Mali,298.92,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC2049,Kitchenware,79,72.59,Mali,5734.610000000001,2010-12,2010-12,1
538896,2010-12-15 09:09:00,16145.0,SC2286,Kitchenware,4,77.29,Mali,309.16,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC6862,Kitchenware,79,33.52,Mali,2648.0800000000004,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC8194,Kitchenware,30,60.54,Mali,1816.2,2010-12,2010-12,1
538992,2010-12-15 11:56:00,15950.0,SC2795,Kitchenware,32,14.79,Mali,473.28,2010-12,2010-12,1
538998,2010-12-15 12:08:00,15061.0,SC5737,Kitchenware,95,22.67,Mali,2153.65,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC1393,Kitchenware,67,21.55,Mali,1443.85,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC3838,Kitchenware,25,30.87,Mali,771.75,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC3910,Kitchenware,86,57.08,Mali,4908.88,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC4613,Kitchenware,38,16.79,Mali,638.02,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC3825,Kitchenware,78,12.44,Mali,970.32,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC9900,Kitchenware,65,54.07,Mali,3514.55,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC5201,Kitchenware,26,14.8,Mali,384.8,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC4216,Kitchenware,82,64.09,Mali,5255.38,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC9089,Kitchenware,89,99.35,Mali,8842.15,2010-12,2010-12,1
539322,2010-12-16 19:22:00,14713.0,SC1645,Kitchenware,37,62.06,Mali,2296.2200000000003,2010-12,2010-12,1
539379,2010-12-17 11:43:00,15780.0,SC7832,Kitchenware,42,79.52,Mali,3339.84,2010-12,2010-12,1
539439,2010-12-17 15:14:00,13869.0,SC3195,Kitchenware,45,61.45,Mali,2765.25,2010-12,2010-12,1
539462,2010-12-19 11:19:00,14032.0,SC7111,Kitchenware,78,68.67,Mali,5356.26,2010-12,2010-12,1
539464,2010-12-19 11:35:00,17913.0,SC8231,Kitchenware,88,54.7,Mali,4813.6,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC3525,Kitchenware,35,29.41,Mali,1029.35,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC8244,Kitchenware,7,93.03,Mali,651.21,2010-12,2010-12,1
539502,2010-12-20 11:14:00,14099.0,SC8357,Kitchenware,78,67.87,Mali,5293.860000000001,2010-12,2010-12,1
539580,2010-12-20 12:51:00,15312.0,SC6152,Kitchenware,77,27.2,Mali,2094.4,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC1408,Kitchenware,95,6.08,Mali,577.6,2010-12,2010-12,1
539609,2010-12-20 14:15:00,15527.0,SC2912,Kitchenware,75,46.61,Mali,3495.75,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC4583,Kitchenware,13,12.13,Mali,157.69,2010-12,2010-12,1
539730,2010-12-21 14:54:00,13487.0,SC4794,Kitchenware,40,54.06,Mali,2162.4,2010-12,2010-12,1
539831,2010-12-22 13:17:00,14606.0,SC9127,Kitchenware,43,23.05,Mali,991.15,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC4086,Kitchenware,8,97.33,Mali,778.64,2010-12,2010-12,1
540023,2011-01-04 12:58:00,15039.0,SC6913,Kitchenware,57,99.46,Mali,5669.219999999999,2011-01,2011-01,1
540093,2011-01-04 15:24:00,16725.0,SC6673,Kitchenware,65,35.56,Mali,2311.4,2011-01,2011-01,1
540095,2011-01-04 15:40:00,14553.0,SC7672,Kitchenware,44,5.05,Mali,222.2,2011-01,2011-01,1
540288,2011-01-06 12:45:00,17634.0,SC2152,Kitchenware,88,9.59,Mali,843.92,2011-01,2011-01,1
540359,2011-01-06 15:29:00,18041.0,SC5442,Kitchenware,52,14.36,Mali,746.72,2011-01,2010-12,2
540372,2011-01-06 16:41:00,13081.0,SC9850,Kitchenware,3,50.34,Mali,151.02,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC2939,Kitchenware,36,70.07,Mali,2522.5199999999995,2011-01,2011-01,1
540401,2011-01-07 09:31:00,16013.0,SC6201,Kitchenware,20,55.41,Mali,1108.1999999999998,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC7013,Kitchenware,74,10.42,Mali,771.08,2011-01,2011-01,1
540482,2011-01-07 15:48:00,14672.0,SC1657,Kitchenware,44,43.69,Mali,1922.36,2011-01,2011-01,1
540515,2011-01-09 11:54:00,15059.0,SC8095,Kitchenware,4,26.35,Mali,105.4,2011-01,2011-01,1
540531,2011-01-09 14:03:00,16549.0,SC2530,Kitchenware,71,36.88,Mali,2618.48,2011-01,2011-01,1
540532,2011-01-09 14:11:00,14702.0,SC1705,Kitchenware,89,78.7,Mali,7004.3,2011-01,2011-01,1
