InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536399,2010-12-01 10:52:00,17850.0,SC1013,Shoes,89,66.21,Mali,5892.69,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1136,Shoes,77,45.8,Mali,3526.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9956,Shoes,75,78.85,Mali,5913.75,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC2893,Shoes,20,64.52,Mali,1290.4,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2920,Shoes,76,51.22,Mali,3892.72,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC6848,Shoes,79,56.02,Mali,4425.58,2010-12,2010-12,1
536573,2010-12-01 15:45:00,17025.0,SC6479,Shoes,21,19.28,Mali,404.88,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC6321,Shoes,28,57.43,Mali,1608.04,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC9981,Shoes,9,34.98,Mali,314.82,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC9026,Shoes,83,80.98,Mali,6721.34,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC7216,Shoes,82,46.8,Mali,3837.6,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC9700,Shoes,26,62.51,Mali,1625.26,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7245,Shoes,83,24.85,Mali,2062.55,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2778,Shoes,75,46.84,Mali,3513.0000000000005,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC5501,Shoes,85,79.87,Mali,6788.950000000001,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC9754,Shoes,9,67.09,Mali,603.8100000000001,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC3074,Shoes,93,75.45,Mali,7016.85,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC9781,Shoes,23,56.41,Mali,1297.4299999999998,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC9647,Shoes,31,26.89,Mali,833.59,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC8824,Shoes,21,94.82,Mali,1991.22,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC2447,Shoes,52,75.71,Mali,3936.92,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC4990,Shoes,7,90.27,Mali,631.89,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC7263,Shoes,2,13.04,Mali,26.08,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC1616,Shoes,58,28.74,Mali,1666.9199999999998,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC5612,Shoes,82,81.42,Mali,6676.4400000000005,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC6995,Shoes,97,79.26,Mali,7688.22,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC9006,Shoes,2,4.54,Mali,9.08,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC3136,Shoes,83,28.97,Mali,2404.51,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC4219,Shoes,49,45.23,Mali,2216.27,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC2059,Shoes,62,20.1,Mali,1246.2,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC5278,Shoes,20,68.23,Mali,1364.6,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC2979,Shoes,19,89.06,Mali,1692.14,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC7892,Shoes,91,43.8,Mali,3985.8,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC3220,Shoes,77,59.31,Mali,4566.87,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC1382,Shoes,55,3.34,Mali,183.7,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC2703,Shoes,84,64.28,Mali,5399.52,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC4478,Shoes,67,23.33,Mali,1563.11,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2424,Shoes,43,91.85,Mali,3949.55,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC2072,Shoes,44,67.71,Mali,2979.24,2010-12,2010-12,1
537795,2010-12-08 13:03:00,17213.0,SC3033,Shoes,16,5.03,Mali,80.48,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC5131,Shoes,67,57.29,Mali,3838.43,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC9138,Shoes,60,92.5,Mali,5550.0,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC6205,Shoes,77,61.28,Mali,4718.56,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC6476,Shoes,76,32.21,Mali,2447.96,2010-12,2010-12,1
538032,2010-12-09 12:59:00,14479.0,SC5241,Shoes,24,89.6,Mali,2150.4,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC3021,Shoes,28,14.42,Mali,403.76,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC9152,Shoes,29,58.13,Mali,1685.77,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC4174,Shoes,59,86.76,Mali,5118.84,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC8412,Shoes,12,18.38,Mali,220.56,2010-12,2010-12,1
538126,2010-12-09 15:50:00,17838.0,SC5091,Shoes,54,27.24,Mali,1470.9599999999998,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC4157,Shoes,47,78.3,Mali,3680.1,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC8799,Shoes,66,91.09,Mali,6011.9400000000005,2010-12,2010-12,1
538252,2010-12-10 12:29:00,16019.0,SC6614,Shoes,47,29.93,Mali,1406.71,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC7035,Shoes,80,66.62,Mali,5329.6,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC4134,Shoes,84,16.81,Mali,1412.04,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC8339,Shoes,59,99.75,Mali,5885.25,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC3699,Shoes,86,97.45,Mali,8380.7,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC5442,Shoes,66,45.04,Mali,2972.64,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2460,Shoes,42,17.2,Mali,722.4,2010-12,2010-12,1
