InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC2597,Sports Equipment,15,98.27,Mali,1474.05,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3443,Sports Equipment,81,95.64,Mali,7746.84,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2971,Sports Equipment,34,16.0,Mali,544.0,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3527,Sports Equipment,13,76.99,Mali,1000.87,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4426,Sports Equipment,28,28.31,Mali,792.68,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6393,Sports Equipment,97,48.69,Mali,4722.929999999999,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8890,Sports Equipment,56,83.16,Mali,4656.96,2010-12,2010-12,1
536579,2010-12-01 16:16:00,13777.0,SC9046,Sports Equipment,45,80.67,Mali,3630.15,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5757,Sports Equipment,36,22.57,Mali,812.52,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC2856,Sports Equipment,11,58.57,Mali,644.27,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC6160,Sports Equipment,92,52.67,Mali,4845.64,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC2429,Sports Equipment,49,32.08,Mali,1571.9199999999998,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC1835,Sports Equipment,64,22.46,Mali,1437.44,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC3866,Sports Equipment,93,36.56,Mali,3400.0800000000004,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC6451,Sports Equipment,4,94.47,Mali,377.88,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4175,Sports Equipment,5,95.35,Mali,476.75,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC2975,Sports Equipment,36,10.24,Mali,368.64,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4454,Sports Equipment,37,56.59,Mali,2093.83,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC3294,Sports Equipment,68,5.95,Mali,404.6,2010-12,2010-12,1
